,bf_Glut-CACNA1H-1,bf_Glut-CACNA1H-2,bf_Glut-CACNA1H-3,bf_Glut-CACNA1H-4,bf_Glut-CACNA1H-RA,bf_Glut-DACH2-1,bf_Glut-DACH2-2,bf_Glut-DACH2-3,bf_Glut-DACH2-4,bf_Glut-DACH2-5,bf_Glut-DACH2-6,bf_Glut-DACH2-7,bf_Glut-DACH2-8,bf_Glut-DACH2-HVCra,bf_Glut-DACH2-HVCra-Int,bf_Glut-DACH2-HVCx,bf_Glut-DACH2-LMANco,bf_Glut-DACH2-LMANsh,bf_Glut-SATB2-1,gg_Ex_BCL6,gg_Ex_CACNA1H_CPA6,gg_Ex_CACNA1H_KIT,gg_Ex_CACNA1H_LHX9,gg_Ex_CACNA1H_MCTP2,gg_Ex_CACNA1H_PROX1,gg_Ex_DACH2_ADAMTS5,gg_Ex_DACH2_CEMIP,gg_Ex_DACH2_GRIK4,gg_Ex_DACH2_ITGA9,gg_Ex_DACH2_LHX2,gg_Ex_DACH2_LUZP2,gg_Ex_DACH2_MGAT4C,gg_Ex_DACH2_NR4A3,gg_Ex_DACH2_RORB,gg_Ex_DACH2_SLIT2,gg_Ex_DACH2_TAC1,gg_Ex_DACH2_ZMAT4,gg_Ex_KIAA1217,gg_Ex_KIAA1217_BCL6,gg_Ex_SATB2_FOXP2,gg_Ex_SATB2_OVOA,gg_Ex_SATB2_SOX6,gg_Ex_SATB2_ZNF385B,gg_Ex_TSHZ2_NR4A2
bf_Glut-CACNA1H-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025165134443685316,0.5283647532677875,0.35644817388637684,0.5156287233154047,0.18374791639233368,0.1444513901462004,0.0002959424424181229,0.0033126221963783948,0.003823943291311753,0.022955697784256237,0.000227796050735728,0.0027666447804082115,0.0007891506562437067,0.0043217681047086065,8.306896115656905e-05,0.0023960347695597558,6.090930918993972e-05,0.000381520424920076,0.0047075610399387674,0.2640965470646027,0.0007006109686689586,0.006829364801801176,0.005149785007155471,0.0007190838304319656,0.6250716375500233
bf_Glut-CACNA1H-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07928532525900396,0.19210122912392663,0.4114519215632346,0.3255415146021603,0.16014038803159758,0.40916875740878983,0.0007714108168439277,0.003222488313082943,0.0024811423806378546,0.0048800176628960605,0.001595605364082843,0.010266322415025207,0.0020736707186282946,0.011739597391744638,0.000598290513364321,0.0045861706536627165,6.048817058748085e-05,0.00025491169992949953,0.005696492019433135,0.039820902802082433,0.0006912482710486132,0.010301522748616404,0.01705467386564546,0.0007077635079014449,0.12570194814469332
bf_Glut-CACNA1H-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009002239335106618,0.15923928375950933,0.07780797414603188,0.27042274394648846,0.010072718109397527,0.010172025281312436,0.0003668235391749918,0.000531830442359061,0.0003300117052850533,0.0022313082945830003,0.0,0.00011558904178344325,0.001097580842335313,0.0015029793386629642,0.00027702800786834917,0.0005042740468490504,0.0,8.996965647882424e-05,0.001467797361259967,0.004440233157355203,0.0004056944519338419,0.0026399880052521856,0.015342405803074107,0.0002572206046820164,0.030274722995366495
bf_Glut-CACNA1H-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01139727341246594,0.0,0.023208873812799076,0.6271134115885801,0.03668553939526081,0.0326486242255213,0.0002372385289573831,0.001694063698296187,0.027320247704750188,0.004840309878893093,0.0020273150424838992,0.12539204302308493,0.003286541334985556,0.0014464990807388188,1.5090393704470502e-05,0.11144606892254216,0.0,0.0002824136150491606,5.011904462529521e-05,0.0029985658859466783,2.8298472959518398e-05,0.0018459363719025197,0.0021110136526503237,0.0,0.0016210242965249803
bf_Glut-CACNA1H-RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027837588110832628,0.049911715367945815,0.011271267294880307,0.017322721520203588,0.0030151714709566067,0.0100621722472608,0.00011677250361748811,0.0,7.947177801773956e-05,0.008314727586485502,0.00018038332342497823,0.00024056111837801939,0.0007843850310632558,0.00018701317679003731,4.279044568615107e-05,0.0,0.0003492947507671864,0.00016346233917835935,0.7318409331428343,0.21377241179891446,0.001677443401002247,0.0055627103719943765,0.0024013307211020836,0.0,0.009567734429303813
bf_Glut-DACH2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034823796287168175,0.0,0.0,0.00010551332192773428,0.03674609596236677,0.009141014329762897,0.24713717420609926,0.009101905065576203,0.49468859470653176,0.11190366582604908,0.4019550504175985,0.43161274878243905,0.6465959737298131,0.6595806141917312,0.00903713645442184,0.07805776688654566,0.0019552436364657358,0.006676789979954001,4.9337814957487553e-05,0.0017916789860552684,0.0019148027741877252,0.265387948011734,0.010909205500100938,0.0084439729492457,0.0
bf_Glut-DACH2-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002639716701671147,0.0,0.0,0.0,0.002604955701767723,5.891528618955209e-05,0.18254060482905304,0.0,0.0928331957486904,0.013688584296993198,0.09980384762997535,0.02274874447097528,0.5170669343329098,0.026305870502600564,9.970421400796615e-05,0.00013352836413559874,0.0,0.0002008167277845604,0.0,0.0,4.502753015288436e-05,0.018571316688760116,0.0001608245754518067,0.0,0.0
bf_Glut-DACH2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25171167370733016,0.0,0.0,4.851725125500182e-05,0.021165621419737837,0.0020786115882586303,0.004665252756358191,0.06863835353016505,0.005553489632023213,0.2204944992207593,0.013725034177419503,0.017064617562364846,0.022285184553673544,0.016583617110466152,0.2753296566013194,0.6402907471133172,0.1757769576747178,0.2925769262675563,0.0,9.684808290094684e-05,0.0,0.0041177018306257345,0.0004083796673799468,0.0006243968805005563,0.006231163079587609
bf_Glut-DACH2-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005989523554151171,0.0,4.029954937450299e-05,0.0,0.0001848944376196139,0.0007596329907324565,0.025801685565873415,0.00642614091921846,0.0048908772166291695,0.277894440581134,0.00037021954525851377,7.59298780413973e-05,0.056282486494573666,0.03706318249829989,0.0003736240871601661,0.024092104401911153,0.0004819390675901656,0.20942689253151198,0.002381498428269472,0.0015993535911779742,0.004036748813185691,0.0032257713632527405,0.026951736122266607,6.239562580723604e-05,0.0
bf_Glut-DACH2-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048527214618857657,0.0,0.0,0.0,0.007644586404397665,0.00017507284676943996,0.5412269001783913,0.0,0.02985434990846288,0.005057361443315243,0.10373467365038291,0.001170143816307203,0.18331821255444358,0.054821936660977434,1.7644695185997888e-05,4.8048543631368835e-05,8.616152710234586e-05,0.0002536496126494696,0.0,0.0,1.415354842502347e-05,0.032935863347374826,2.010514233362482e-05,0.0,0.0
