finch_cluster,samap_top,samap_score,samap_top2,samap_score2
Glut-DACH2-8,Ex_DACH2_ZMAT4,0.9239,Ex_DACH2_TAC1,0.4109
Glut-DACH2-HVCra,Ex_SATB2_ZNF385B,0.8865,Ex_SATB2_SOX6,0.6036
Glut-DACH2-LMANsh,Ex_DACH2_ADAMTS5,0.7627,Ex_DACH2_NR4A3,0.0417
Glut-CACNA1H-1,Ex_CACNA1H_LHX9,0.7158,Ex_TSHZ2_NR4A2,0.709
Glut-DACH2-1,Ex_DACH2_MGAT4C,0.7073,Ex_DACH2_NR4A3,0.6829
Glut-CACNA1H-2,Ex_CACNA1H_KIT,0.7007,Ex_CACNA1H_PROX1,0.6737
Glut-CACNA1H-RA,Ex_KIAA1217,0.6836,Ex_KIAA1217_BCL6,0.1487
Glut-DACH2-3,Ex_DACH2_SLIT2,0.6599,Ex_DACH2_ZMAT4,0.3109
Glut-DACH2-6,Ex_DACH2_CEMIP,0.6143,Ex_DACH2_ZMAT4,0.4707
Glut-DACH2-5,Ex_DACH2_ADAMTS5,0.6103,Ex_DACH2_MGAT4C,0.2305
Glut-DACH2-2,Ex_DACH2_MGAT4C,0.5828,Ex_DACH2_ADAMTS5,0.266
Glut-CACNA1H-4,Ex_CACNA1H_LHX9,0.5573,Ex_DACH2_LUZP2,0.0827
Glut-DACH2-HVCra-Int,Ex_DACH2_MGAT4C,0.5295,Ex_SATB2_SOX6,0.0914
Glut-DACH2-HVCx,Ex_SATB2_SOX6,0.5228,Ex_SATB2_FOXP2,0.2358
Glut-DACH2-LMANco,Ex_DACH2_RORB,0.5184,Ex_DACH2_ZMAT4,0.4376
Glut-DACH2-7,Ex_DACH2_MGAT4C,0.4177,Ex_DACH2_ADAMTS5,0.2901
Glut-CACNA1H-3,Ex_CACNA1H_LHX9,0.3963,Ex_TSHZ2_NR4A2,0.1719
Glut-DACH2-4,Ex_DACH2_ITGA9,0.3934,Ex_DACH2_ZMAT4,0.158
