,bf_Glut-CACNA1H-1,bf_Glut-CACNA1H-2,bf_Glut-CACNA1H-3,bf_Glut-CACNA1H-4,bf_Glut-CACNA1H-RA,bf_Glut-DACH2-1,bf_Glut-DACH2-2,bf_Glut-DACH2-3,bf_Glut-DACH2-4,bf_Glut-DACH2-5,bf_Glut-DACH2-6,bf_Glut-DACH2-7,bf_Glut-DACH2-8,bf_Glut-DACH2-HVCra,bf_Glut-DACH2-HVCra-Int,bf_Glut-DACH2-HVCx,bf_Glut-DACH2-LMANco,bf_Glut-DACH2-LMANsh,gg_Ex_BCL6,gg_Ex_CACNA1H_CPA6,gg_Ex_CACNA1H_KIT,gg_Ex_CACNA1H_LHX9,gg_Ex_CACNA1H_MCTP2,gg_Ex_CACNA1H_PROX1,gg_Ex_DACH2_ADAMTS5,gg_Ex_DACH2_CEMIP,gg_Ex_DACH2_GRIK4,gg_Ex_DACH2_ITGA9,gg_Ex_DACH2_LHX2,gg_Ex_DACH2_LUZP2,gg_Ex_DACH2_MGAT4C,gg_Ex_DACH2_NR4A3,gg_Ex_DACH2_RORB,gg_Ex_DACH2_SLIT2,gg_Ex_DACH2_TAC1,gg_Ex_DACH2_ZMAT4,gg_Ex_KIAA1217,gg_Ex_KIAA1217_BCL6,gg_Ex_Pre_KCNH7,gg_Ex_Pre_SATB2,gg_Ex_SATB2_FOXP2,gg_Ex_SATB2_OVOA,gg_Ex_SATB2_SOX6,gg_Ex_SATB2_ZNF385B,gg_Ex_TSHZ2_NR4A2
bf_Glut-CACNA1H-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012526333464555723,0.21696871653724975,0.11767100423938404,0.7158432527284873,0.07013923994255655,0.021529868876536774,9.83116776669816e-05,0.0,0.0007396384766953513,0.02216600331343784,0.0001011919885175323,0.0014649881311944108,0.00048327872273342564,0.0035575139835470524,0.0,0.006151619999752755,0.0,0.001615119648221916,0.035324032674413273,0.22038633223809873,0.017891623905679575,0.006616269176015069,0.0012591246609011133,0.0065556380110814464,0.0025534167779016426,1.0039453175831632e-05,0.7090313462467047
bf_Glut-CACNA1H-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14904346533677065,0.2948846950405532,0.7007447623673246,0.416288423597731,0.3005071851395143,0.6737202564081639,0.00045297146715404124,0.00015074431091315277,0.005247305584440596,0.011971139407059971,0.010866156815789091,0.019506076402750008,0.0016698700031119787,0.013290077418359487,0.0005344144112312721,0.01253523341319531,0.0,0.0014623188030750028,0.0003925388878027273,0.080639993422123,0.05741185335650487,0.09184705978014475,0.014051733880858688,0.04301921250524376,0.014238768721024012,0.0002404631355558692,0.061743733616365336
bf_Glut-CACNA1H-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004819598508781329,0.02031499498555392,0.03210528474826633,0.3962973852620184,0.0038430160881168943,0.001210968513687559,0.0002489872012184405,2.5622250667509837e-05,0.0003222831832256659,0.028087476949605443,0.00014204134203694014,0.0002319552250471165,0.002812979067717175,0.002687024012362245,0.00010989167864992216,0.0006414700299397348,0.0,0.00526645926788551,0.0009232003914026411,0.030497022157092445,0.009131448842201389,0.006409783873260649,0.003312069542370123,0.006793100305256797,0.014570423696709921,1.1423823305816165e-05,0.17189424458658156
bf_Glut-CACNA1H-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01589957222992434,0.0001448112450500424,0.053240111601565575,0.5573461768578583,0.04381616977918898,0.007801151347686987,0.0,0.0,0.03188108341589617,0.00442230934292903,0.004109837565118931,0.0827384644322497,0.004233582432473158,0.0007820707173720407,2.8280653696255875e-05,0.06828362827000964,0.0,0.0,0.0011143218935290187,0.005831357209899647,0.01316486312265289,0.02303370999198606,0.0019911584566225586,0.002039687915732087,0.004063036386692491,0.0,0.000847823595580064
bf_Glut-CACNA1H-RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002286241791833638,0.00958164462862818,0.02094956137232997,0.002904742220632069,0.0,9.070963250815916e-05,4.219874483299922e-05,0.0,0.008930304222279046,0.02420940323920569,0.00015466676341399876,0.0,0.00027890656831938617,5.542278507381474e-05,9.758361880437763e-06,0.0,0.0,2.859699006616765e-05,0.6835554684469456,0.14870473360747358,0.01205979901114958,0.005207510423441902,0.0022829867250223415,0.003944651172743886,0.0051615595851547316,0.0,0.03268679854566998
bf_Glut-DACH2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0315420305715708,0.0,8.136485778234848e-05,0.0001656125058459227,0.1430749207955741,0.0018710982333203414,0.1787993834350283,0.0035371895385632075,0.6066659480948722,0.17832408089163237,0.4632558339225904,0.4747941212645429,0.7073246722553954,0.6829047072678318,0.007036738251245916,0.09974096032407889,0.00889021661161719,0.006497578663456735,0.0,0.001860815707879837,0.02287692675044665,0.006474306228355119,0.005084002889791032,0.22435930978215443,0.008694459256506196,0.00033391117865596865,0.0
bf_Glut-DACH2-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026796742940985536,0.0,0.26600124983202655,0.0,0.06915044428857256,0.005720791111648673,0.09365083051253684,0.03511318376052527,0.5828318110114588,0.04959831069161895,0.0,8.961523036249346e-05,0.0,0.00022691153466405304,0.0,0.0,0.0004567215473318928,0.00018329450027920502,6.218762382963154e-05,0.06427742145721853,0.000107737827195731,0.0,0.0
bf_Glut-DACH2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12882346518966145,0.0,0.0,0.0,0.04191485666500338,0.0,0.00511680949214587,0.09410946960878011,0.006132046673657384,0.19024635499270176,0.03468421105552031,0.017853814481583016,0.03952174133077306,0.009177295029468607,0.039966143074277365,0.6599223580882055,0.09429544515762509,0.31086098105529264,0.0,0.0003049097020498672,0.0008361680620814563,0.0006241392223693203,1.633392450898765e-05,0.003660885502941912,0.0001519508177665209,0.0,0.0
bf_Glut-DACH2-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003835480736266735,0.0,0.0,0.0,0.001047755565237803,0.00018753298102800283,0.020977866157858686,0.000808139477868669,0.003797766499674253,0.3933571700924399,0.0025897480740395113,2.9225407181917272e-05,0.05750338340451107,0.0210745790125307,0.0,0.044480965690147097,0.002909979278462549,0.15795182542205455,0.0,0.0036375944086577323,2.9462304622872412e-05,0.0,0.00934999925645069,0.005400431231141171,0.031479278416000595,0.0,0.0
bf_Glut-DACH2-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.30609485216388e-05,0.0,0.0,0.0,4.898276086132819e-05,0.0,0.6102971058180052,0.0,0.05726998402696102,0.00136087621481655,0.1047288033699657,0.00029817005858738933,0.23045747290292504,0.05997632484502695,0.0,0.0,0.0,0.00033623141186083384,0.0,0.0,0.00026245805568932286,0.0010329842596012021,2.972722524769795e-05,0.07813664890597538,1.3688076736627115e-05,0.0,0.0
bf_Glut-DACH2-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018132148977889316,0.0,0.0,0.0,0.003103815945058911,0.0,0.04718081013245505,0.6143451267924025,0.0007143576272738918,0.08022040286740564,2.954474110525415e-05,0.0,0.002307844847971142,0.0038887450520565018,1.7926666039375688e-05,0.003557276932863428,0.05452143818152011,0.4706676648285568,2.1929345648877924e-05,0.002326465609975175,0.00023605195370233304,0.0,0.00019682952060619594,0.0015514742679061445,0.0014351791341781022,0.0,0.0
bf_Glut-DACH2-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.809663388050979e-05,0.0,0.0,0.0,0.0010919438490174847,0.0,0.2901124879274849,0.001613577879443217,0.021740290025286445,0.01086009281187184,0.0010098906788372844,0.0,0.41767578916980586,0.028650544327793542,0.0,0.000227059130811324,0.0046967031100042834,0.025507693936920484,0.0,0.0,0.0001354962423103028,0.00011572204783195263,0.00029231543104827647,0.043514048081841936,0.002047054159281441,0.0,0.0
bf_Glut-DACH2-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010906648385706026,0.0,0.0,0.0,0.006574154282064615,0.0,0.025396741991884447,0.0860014827641262,0.0010488622882286881,0.1975815225602386,0.0,0.0,0.0008968621758922721,0.0022045238122259574,0.02374263613581969,0.000882807851606715,0.41093969516584333,0.923898814070682,0.0,0.0012714668774658996,7.783901813347444e-06,0.0,0.0005509720618773075,0.0007970596559924393,0.00027539776442745865,0.0,0.0
bf_Glut-DACH2-HVCra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007886618835759047,0.0,0.0,0.0,0.0,0.0,0.0003837120488180966,0.0001951808913374684,0.0018394722617084802,0.000928151423905298,0.0007096850858995761,0.0019381659228410633,0.012190826302901973,0.0005744603602743051,0.001251076500849144,0.0,0.0012696587497903287,0.0001492662100874275,0.0,0.00024795900928240906,0.019222741796573618,0.008848739780066487,0.1308495083915185,0.07720083444536427,0.6036224084177026,0.8865237643563866,0.0
bf_Glut-DACH2-HVCra-Int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6063462689092096e-05,0.0,0.0,0.0,6.833413160431702e-05,0.0,0.025302228628818618,0.0,0.0163426369532905,0.00581166495735746,0.0009742649686676463,0.010379557872577666,0.5294879541631746,0.023120933171139092,6.808574160709805e-05,0.00010273720252933669,4.205634771325987e-05,4.5131912892261125e-05,0.0,0.0,0.0006584318930816832,0.0007909754551067655,0.0018887323032134595,0.01495678338617056,0.09144852728758704,0.010970273940721299,0.0
bf_Glut-DACH2-HVCx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.654725614560894e-05,0.0,0.0,0.0,0.0,0.0,0.0007677356646162262,3.2705941260829295e-05,1.1367292380915026e-05,0.019460725062384672,0.00014222688021827353,7.730135744939509e-05,0.0015911631230864233,1.539868622733331e-05,0.0,0.0007528146859246182,0.0006611888907932583,0.0018581334595531482,0.0465824954819004,0.046420805959528424,1.2929309707307767e-05,7.942112672458595e-05,0.2358166197346503,0.008607132121893422,0.5227614436333752,0.001829867950483776,0.0
bf_Glut-DACH2-LMANco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007233889964546111,0.0,0.0,0.0,0.0,0.0,0.00477651656413956,0.03343632362799686,3.350080935430842e-06,0.0008464436958109227,0.0,0.0,3.478915641984046e-05,0.00010931525189783565,0.5184153834600966,0.0,0.002406341252221194,0.43762265930470196,0.0001090190611444047,9.764162762203892e-05,0.0012631839513265492,0.0,0.0008468545893183344,6.789713603491372e-05,0.02655285252508834,0.0,0.0
bf_Glut-DACH2-LMANsh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7627165547911423,0.00015212084899250268,0.0090704190135294,0.0028741536554776135,0.00030892519871040624,0.0,0.026863664263961647,0.04174932471293666,0.018171840380895615,0.0,0.00012944706972205008,0.013831557701118607,0.0,0.0,0.0,8.533815379905733e-05,0.00040343324632178564,0.03839135068585325,0.0005280724858642272,0.0,0.0
gg_Ex_BCL6,0.012526333464555723,0.14904346533677065,0.004819598508781329,0.01589957222992434,0.002286241791833638,0.0315420305715708,0.0,0.12882346518966145,0.003835480736266735,3.30609485216388e-05,0.00018132148977889316,7.809663388050979e-05,0.00010906648385706026,0.0007886618835759047,1.6063462689092096e-05,3.654725614560894e-05,0.0007233889964546111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_CACNA1H_CPA6,0.21696871653724975,0.2948846950405532,0.02031499498555392,0.0001448112450500424,0.00958164462862818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_CACNA1H_KIT,0.11767100423938404,0.7007447623673246,0.03210528474826633,0.053240111601565575,0.02094956137232997,8.136485778234848e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_CACNA1H_LHX9,0.7158432527284873,0.416288423597731,0.3962973852620184,0.5573461768578583,0.002904742220632069,0.0001656125058459227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_CACNA1H_MCTP2,0.07013923994255655,0.3005071851395143,0.0038430160881168943,0.04381616977918898,0.0,0.1430749207955741,0.00026796742940985536,0.04191485666500338,0.001047755565237803,4.898276086132819e-05,0.003103815945058911,0.0010919438490174847,0.006574154282064615,0.0,6.833413160431702e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_CACNA1H_PROX1,0.021529868876536774,0.6737202564081639,0.001210968513687559,0.007801151347686987,9.070963250815916e-05,0.0018710982333203414,0.0,0.0,0.00018753298102800283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_DACH2_ADAMTS5,9.83116776669816e-05,0.00045297146715404124,0.0002489872012184405,0.0,4.219874483299922e-05,0.1787993834350283,0.26600124983202655,0.00511680949214587,0.020977866157858686,0.6102971058180052,0.04718081013245505,0.2901124879274849,0.025396741991884447,0.0003837120488180966,0.025302228628818618,0.0007677356646162262,0.00477651656413956,0.7627165547911423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_DACH2_CEMIP,0.0,0.00015074431091315277,2.5622250667509837e-05,0.0,0.0,0.0035371895385632075,0.0,0.09410946960878011,0.000808139477868669,0.0,0.6143451267924025,0.001613577879443217,0.0860014827641262,0.0001951808913374684,0.0,3.2705941260829295e-05,0.03343632362799686,0.00015212084899250268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_DACH2_GRIK4,0.0007396384766953513,0.005247305584440596,0.0003222831832256659,0.03188108341589617,0.008930304222279046,0.6066659480948722,0.06915044428857256,0.006132046673657384,0.003797766499674253,0.05726998402696102,0.0007143576272738918,0.021740290025286445,0.0010488622882286881,0.0018394722617084802,0.0163426369532905,1.1367292380915026e-05,3.350080935430842e-06,0.0090704190135294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_DACH2_ITGA9,0.02216600331343784,0.011971139407059971,0.028087476949605443,0.00442230934292903,0.02420940323920569,0.17832408089163237,0.005720791111648673,0.19024635499270176,0.3933571700924399,0.00136087621481655,0.08022040286740564,0.01086009281187184,0.1975815225602386,0.000928151423905298,0.00581166495735746,0.019460725062384672,0.0008464436958109227,0.0028741536554776135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_DACH2_LHX2,0.0001011919885175323,0.010866156815789091,0.00014204134203694014,0.004109837565118931,0.00015466676341399876,0.4632558339225904,0.09365083051253684,0.03468421105552031,0.0025897480740395113,0.1047288033699657,2.954474110525415e-05,0.0010098906788372844,0.0,0.0007096850858995761,0.0009742649686676463,0.00014222688021827353,0.0,0.00030892519871040624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_DACH2_LUZP2,0.0014649881311944108,0.019506076402750008,0.0002319552250471165,0.0827384644322497,0.0,0.4747941212645429,0.03511318376052527,0.017853814481583016,2.9225407181917272e-05,0.00029817005858738933,0.0,0.0,0.0,0.0019381659228410633,0.010379557872577666,7.730135744939509e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_DACH2_MGAT4C,0.00048327872273342564,0.0016698700031119787,0.002812979067717175,0.004233582432473158,0.00027890656831938617,0.7073246722553954,0.5828318110114588,0.03952174133077306,0.05750338340451107,0.23045747290292504,0.002307844847971142,0.41767578916980586,0.0008968621758922721,0.012190826302901973,0.5294879541631746,0.0015911631230864233,3.478915641984046e-05,0.026863664263961647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_DACH2_NR4A3,0.0035575139835470524,0.013290077418359487,0.002687024012362245,0.0007820707173720407,5.542278507381474e-05,0.6829047072678318,0.04959831069161895,0.009177295029468607,0.0210745790125307,0.05997632484502695,0.0038887450520565018,0.028650544327793542,0.0022045238122259574,0.0005744603602743051,0.023120933171139092,1.539868622733331e-05,0.00010931525189783565,0.04174932471293666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_DACH2_RORB,0.0,0.0005344144112312721,0.00010989167864992216,2.8280653696255875e-05,9.758361880437763e-06,0.007036738251245916,0.0,0.039966143074277365,0.0,0.0,1.7926666039375688e-05,0.0,0.02374263613581969,0.001251076500849144,6.808574160709805e-05,0.0,0.5184153834600966,0.018171840380895615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_DACH2_SLIT2,0.006151619999752755,0.01253523341319531,0.0006414700299397348,0.06828362827000964,0.0,0.09974096032407889,8.961523036249346e-05,0.6599223580882055,0.044480965690147097,0.0,0.003557276932863428,0.000227059130811324,0.000882807851606715,0.0,0.00010273720252933669,0.0007528146859246182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_DACH2_TAC1,0.0,0.0,0.0,0.0,0.0,0.00889021661161719,0.0,0.09429544515762509,0.002909979278462549,0.0,0.05452143818152011,0.0046967031100042834,0.41093969516584333,0.0012696587497903287,4.205634771325987e-05,0.0006611888907932583,0.002406341252221194,0.00012944706972205008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
