,bf_Glut-CACNA1H-1,bf_Glut-CACNA1H-2,bf_Glut-CACNA1H-3,bf_Glut-CACNA1H-4,bf_Glut-CACNA1H-RA,bf_Glut-DACH2-1,bf_Glut-DACH2-2,bf_Glut-DACH2-3,bf_Glut-DACH2-4,bf_Glut-DACH2-5,bf_Glut-DACH2-6,bf_Glut-DACH2-7,bf_Glut-DACH2-8,bf_Glut-DACH2-HVCra,bf_Glut-DACH2-HVCra-Int,bf_Glut-DACH2-HVCx,bf_Glut-DACH2-LMANco,bf_Glut-DACH2-LMANsh,bf_Glut-SATB2-1,gg_Ex_BCL6,gg_Ex_CACNA1H_CPA6,gg_Ex_CACNA1H_KIT,gg_Ex_CACNA1H_LHX9,gg_Ex_CACNA1H_MCTP2,gg_Ex_CACNA1H_PROX1,gg_Ex_DACH2_ADAMTS5,gg_Ex_DACH2_CEMIP,gg_Ex_DACH2_GRIK4,gg_Ex_DACH2_ITGA9,gg_Ex_DACH2_LHX2,gg_Ex_DACH2_LUZP2,gg_Ex_DACH2_MGAT4C,gg_Ex_DACH2_NR4A3,gg_Ex_DACH2_RORB,gg_Ex_DACH2_SLIT2,gg_Ex_DACH2_TAC1,gg_Ex_DACH2_ZMAT4,gg_Ex_KIAA1217,gg_Ex_KIAA1217_BCL6,gg_Ex_SATB2_FOXP2,gg_Ex_SATB2_OVOA,gg_Ex_SATB2_SOX6,gg_Ex_SATB2_ZNF385B,gg_Ex_TSHZ2_NR4A2
bf_Glut-CACNA1H-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012023909231489932,0.16768060696847492,0.12156487921731055,0.7215353868506955,0.07001271413706896,0.0167633874605554,7.637984218099521e-05,0.0,0.001304587324426694,0.030400638561783412,0.0003575777960637693,0.0012486427832815558,0.0007451762893383384,0.003907455504472806,0.0003214271313468022,0.005808945733349112,3.2214227547325885e-05,0.0011354095883617178,0.0244013510916421,0.26482714593971535,0.0014710845698857786,0.007393440041146665,0.0024707039723494482,1.0743423313946574e-05,0.7168230229725872
bf_Glut-CACNA1H-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13611693045553053,0.30487397050719545,0.6800647154539072,0.45232017711459466,0.28385856822514244,0.6868674480651575,0.00045444086213580553,9.392566757286279e-05,0.00626537195756998,0.014369347361059636,0.010222663295210477,0.01778406460088055,0.0023936237201211187,0.012006364694286896,0.0008371941886738349,0.01620738727635119,0.0,0.001580956866059191,0.0006437674990603418,0.07073406269662172,0.0057555869189200946,0.04302747779589304,0.010405069740969776,1.6966803534073606e-05,0.06016252976728605
bf_Glut-CACNA1H-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003620207701385272,0.023607231534246757,0.04605891871837329,0.4061756085274382,0.006461116389913467,0.0025568543031111762,0.0003074824740054413,2.00522710691833e-05,0.0004269196908864589,0.03975325635589168,0.00027025403454800643,0.00022963822357198582,0.0023038974850383485,0.004906066320050561,5.8046463342681917e-05,0.0005025992312100334,0.0,0.005041395160652516,0.001266669125485924,0.024321916830960584,0.0009542866190897358,0.008611776713110156,0.011663309587764252,0.0,0.12888236011660295
bf_Glut-CACNA1H-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032160023471464454,0.00022816375348388719,0.05520724289650689,0.5685345496564082,0.06712085182439062,0.009725810705440135,5.4656787580073606e-05,0.0,0.03610099419345349,0.0034303389466749886,0.011336218941761522,0.10276976649678518,0.0034001724596491026,0.002109748302825117,0.00036206057864092444,0.07514720368615478,0.0,9.236541086791954e-05,0.0010313441864176725,0.005028768126632053,0.000562026384685747,0.0024863273277543297,0.002835849204768399,0.0,0.0006881575059709047
bf_Glut-CACNA1H-RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006746928638644002,0.014185768824769057,0.02510358132417983,0.0015310562399995114,3.495381386604418e-05,9.097690236582258e-05,9.336147703845047e-05,0.0,0.008679578066545091,0.05526902514983415,0.0002519459142323329,1.0866813587586533e-05,0.009954868410476362,8.518758580651728e-05,1.7022526255571825e-05,0.0,0.0,2.7560090418261562e-05,0.6705282427881524,0.11171650545268323,0.0006284394698961298,0.003854303271675582,0.002036237167717226,0.0,0.04459045464523316
bf_Glut-DACH2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02864055362123017,0.0,1.6827660431838842e-05,0.00027774548476177616,0.13314943837404963,0.0011981704367661833,0.18487954106201956,0.0036848038815535922,0.597063176582876,0.18386874638955808,0.45431893701583476,0.4591987943630781,0.7128390299432199,0.686159719805856,0.005450275131295847,0.09733334988583318,0.011410452925074211,0.006249780460900343,0.0,0.00153450805830559,0.0007773136226540236,0.20677324800135652,0.00526615092170799,8.550587442669714e-05,0.0
bf_Glut-DACH2-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027943051691612465,0.0,0.24643980142005223,0.0,0.061625831386118934,0.005617680251711726,0.07857978378704569,0.033482972822239186,0.6059655674013122,0.05062657125813721,1.8058423798241487e-05,0.00016581607885485548,0.0,0.00037776417956759663,0.0,0.0,3.1967541102295567e-05,0.06075416093975029,0.00010074221714765545,0.0,0.0
bf_Glut-DACH2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13314127858808572,0.0,0.0,0.0,0.03842201622771362,5.7215931829114725e-05,0.006211815105836836,0.10921551887349826,0.00822412677920365,0.2157955460781779,0.03313022875089129,0.016835453169977845,0.029430058686326623,0.007122846167187083,0.04719444467147994,0.6575393464877742,0.13634082199089864,0.3579620852655305,0.0,0.00015793863881739207,0.0,0.0026346286304327936,0.00017136897659648432,0.0,0.0
bf_Glut-DACH2-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005232137831380949,0.0,0.0,0.0,0.0004226714366175766,4.418412920294049e-05,0.028681115951550734,0.0013401524816087748,0.0039586411142204835,0.3947647292211726,0.002339999367487581,2.0820533781529272e-05,0.04432989687440527,0.02388014821754921,0.0,0.0355275819364498,0.0018110594344019429,0.16854986732750132,0.0004952596498029914,0.004586927744132507,0.0015513659011190577,0.002780870859336368,0.030206264320805566,0.0,0.0
bf_Glut-DACH2-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6360563206810781,0.0,0.05478038984972211,0.0010714896618602711,0.11462934102118565,0.00019855967151231123,0.21651537882291888,0.05857372067547302,0.00011068870570646943,0.0,0.0,0.0003675795912445645,0.0,0.0,0.0,0.06889285857787272,3.11044685714205e-05,0.0,0.0
