,samap_top,samap_score
Glut-DACH2-HVCra,Ex_SATB2_SOX6,0.4554
Glut-DACH2-HVCx,Ex_SATB2_SOX6,0.3584
Glut-DACH2-LMANco,Ex_DACH2_ZMAT4,0.4834
Glut-DACH2-LMANsh,Ex_DACH2_ADAMTS5,0.7659
Glut-CACNA1H-RA,Ex_KIAA1217,0.6705
Glut-DACH2-1,Ex_DACH2_MGAT4C,0.7128
Glut-DACH2-2,Ex_DACH2_MGAT4C,0.606
Glut-DACH2-3,Ex_DACH2_SLIT2,0.6575
Glut-DACH2-4,Ex_DACH2_ITGA9,0.3948
Glut-DACH2-5,Ex_DACH2_ADAMTS5,0.6361
Glut-DACH2-6,Ex_DACH2_CEMIP,0.6166
Glut-DACH2-7,Ex_DACH2_MGAT4C,0.4058
Glut-DACH2-8,Ex_DACH2_ZMAT4,0.9252
Glut-SATB2-1,Ex_SATB2_ZNF385B,0.7869
Glut-CACNA1H-1,Ex_CACNA1H_LHX9,0.7215
Glut-CACNA1H-2,Ex_CACNA1H_PROX1,0.6869
Glut-CACNA1H-3,Ex_CACNA1H_LHX9,0.4062
Glut-CACNA1H-4,Ex_CACNA1H_LHX9,0.5685
