finch_cluster,samap_top,samap_score,samap_top2,samap_score2
Glut-DACH2-8,Ex_DACH2_ZMAT4,0.9177,Ex_DACH2_TAC1,0.3696
Glut-SATB2-1,Ex_SATB2_ZNF385B,0.7842,Ex_SATB2_SOX6,0.6512
Glut-DACH2-LMANsh,Ex_DACH2_ADAMTS5,0.7645,Ex_DACH2_NR4A3,0.0397
Glut-CACNA1H-1,Ex_CACNA1H_LHX9,0.7285,Ex_TSHZ2_NR4A2,0.7125
Glut-DACH2-1,Ex_DACH2_MGAT4C,0.7124,Ex_DACH2_NR4A3,0.6867
Glut-CACNA1H-2,Ex_CACNA1H_PROX1,0.6802,Ex_CACNA1H_KIT,0.6794
Glut-CACNA1H-RA,Ex_KIAA1217,0.6715,Ex_KIAA1217_BCL6,0.1183
Glut-DACH2-3,Ex_DACH2_SLIT2,0.6581,Ex_DACH2_ZMAT4,0.3601
Glut-DACH2-5,Ex_DACH2_ADAMTS5,0.6412,Ex_DACH2_MGAT4C,0.2132
Glut-DACH2-6,Ex_DACH2_CEMIP,0.6122,Ex_DACH2_ZMAT4,0.4571
Glut-DACH2-2,Ex_DACH2_MGAT4C,0.6048,Ex_DACH2_ADAMTS5,0.2476
Glut-CACNA1H-4,Ex_CACNA1H_LHX9,0.57,Ex_DACH2_LUZP2,0.1046
Glut-DACH2-HVCra-Int,Ex_DACH2_MGAT4C,0.5645,Ex_SATB2_SOX6,0.0521
Glut-DACH2-LMANco,Ex_DACH2_ZMAT4,0.4674,Ex_DACH2_RORB,0.4342
Glut-DACH2-HVCra,Ex_SATB2_SOX6,0.4642,Ex_SATB2_ZNF385B,0.234
Glut-CACNA1H-3,Ex_CACNA1H_LHX9,0.4162,Ex_TSHZ2_NR4A2,0.1248
Glut-DACH2-7,Ex_DACH2_MGAT4C,0.4047,Ex_DACH2_ADAMTS5,0.2898
Glut-DACH2-4,Ex_DACH2_ITGA9,0.3925,Ex_DACH2_ZMAT4,0.1644
Glut-DACH2-HVCx,Ex_SATB2_SOX6,0.3475,Ex_KIAA1217,0.1877
