"","Astro-1","Astro-3","Astro-2","Oligo-2","Oligo-1","OPC","Glut-Pre-3","Glut-HVC-1","Glut-Nido-1","Glut-NR-5","Glut-NC-1","GABA-8","Glut-NR-4","Glut-NR-1","Glut-Arco-2","Glut-Arco-5","Glut-NR-3","Epen","Glut-Arco-1","Glut-NC-3","Glut-RA","Glut-Nido-3","Glut-LMAN-2","Glut-NR-2","Glut-LMAN-1","Glut-Arco-3","Glut-Arco-4","Glut-HVC-2","Glut-HVC-1a","Glut-Pre-2","Glut-NC-2","Glut-NC-4","Glut-Pre-1","GABA-1-1","GABA-5-1","GABA-2-1","GABA-4-1","Glut-Nido-2","GABA-2-2","GABA-1-2","GABA-Pre","Endo","GABA-4-2","GABA-5-2","GABA-3","Oligo-3","GABA-6","GABA-2-3","GABA-7","Micro"
"Astrocytes",0.164396413045445,0.106663242657438,0.211046416196281,0.00111366620509715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COPs+NFOLs",0,0,0,0.0730583384188822,0.278033903218751,0.472587053151208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ex_BCL6",0,0,0,0,0,0,0.00177630228382991,0.0045792586600477,0.00372045836017308,0.00218076748750307,0.00960974648424969,0.0028250328674101,0.00633701903021238,0.00235569457279376,0.0446119390764742,0.00785299357274069,0.0124224383467491,0.00359966337240941,0.00145777674306822,0.349422424374382,0.0232475358932626,0.00668054648970784,0.000963059456979498,0.00154605891844808,0.000316984813162117,0.000551206554323652,0.0170310968083697,0.0021299940486113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0,0,0,0,0,0,0,0.0130148706300766,0,0,0,0,0,0,0.105620115627232,0,0,0,0.397166030489148,0,0.0052468210932396,0,0,0,0,0.0212401004598245,0.00268659685167702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0,0,0,0,0,0,0,0.00250878735176109,0,0,0,0,0,0,0.397832521259373,0.0345252413948289,0,0,0.114270836078724,0,0.00350022459546565,0,0,0,0,0.0211916990511139,0.00729963037723712,0.000744496137913419,0.000715465690930967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0,0,0,0,0,0,0.00208162799746724,0,0.000888141286226226,0,0.00140546660393772,0,0,0,0.0886453123471272,0.183273891817353,0,0,0.236095588621474,0.00179907367123737,0.0109476037701584,0,0,0.000579023746155381,0,0.0070872079925191,0,0,0,0.0115938013826793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0,0,0,0,0,0,0.0170357261205905,0,0.00688317709657437,0,0.00384135998570613,0,0.0748846555458381,0.0165218986699381,0.19835846268412,0.0647528017186056,0.00101144540258534,0,0.0485300803979227,0.00129280897347239,0.00488215619449575,0,0.00223748703427102,0,0.00192793748414932,0.0129477883379639,0.0053547138234419,0.00207601816285092,0.0020192360222921,0,0.000533054914848764,0.00114806643226962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_PROX1",0,0,0,0,0,0,0.000544533032839097,0.00169484056555756,0.0109270542173012,0,0.00784024315892644,0,0,0.00939107615688245,0.464952634953841,0.0441765980593287,0.000450000324954394,0.00476721769285005,0.013096685246981,0.00434740666856106,0.00103878026526976,0,0,0,0,0.00380946574243992,0,0,0.000534095352789831,0.00293404280006186,0.00030887847835747,0,0.00276548630669581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0.00259333638593326,0,0,0,0,0,0.010962533017594,0.00197604602465301,0.00916315941673528,0.000365310879984799,0.00582353386862732,0,0.0243779091389718,0.187953191336396,0.000324053909101961,0,0.103507985413468,0.000648855712627879,0,0.000511675407300326,0,0.00279713837221218,0.00101572873024145,0.0164641369029011,0.0818055124000993,0,0.00349528350275648,0,0.00864852921364528,0.00152104525701538,0.0116729192866334,0,0,0.000648702036168825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ex_DACH2_CEMIP",0,0,0,0,0,0,0,0,0,0,0.000512418252559744,0,0.152031814060558,0,0.00156012941833328,0.000666283475694415,0.00232642722913046,0,0,0.0574388917728656,0,0.000578980036385756,0.00411147476057068,0.470580874154982,0.000477194040285451,0,0.000415937945173734,0,0.000401706292241452,0,0,0.000994851396277246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
