"","Astrocytes","Ex_Pre_KCNH7","Inh_MGE_like_SST_ABI3BP","Vascular","Ex_DACH2_LUZP2","Inh_LGE_like_FOXP1_DGKH","OPCs","Microglia","Oligodendrocytes","Ex_SATB2_OVOA","Ex_DACH2_LHX2","Inh_OB_CPA6","Ex_DACH2_TAC1","Ex_CACNA1H_PROX1","Inh_OB_FGFRL1","Ex_DACH2_NR4A3","Ex_SATB2_SOX6","Inh_LGE_like_FOXP2","Inh_LGE_like_Pre","Inh_LGE_like_FOXP1_SGCG","Ex_DACH2_SLIT2","Ex_DACH2_RORB","Ex_DACH2_ITGA9","Inh_MGE_like_SST_PVALB","Ex_SATB2_FOXP2","Inh_MGE_like_ST18","Ex_BCL6","Inh_MGE_like_SST_SLC24A2","Inh_MGE_like_ANO1","Inh_MGE_like_ST18_PVALB","Inh_CGE_like_CACNA1B","Inh_CGE_like_CACNA2D3","Inh_CGE_like_MAN1A1","Ex_DACH2_GRIK4","Ex_DACH2_CEMIP","Inh_MGE_like_LHX8","Ex_CACNA1H_KIT","Ex_TCF7L2","Ex_CACNA1H_MCTP2","Ex_DACH2_MGAT4C","Ex_CACNA1H_LHX9","Ex_KIAA1217","Ex_CACNA1H_CPA6","Ex_KIAA1217_BCL6","Ex_TSHZ2_NR4A2","Ex_DACH2_ZMAT4","Ex_SATB2_ZNF385B","Ex_DACH2_ADAMTS5","Ex_Pre_SATB2","COPs+NFOLs"
"Astro-1",0.955359324038886,0.00101324948618639,0.000767540875216532,0.00313562046681764,0.00112007508782309,0.00179466737317102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Astro-2",0.977347907428822,0,0,0.00124830466125963,0.000261889164034969,0.000290752356226776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Astro-3",0.990831898209163,0,0.00028085066883578,0,0.000618276539080585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Endo",0.0806511952709856,0,0,0.780951990170631,0.00915314821251662,0,0.00536631667110567,0.0135135135135135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Epen",0.00922299926213031,0,0,0.256438568955728,0.0690679002324467,0,0,0,0.00365671832539569,0.0290187873433549,0.00616692893960273,0.00264055127431982,0.00845653138213248,0.00187094722448165,0.00130697603778409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABA-1-1",0,0.000336954971996319,0,0,0,0.0886490385793286,0,0,0,0,0,0,0,0,0,0.000790749102439144,0.000218841082528179,0.722642698518498,0.000947163198736967,0.0028638415416322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABA-1-2",0,0.00185632287949709,0,0.0016,0,0.270319562920654,0,0.015063586742083,0,0,0,0.0211117821058368,0,0,0,0,0,0.351752899972184,0.0255510817466706,0.0052520145875132,0.00150590821064428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABA-2-1",0,0.00109416306722539,0.0553429804981347,0,0.000236414970093788,0,0,0.00294763198772458,0,0.0100738820210816,0.00055936634139016,0,0,0,0,0,0.000653819464514704,0,0.000578775870715968,0,0,0.000461531659059417,0.00241759440671582,0.0177579842588284,0.00034016712885484,0.00321312438922288,0.000460803110332162,0.571885142244906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABA-2-2",0,0.000491505181346134,0.561785609149218,0.00198019801980198,0,0,0.00111606026551938,0,0,0,0,0,0,0,0,0,0,0,0.00362266220823828,0,0,0,0,0,0,0,0,0.178178695594279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABA-2-3",0,0,0.00174114228019891,0,0,0,0.00229353415157209,0.00459394641384451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00460249314298891,0,0,0,0.932768887125183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
