"","Astro-1","Astro-2","Oligo-2","Astro-3","OPC","Oligo-1","Glut-Im","GABA-2-1","Glut-DACH2-LMANco","GABA-4-1","Epen","Glut-SATB2-1","Glut-DACH2-7","Glut-CACNA1H-1","GABA-8","Glut-DACH2-4","Glut-DACH2-5","Glut-CACNA1H-2","Glut-DACH2-1","Glut-DACH2-6","Glut-DACH2-8","Glut-GABA","Glut-DACH2-3","Glut-CACNA1H-RA","Glut-NB","Glut-DACH2-HVCx","Glut-DACH2-HVCra","Glut-CACNA1H-4","Glut-DACH2-2","Glut-CACNA1H-3","Glut-DACH2-LMANsh","Glut-DACH2-HVCra-Pre","Glut-NSC","GABA-1-1","Endo","GABA-7","GABA-5-2","GABA-1-2","GABA-Im","GABA-4-2","GABA-5-1","GABA-3","GABA-2-2","Oligo-3","GABA-6","GABA-2-3","Micro"
"Astrocytes",0.165243199684567,0.190738709003181,0.00126139344762021,0.119043171858844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COPs+NFOLs",0,0,0.0545892395559637,0,0.452965724985311,0.343490144824211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ex_BCL6",0,0,0,0,0,0,0.00515088916411039,0.00492553929244135,0.00146197203453773,0.00152714939781262,0.00323996203030596,0.00137944220230462,0.00829877106132846,0.00138942354795081,0.00379023415003059,0.000878691424027482,0.00205995982050946,0.0654834957732808,0.0169135044503164,0.000562613627578365,0.0122730933347186,0.000782366865950956,0.35503872937487,0.025305137713828,0.00114576347100889,0.00209749787975691,0.00331133369841642,0.00845602743979665,0.000333722636133591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0,0,0,0,0,0,0,0,0,0,0,0,0,0.388300264804974,0,0,0,0.113242479865829,0,0,0,0,0,0.00474143037483555,0,0,0.0151109580642709,0,0,0.0326784076051417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0.173922008345042,0,0,0,0.411167743596365,0,0,0,0,0,0.00367297957478653,0,0.00087868418826263,0.00044618788320013,0.0363098758951663,0,0.00931625284169297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0,0,0,0,0,0,0,0,0,0,0,0,0,0.277422481381676,0,0,0,0.0750234961586511,0.00240552970377565,0,0,0,0.00179581916745346,0.0072735268363866,0.0169554243523134,0,0.0018349141116397,0.16510533421682,0,0.00888930245012134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0,0,0,0,0,0,0.0110932446020205,0.000706694665574564,0.00194723788682539,0,0,0,0,0.0525926548774013,0,0.00152973879041558,0.0266848703745275,0.193929211033984,0.00148469662975369,0.000569833490083551,0.115343069447457,0,0.00574784931305048,0.00217917283014,0,0.0040754222822136,0,0.0658742215186765,0.000718742582933467,0.0152455266396591,0.00281823416245957,0.000430441945258176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_PROX1",0,0,0,0,0,0,0.000502823087412606,0,0,0,0,0,0.000634979669469585,0.0171232258702365,0,0,0.0089061205809599,0.507831709475821,0.0160107191479887,0,0,0,0.00261441614324159,0.00157092521003595,0.000919579033839006,0.000716145614879623,0,0.0373151375201438,0.00203274198197043,0.00586252867149633,0,0,0.0125430612008664,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0.00225745470856917,0,0,0,0,0,0.00894904014993321,0.0015387233657296,0,0,0.000473994801882687,0.000464246816532741,0.111033770699968,0,0,0,0.182021064228569,0.000469586040055338,0.0116801590283706,0.0121908763789895,0.0281600275342713,0,0.00247696001744715,0.000519000583655117,0.0015724103875795,0,0.0022859355300809,0,0.0137441535674959,0,0.0937623996130361,0.0164326508757227,0,0.000549061316083565,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ex_DACH2_CEMIP",0,0,0,0,0,0,0,0.000578929285906307,0.00370442368136689,0,0,0,0.000961207423510658,0,0,0,0,0.00187108085939126,0.00120985030148268,0.472088342740962,0.166426666967143,0,0.0574169385024398,0,0,0,0,0.000992778976194943,0,0,0,0.00134460331788015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
