"","Ex_BCL6","Ex_KIAA1217_BCL6","Ex_CACNA1H_CPA6","Ex_TSHZ2_NR4A2","Ex_SATB2_FOXP2","Ex_CACNA1H_MCTP2","Ex_Pre_KCNH7","Ex_DACH2_SLIT2","Ex_KIAA1217","Ex_DACH2_ZMAT4","Ex_CACNA1H_PROX1","Ex_DACH2_NR4A3","Ex_SATB2_SOX6","Ex_SATB2_OVOA","Ex_CACNA1H_KIT","Ex_DACH2_GRIK4","Ex_DACH2_MGAT4C","Ex_DACH2_TAC1","Ex_DACH2_ITGA9","Ex_DACH2_RORB","Ex_DACH2_LUZP2","Ex_Pre_SATB2","Ex_CACNA1H_LHX9","Ex_DACH2_LHX2","Ex_SATB2_ZNF385B","Ex_DACH2_ADAMTS5","Ex_DACH2_CEMIP"
"Glut-Arco-1",0.00519144161242054,0.0041505046906987,0.0196962418478832,0.037058333778688,0.00955767296208856,0.012811607319286,0.00657494330115494,0.000780654373207273,0.0207721506415393,0.000222167956306779,0.00462991996714927,0.0221225901795551,0.000239768452861701,0.00307904282383158,0.0370184008478099,0.000391157016527963,0.00022582319112404,0.00162987975860125,0.0113312571477631,0.000948204220117412,0.000208943117625579,0.00113710523442394,0.275044511636057,0,0,0,0
"Glut-Arco-2",0.0343961109910348,0.000261112990546131,0.0167460731002282,0.00133971658061938,0.00123959809463002,0.100222589234704,0.00527543513653043,0.000575030732690328,0.00216988632737547,0,0.0935453527041153,0.0103778707232402,0.00158158544032421,0.0112263647603169,0.170285429021693,0.000203309342924727,0,0,0,0.000175553838095946,0,0.00348899635943186,0.0313412595158673,0.00155446313406273,0.000446282562786226,0,0
"Glut-Arco-3",0.029752557967052,0.00781962784536035,0.0121241833025081,0.0171762039086878,0.00554619376296337,0.0169822144905876,0.00971375901361395,0,0.0253224631628049,0,0.00152913046625999,0.0377860446241036,0.00150220034613786,0.00615892643046888,0.0420729672306368,0.00045462877775634,0.00181091367758783,0.00439433807088979,0.00231617169659885,0.00228547300697116,0.00121853492566618,0.0092004328924473,0.190108487053435,0.000467531824022665,0.000772874145801492,0.00228593072815942,0
"Glut-Arco-4",0.00506803817986322,0.00307416337648543,0.00417586170210009,0.00569933928514612,0.00311054064383387,0.00377575987756909,0.0313219723288052,0,0.0130457243183546,0.0039988442487871,0.0120567857545189,0.0200672556960301,0.0419906176563971,0.0690019764862431,0.00858147680492127,0.00567158458012843,0.00608688939050635,0.00413022333376834,0.0172728708333964,0.0068142665335145,0,0.0203878978384663,0.00984054642280872,0,0,0.00322274747750146,0
"Glut-Arco-5",0.00833433914672733,0.00163511532674948,0.000996285615250074,0,0.0127031104251038,0.0179834206377169,0,0.0296323704765824,0.00371866300513044,0,0.0441423724232731,0.00404436814854359,0,0.000773805129666963,0.00479771317113892,0,0,0,0.00526944671259497,0,0.00394147689477633,0,0.356834565531831,0,0.00205651018516057,0,0
"Glut-HVC-1",0.00560790151174463,0.00294090157599656,0.00322336556179764,0,0.0074812180533377,0,0.0623927083367262,0.000253835980752959,0.00948337370298179,0.00412753612664395,0.00068685088712915,0.00402118366402195,0.0525013150147911,0.0345949833239038,0.000550826550442931,0.0188636697276088,0.00476331058574974,0.0200647520021305,0.0013675080649712,0.00989407173522101,0.0140145440301057,0.00715196776754679,0.00148461029357062,0.00300982223423219,0.0569491016382121,0.0670542653483149,0
"Glut-HVC-1a",0.00292669141720979,0.000318580209600168,0.0101300321477885,0,0.0134120499753773,0.00114343549592708,0.0129389786696856,0.000237605648966521,0.00516841598322722,0,0.00723052245350271,0.02123625788135,0.0304529735322017,0.016732039643095,0,0.122511120638184,0.0947822901678265,0.00204924469165041,0.00574064871840477,0.000337046728546367,0.0584257277997222,0.00193870177831701,0,0.00339811780249335,0.0152897990781172,0.00619775116271374,0.000368966795048792
"Glut-HVC-2",0.00288026632188813,0.0631751576282152,0,0,0.0352712428850166,0.0034130160449125,0.0123838729891954,0.00466462585046456,0.0950271864900551,0.000506389166837777,0.00229606374120865,0,0.00731919928123722,0.00326720617491252,0.0325631279929939,0.00126971001945196,0.00192941379275899,0.0342951936065495,0.0349875516910593,0.00378782842264348,0.00256283370718083,0,0,0.0197584914944353,0.00544065503857312,0,0
"Glut-LMAN-1",0.00101543578625773,0,0,0,0.00920887500233886,0.00406977499886904,0.0459098622123058,0,0,0.0317695867425881,0.00418665619986853,0.0253637212058315,0.000299796133956577,0.0269004324957632,0,0.0165536029716489,0.00498159520689445,0.00637835734032288,0.00524760930068607,0.0645386646779431,0.00381643103660393,0.00219423142479274,0,0.025151220047072,0.00127322579141248,0.132360462352317,0.000328667636409113
"Glut-LMAN-2",0.00478735654855227,0,0,0,0.000464265212960059,0,0.0134470515314262,0.000366722268858725,0.0375267973634757,0.109795091122222,0.00076620558372589,0.00036500306445984,0.0109625623355797,0.000528274924820916,0,0.000416068435228471,0,0.00822602227390625,0.00167630935649431,0.188343871092399,0.00504237573921997,0,0,0.000378885605942075,0.0135776701011647,0.00208405213283856,0.122496995173182
