"","Ex_BCL6","Ex_Pre_KCNH7","Ex_DACH2_MGAT4C","Ex_CACNA1H_KIT","Ex_TSHZ2_NR4A2","Ex_CACNA1H_MCTP2","Ex_DACH2_RORB","Ex_CACNA1H_CPA6","Ex_DACH2_TAC1","Ex_KIAA1217","Ex_SATB2_OVOA","Ex_DACH2_NR4A3","Ex_DACH2_LUZP2","Ex_Pre_SATB2","Ex_CACNA1H_PROX1","Ex_DACH2_ITGA9","Ex_SATB2_FOXP2","Ex_CACNA1H_LHX9","Ex_DACH2_ADAMTS5","Ex_DACH2_GRIK4","Ex_KIAA1217_BCL6","Ex_DACH2_SLIT2","Ex_SATB2_ZNF385B","Ex_DACH2_LHX2","Ex_SATB2_SOX6","Ex_DACH2_ZMAT4","Ex_DACH2_CEMIP"
"Glut-Arco-1",0.00914659835944125,0.0115896151461936,0.000806097790441645,0.0427961593205355,0.0472995924256303,0.0157997115797805,0.00276169604551454,0.0261988887077,0.00156167882725153,0.025575789477492,0.00152818095010474,0.0245993333957384,0.000493377097186482,0.000581273969075874,0.00758927672473225,0.0106496707392804,0.0146404645798231,0.247523831505853,0.000272234941694396,0.000399952592588044,0.00682909809575328,0.00069863168883715,0,0,0,0,0
"Glut-Arco-2",0.040488328802565,0.00600335613972798,0,0.164510404737859,0.000953607973601659,0.103439586192787,0.000179447051620573,0.0180848021665448,0,0.00479241903094845,0.0134948707223619,0.0116441729200844,0.0002628541706827,0.00748138928755495,0.102799752161711,0.000228629818609063,0.00210756640902727,0.0302449349448468,0,0.000276058984250448,0.00089618334714587,0.000419234011160842,0.000733359151239991,0.00133655608509449,0.00124257199393732,0,0
"Glut-Arco-3",0.0342408747763441,0.0161068850974001,0.00127605273814607,0.0423432755813688,0.028390851627417,0.0204523855365139,0.00331643801122827,0.018635275839004,0.00557107219769992,0.0307709915976309,0.00575285665605366,0.0424033041636232,0.00114812305516321,0.00859026187513526,0.00168210596123224,0.00561191574925317,0.00858122638866712,0.162934375642365,0.00115322110250975,0.00107274445566327,0.00779701406587621,0,0.000681969320364386,0.00044785455824153,0.00157727456467617,0,0
"Glut-Arco-4",0.0067254262563479,0.0516131871044254,0.00660040793881934,0.00883016643596522,0.00612756704368319,0.00400823030048497,0.00672405562955732,0.0070167991811537,0.0022885414955524,0.0179915760319592,0.0569555633679314,0.0181174339951332,0.00117655681695309,0.0151316232807195,0.0100643783964151,0.0141452230819391,0.00787196220435948,0.00923036661192637,0.00709782677080313,0.00494820241390664,0.00558602825087286,0,0,0,0.0296295206133412,0.00728642465759652,0
"Glut-Arco-5",0.0104307311711321,0.00274955095622692,0,0.00524120636886871,0,0.0171950508869886,0,0.000783910503163413,0,0.00972672015770957,0.000992928323294454,0.00548671856902773,0.00685516335018926,0,0.0498074508029432,0.0115836002235133,0.0189394440090052,0.343265727110888,0,0.00133594214448974,0.00302417069262065,0.0197841218864365,0.00305019824377388,0,0,0,0
"Glut-HVC-1",0.00706132892828001,0.0700225855165955,0.00458296300983659,0.000765964956135737,0,0,0.0104284238604753,0.00380611957580202,0.0196765475992107,0.0134402797252949,0.0328508059217203,0.00586414522309459,0.0123203063165878,0.00686964610362025,0.0019599907256086,0.00086901717559419,0.00957173946565698,0.00222721148812216,0.0706241176471204,0.0209645424610198,0.00384495298043052,0.000431061056721229,0.0664527481002628,0.00308253854752035,0.0546191707017648,0.00514627705034652,0
"Glut-HVC-1a",0.00331380620623696,0.0169105794748213,0.0889136280952629,0,0,0.000951253785873844,0,0.0148602242935351,0.00324146820202066,0.0054103643556631,0.0184512925127848,0.0266232611970939,0.0603011973525872,0.00294859857072783,0.00849146299728697,0.00409283966019877,0.0164323760754712,0,0.00986201664994635,0.11656263696749,0.00058064140766912,0.00214415973449799,0.0186251961545312,0.00378649622946176,0.0391436119358218,0.000904862325171747,0.000441790343893302
"Glut-HVC-2",0.00214489102103609,0.0180940756169431,0.00228321037752438,0.0307654239962938,0,0.00184867053035366,0.00233860700836177,0,0.0329754249329123,0.111692327206652,0.00618082274241184,0,0.00182805251536699,0,0.007124189733887,0.0298385620138866,0.0418795860828064,0,0,0.000919184972476331,0.0770913913548142,0.0032076955821475,0.00510871581423823,0.0189840458611505,0.00673540791455876,0,0
"Glut-LMAN-1",0.00227428703348548,0.0491156128943624,0.00516153593750152,0,0,0.00473265633863907,0.0740358044562931,0,0.00968836228425324,0,0.0320425694825594,0.033114390895921,0.00320556088802617,0.00369821638234206,0.00850591254743357,0.00400706021306289,0.0135999179156215,0,0.127256278258347,0.0191947753025051,0,0,0.00161595720042699,0.0272264265858835,0.00034136415985466,0.0306422570398576,0
"Glut-LMAN-2",0.00633078858641139,0.0197713713804728,0,0,0,0,0.212622891762214,0,0.0148887700551125,0.0356032722164179,0,0.000321312624101573,0.0102084323032788,0,0.00165671638504294,0.000862342483142859,0.00026105698047692,0,0.00449164134221189,0.000598212337672641,0,0.000328512419588241,0.0177635709989151,0,0.0100295815022897,0.0923391561299507,0.132157617590232
"Glut-NC-1",0.00423402766364213,0.0145506780757363,0.101517974127749,0,0,0.00109694241437694,0.00227918877450267,0,0.00506596409435203,0.000989958782823488,0.00832461840465038,0.100210374695439,0.105750778330832,0.000398665400922652,0.00563503541400733,0.00580873007613849,0.0013085107309959,0,0.0141285275821891,0.138238025006447,0,0.00322573219530008,0,0.0318271123394277,0.00242870446585604,0.000907474744177422,0
"Glut-NC-2",0.0014242707711692,0.0061657591334993,0.0511802365825673,0,0,0,0.00213789550812397,0.000517466757157305,0.000546230824634308,0.0067646044768145,0.0095685123627222,0.0655514070549984,0.109647322880282,0,0.00133334000342711,0.000738162444544961,0.00696837085580844,0,0.0209112165120199,0.080337956421818,0,0.00156103094006846,0.0045511850299719,0.10663733765509,0.00185125373279204,0,0
