"","Ex_BCL6","Ex_KIAA1217_BCL6","Ex_DACH2_MGAT4C","Ex_CACNA1H_KIT","Ex_SATB2_SOX6","Ex_CACNA1H_MCTP2","Ex_CACNA1H_PROX1","Ex_KIAA1217","Ex_CACNA1H_LHX9","Ex_DACH2_ADAMTS5","Ex_Pre_SATB2","Ex_SATB2_OVOA","Ex_CACNA1H_CPA6","Ex_DACH2_LUZP2","Ex_Pre_KCNH7","Ex_DACH2_NR4A3","Ex_TSHZ2_NR4A2","Ex_SATB2_FOXP2","Ex_DACH2_TAC1","Ex_DACH2_GRIK4","Ex_DACH2_ITGA9","Ex_DACH2_RORB","Ex_DACH2_SLIT2","Ex_DACH2_LHX2","Ex_SATB2_ZNF385B","Ex_DACH2_ZMAT4","Ex_DACH2_CEMIP"
"Glut-Arco-1",0.00965186123792766,0.00838171451003003,0.00076553308906367,0.0447173211593587,0.000596565229664987,0.0166588009720119,0.0100980595700256,0.0297052792454361,0.232272503685156,0.000588852127511989,0.000928024007264622,0.000641548311959941,0.0277772151962825,0.00149399466638129,0.01315716001731,0.0249450604308521,0.0470386913222463,0.0174732627165445,0.00202951375450516,0.000724342224020889,0.0110906176402184,0.00431803682554506,0,0,0,0,0
"Glut-Arco-2",0.0405133031398459,0.00102362682217204,0,0.160134490428973,0.00115087062759193,0.102276915264449,0.106460034870254,0.00483932866707855,0.0294453851047973,0.00061523515126778,0.00696079006524847,0.0152576548461262,0.0176086053175877,0,0.00852895053500756,0.0131383518486291,0.00203424213288044,0.00289230291700241,0,0.000289338782453392,0,0.000203443409014931,0.000388812841325692,0.000631181759360059,0.00249776355405401,0,0
"Glut-Arco-3",0.0370198437952192,0.00724759042070738,0.000526246877034826,0.04127186845673,0.00185009392644822,0.0203080810064342,0.00343781196565844,0.0342667019576201,0.148020347090873,0.000435949453560999,0.00886693697922579,0.00479553167425883,0.0188286692432031,0.000966371634012274,0.0177259887514475,0.0425689129079212,0.0322926030174753,0.0130246568796654,0.00536705056412812,0.00153876619575883,0.00592220841882344,0.00358384133700462,0,0.000515122109609989,0.000657148265310397,0,0
"Glut-Arco-4",0.00592134921756595,0.00350754445734497,0.00433522345849509,0.0102939651029777,0.0270940441684583,0.00341980675883234,0.0105673717304715,0.0170676552118098,0.00773597000660366,0.00704238560958721,0.0115136313008551,0.0617052806068633,0.00718077073965744,0.00106613765559814,0.0575358843754069,0.0165627051081406,0.00730302206791771,0.0103247473721576,0.00333361529898778,0.00346945839632997,0.00525505938618368,0.00857130588801299,0,0,0,0.00813334366625269,0
"Glut-Arco-5",0.00904873153709331,0.0048820938456446,0,0.00514748933572659,0,0.0189900943287768,0.0518074436982906,0.0118272210786209,0.337266649267562,0,0,0.000993761928880474,0.00113382176465804,0.0152389772307772,0.00202146685765027,0.00255873447652934,0.00118283259352152,0.0161890375461858,0,0.00156499071474297,0.0160400008977216,0,0.014904115654974,0,0.00514770917418972,0,0
"Glut-HVC-1",0.00620236473970839,0.00447497343042828,0.0037389218860671,0.000890145986900274,0.0559902761633319,0.000355253207846346,0.00260057498173718,0.0138994034345651,0.0023262206625844,0.0661272892529217,0.00292338241140884,0.0323244828932132,0.0035139243008089,0.0106403239911236,0.0750901249320644,0.00753511699599423,0,0.0106082414959131,0.0201217365885784,0.020669242156643,0.000852654207933038,0.0151248678578494,0,0.00252852594990304,0.0789710479245613,0.00433147119042558,0
"Glut-HVC-1a",0.00342703006125917,0.000712822933570616,0.0839858000094131,0,0.0379707951237831,0.00125547775224595,0.00936730610799675,0.00727628636630059,0,0.0103290519300329,0.00258827873383867,0.0198411254421651,0.0165887491284923,0.0595079183096124,0.0190491288257414,0.0267275414455964,0,0.0198563717670383,0.00418123440754706,0.112780675141473,0.00573838427975594,0,0.0017551640045859,0.00439088677163872,0.0214332698086002,0.000839359888641677,0.00049359584981159
"Glut-HVC-2",0.00329461232297953,0.0720864329385894,0.00108885258785505,0.0253817594928413,0.00572957899601379,0.00156048974178852,0.00949897275741357,0.118171731912725,0,0,0,0.00538314451162692,0,0.00409952966125049,0.0208706073251939,0,0,0.0434157937143414,0.0315013160440421,0.000821278301549405,0.0316674318517745,0.00376121980292804,0.00251312043519112,0.0183457688827505,0.00686906999872082,0,0
"Glut-LMAN-1",0.00279745188804829,0,0.00487072344717871,0,0.000351803902801884,0.00742283667488029,0.00870689748102007,0,0,0.119411071668946,0.00254703232227465,0.0333003666915617,0,0.00358543308193704,0.0511246406791729,0.0391757872639558,0,0.0159673033394654,0.0120547248399753,0.019629547124886,0.00273754277998785,0.0748361908542176,0,0.0253939514030859,0.00282766609544964,0.0338857756159116,0
"Glut-LMAN-2",0.00773358159152707,0,0,0,0.0106070041859305,0,0.00317324417374199,0.0381240666943417,0,0.0044530856981207,0.000497591407717525,0.000366000179886344,0,0.00990387149382008,0.0214331482344045,0.000344798560582225,0,0.000236067043483295,0.0144887604249281,0.000531499801876788,0.00117061190193977,0.220855035184795,0,0,0.019258753337588,0.084957322464305,0.128987828359383
"Glut-NC-1",0.00684359034321576,0,0.101290630912726,0.000331395476019107,0.00249931405241174,0.00153777557730789,0.00606588625953992,0.00170899460075337,0,0.0149902168194083,0.00055382834407703,0.00712421895149677,0,0.0976275229089732,0.0146701806749135,0.102223389644255,0,0.000971294970234461,0.00605885139035696,0.139217941964568,0.00546232798762839,0.00262642063466938,0.00189351251976998,0.0341199668750542,0.00154905330091783,0.00056998193796885,0
"Glut-NC-2",0.00107069691303937,0,0.0537440767515582,0,0.00199020105464083,0,0.00118012043050792,0.00860134035289086,0,0.0179352274409875,0,0.0102103490449913,0.000635769538185257,0.113721591432117,0.00693651424149034,0.0662368843112563,0,0.00761976037663912,0.000699232518079053,0.0781980631247029,0.000742439046164917,0.00209307709986302,0.00118389383646774,0.103576807122635,0.00498645902862833,0,0
"Glut-NC-3",0.0165575556824997,0,0,0,0,0.00422108109306741,0,0.000842255781623898,0,0.000408442083853447,0.00107273433116558,0.000981546928111755,0,0.00781942754271395,0.0126602412246366,0.0157101562058538,0,0,0.0271233526686649,0.00104074669569164,0.0191979090971701,0.0142735229637695,0.42636601246695,0.00320500328328573,0.000338697475405295,0.0470070316310432,0.00756786617642463
"Glut-NC-4",0.0130334440234671,0.0196100337694861,0.00452595957196243,0,0.00770164149825875,0,0,0.0299774146676073,0,0.00659206685200259,0,0.0133520777905113,0,0.000902015839711342,0.0143691625900942,0.038391998460861,0,0.0160840615384901,0.0110137066390072,0.00649422973902635,0.202117746937701,0.00346707864421212,0.0381004106577662,0,0.000724296452397126,0.0279147438594641,0
"Glut-NR-1",0.00205214708105366,0,0.0632383428608026,0,0,0.000695112386659336,0.0058482477023564,0.0012396470335883,0,0.0930882653276334,0.00103119921104399,0.00694121957415041,0,0.00994648488544693,0.0244358922505773,0.042397223675597,0,0.000836620018943643,0.00735358266298503,0.0329019790945463,0.00107960868146074,0.00473125439648639,0,0.191572302214252,0.00127141264750117,0,0
"Glut-NR-2",0.0486056992463227,0.0153629679584859,0.00138023271701318,0,0.00399265217428611,0,0.00104209613587593,0.00474595215393794,0,0.00306983552207963,0,0.000687770772893731,0,0,0.00702759600360062,0.00421965076660233,0,0.0123152663634211,0.0254026101031101,0.0027970394015088,0.0305611577436511,0.00207837766467776,0.000389590679133753,0,0.00276698966378702,0.0865226562691179,0.360816932392358
"Glut-NR-3",0.00527777319170559,0.00153263528627154,0.0878070510864313,0,0.00700086535015468,0,0.000705157678889048,0.00607567488040295,0,0.0813458757976835,0.000298426928915979,0.0381582020087471,0,0.000935887258359131,0.0196626204081662,0.057260239383745,0,0.00123631675020309,0.0234809643660153,0.111967798348641,0.0164934070061985,0.00287372986792416,0,0.00492875134811752,0.00234318569134521,0.00235614843486362,0.00129740121882559
