"","Ex_BCL6","Ex_DACH2_ITGA9","Ex_TSHZ2_NR4A2","Ex_SATB2_OVOA","Ex_Pre_KCNH7","Ex_CACNA1H_MCTP2","Ex_DACH2_MGAT4C","Ex_CACNA1H_CPA6","Ex_CACNA1H_PROX1","Ex_SATB2_ZNF385B","Ex_DACH2_RORB","Ex_Pre_SATB2","Ex_DACH2_SLIT2","Ex_KIAA1217","Ex_DACH2_GRIK4","Ex_KIAA1217_BCL6","Ex_CACNA1H_KIT","Ex_DACH2_LUZP2","Ex_DACH2_ADAMTS5","Ex_SATB2_SOX6","Ex_SATB2_FOXP2","Ex_DACH2_NR4A3","Ex_CACNA1H_LHX9","Ex_DACH2_TAC1","Ex_DACH2_ZMAT4","Ex_DACH2_LHX2","Ex_DACH2_CEMIP"
"Glut-Arco-1",0.0107013900091342,0.0148385521719657,0.0475444099303929,0.00181723611367663,0.0160749418039584,0.0197868866108771,0.00114101566700575,0.0267646147846039,0.0120193891683943,0.00175574917242172,0.00612074589839625,0.00123982749688823,0.000352323900910854,0.0344372339484659,0.00141181696196584,0.00682526497262498,0.0416971164925119,0.0029403984719288,0.000289577874073921,0.000758851114524484,0.0172034033963581,0.0288282380264253,0.205427079931236,0.00257745953016399,0,0,0
"Glut-Arco-2",0.0413740496983397,0,0.00152896510177142,0.0162730124809766,0.0102351418243018,0.0991122780133152,0,0.0241567554050651,0.108198921760505,0.00499906987561179,0,0.00869138031532494,0.000392330478679611,0.00615668731284077,0.000272612705862685,0.00123712233297369,0.152636523761224,0.000325568031129091,0,0.000753527931699037,0.00521927655648359,0.0171252978911863,0.0272629549151478,0.000272646215619562,0.000142867586146827,0.000517635446215094,0
"Glut-Arco-3",0.0387642044334391,0.00785386065820235,0.0371715562361763,0.00525801861002838,0.0198598784538734,0.0191571652900568,0,0.0202307481875165,0.00589265448339196,0.00484877422029499,0.00413702550839668,0.00853177963055197,0,0.0353242117753891,0.00169118022250482,0.00706433043418918,0.0362996346388862,0.0019958007921245,0,0.00176205936998339,0.0167539824191077,0.0444916426395652,0.125021117196322,0.00864032839642014,0,0.000524129065400755,0
"Glut-Arco-4",0.00702728706980175,0.00360811897380212,0.00757829769208751,0.0545159377092843,0.0599673205195156,0.000784308981582427,0.00342159104295388,0.00833075431028879,0.0104417828061089,0,0.0111716358138862,0.0106956884646486,0,0.0208988382234896,0.00239412766546621,0.00526520810830115,0.0117171586945071,0.000919768792398618,0.00537660097063975,0.0176691106590542,0.0113416593654463,0.0160490005584328,0.00749078689897619,0.00297792195989665,0.00775230098458783,0,0
"Glut-Arco-5",0.0137314758036827,0.0172395485197657,0,0,0.0033840893831737,0.0134331069011942,0.000622882252062075,0.00160901297437305,0.0516159137337067,0.0117018442233363,0,0,0.021808285426277,0.014243021786112,0.00183334035100109,0.00710403736859171,0.00608934041060141,0.0155369698124424,0,0,0.0219518486797325,0.00450761718034852,0.326661764675377,0,0,0,0
"Glut-HVC-1",0.00645229403386691,0.000296240206665119,0,0.0326123117658824,0.0760740793626826,0.00038681012468362,0.00466647403174427,0.00571003847421308,0.00313419110216575,0.0869509298104987,0.0149505762674464,0.00309409769776267,0,0.0150464225871062,0.0221018744828843,0.00432421611846758,0.00210905942007331,0.00889255945519339,0.0632417515150334,0.0618483021941889,0.010147344358975,0.00749352559887001,0.00179156863270174,0.0190249658965733,0.00380784009654852,0.00160070498161187,0
"Glut-HVC-1a",0.00304799994637495,0.0044746613749785,0,0.0200041330854245,0.0212013065858274,0.000827766900514955,0.082695330271386,0.0164602783429909,0.00895984862251734,0.0246437885207105,0,0.00191484853890581,0.00157176013712947,0.00854346203487217,0.107643879643871,0.000650621485910728,0,0.0575949007246889,0.0113618009011943,0.0421985580703699,0.022319133672751,0.0279892340597443,0,0.00521177666027844,0,0.00517728216134723,0.000453706172534312
"Glut-HVC-2",0.0024786164424022,0.0274726365966505,0,0.00661888375123261,0.0215705663730924,0.00114139118154942,0,0,0.010344792395621,0.00672779168739066,0.00420981137154755,0,0.00348045239725226,0.128146565786062,0.00125019973091395,0.065850816118396,0.0196700992037317,0.00361723357886215,0,0.00626919094984237,0.0424170807606326,0,0,0.0361892529593086,0.000579064177180394,0.0243176232102355,0.000521660932107049
"Glut-LMAN-1",0.00431579205674974,0.00343365442003639,0,0.0317769935161533,0.0543178953156276,0.00779574840246725,0.00377240890540027,0,0.0113525467588373,0.0068742692565458,0.0780032702403167,0.00180442550802854,0,0,0.0241675442175664,0,0,0.00316430646921192,0.116614437221036,0,0.0206164991736585,0.0389975771512153,0,0.0119710681554546,0.0311169733040915,0.0245087828590039,0
"Glut-LMAN-2",0.0106229841794076,0.00129119846121152,0,0.000876341086888484,0.0262260462996559,0.000460710786922981,0.000363717416498446,0,0.00392729476515364,0.0240451658179243,0.22171469201436,0,0.000681211845637632,0.0384546062148665,0.00050694086729621,0,0,0.0119486316688415,0.00471847117786882,0.0143588446204937,0.000940991341631212,0.000335070378251878,0,0.0161931444234042,0.0730255860354527,0,0.122055596847869
