"","Glut-Arco-1","Glut-NR-5","Glut-RA","Glut-Arco-5","Glut-LMAN-1","Glut-NC-4","Glut-Arco-4","Glut-Arco-3","Glut-NC-2","Glut-NC-1","Glut-HVC-1a","Glut-HVC-1","Glut-NC-3","Glut-NR-3","Glut-Arco-2","Glut-NR-1","Glut-LMAN-2","Glut-NR-2","Glut-HVC-2","Glut-NR-4"
"Ex_BCL6",0.0031477505463003,0.00123555712722397,0.0444881381943995,0.00889907496310491,0.00474782934960734,0.00196265615513638,0.00287716370656385,0.0158515801581019,0.00253104142894753,0.0217028507551826,0.00460474862082179,0.0104715048740808,0.0725387387251341,0.00408132544129515,0.104711300896161,0.00250242030274976,0.0127449317813905,0.157561947729603,0.00832091719871226,0
"Ex_CACNA1H_CPA6",0.133689523471852,0,0.115237537273554,0,0,0,0,0.00157151121482622,0,0,0.0316193712818212,0.0109649807489102,0,0,0.315420556417217,0,0,0,0,0
"Ex_CACNA1H_KIT",0.0321503877741197,0.000672921926941865,0.0834899688744159,0.00900168785337534,0,0.000892581410788022,0.00342510353653236,0.00274987181731637,0,0,0.00256880397582808,0.00745193061156308,0,0.000719359917523639,0.493315204546274,0,0,0.00227198796836088,0.0152341378945759,0
"Ex_CACNA1H_LHX9",0.168428177271937,0,0.00225763667234333,0.328881173376458,0,0,0,0.0255252232149226,0,0.00253501370640265,0.000827371234789885,0.0107465331063975,0.00236959733606964,0,0.08461795196786,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0618813204725724,0,0.00962863940517412,0.0274925045262069,0.0091142412021228,0.00241257235190488,0.00472696234222794,0.000984076741022025,0.00361691464637958,0.00406072269169755,0.00544760162219865,0.000717512895175715,0.00738852686743067,0.000923628914182864,0.380618364612352,0.0102731191556997,0,0,0.00550228842719329,0.0281155412052034
"Ex_CACNA1H_PROX1",0.00999319191581667,0,0.0180479698031045,0.0273635684968605,0.0126674266382297,0,0.00171419840194967,0.00145859973899993,0.00165233502987698,0.00432880645648575,0.0098625868148625,0.00568832784348168,0.00132644628930238,0.00164310006847001,0.490578665688425,0.014361888121699,0.00273132454329312,0.00162529241675937,0.00806978354108073,0
"Ex_DACH2_ADAMTS5",0,0,0.00090715350695045,0,0.0901956997522645,0.00215986236406224,0.0172055440687516,0.00169579258052379,0.0342282936425239,0.00604575139531083,0.00945183935125016,0.0471364813219067,0.00298144913011605,0.119175979120473,0,0.136370777381868,0.00302371601497187,0.0167281019713731,0,0.0154417033873641
"Ex_DACH2_CEMIP",0.000448888624917074,0,0,0.000829384690854054,0,0.000693166249008719,0.00399625934645329,0,0,0,0.000650229077448615,0.000486725142991146,0.0645564821200911,0.00311132679034404,0.000709861200000818,0,0.0698585353148871,0.532928308096192,0.000688299589291289,0.0415132425555425
"Ex_DACH2_GRIK4",0,0,0.00123149414651893,0.00652451571350131,0.0175091164046849,0,0.0121416338065579,0.000891431499986105,0.0518617614196397,0.178061123796313,0.0739152692937708,0.0065036793438508,0.00150474655476828,0.112589957120013,0.00245140797154415,0.0540041558178659,0.0011261907331371,0,0.000346330771639363,0.000403734792358256
"Ex_DACH2_ITGA9",0.0149914914803008,0,0.00400588616970983,0.00182841474516561,0.00824288753241352,0.059324159722655,0.0230108417448539,0.00554012030543687,0.0065281380802232,0.0292131970456167,0.0135621814400949,0.00520681891931125,0.0799619916412238,0.0550561403369998,0.0104786793582025,0.00792774475678452,0.00389147979241435,0.0315346268195666,0.0197779642348494,0.0996457622453812
