"","Glut-Arco-1","Glut-NC-3","Glut-HVC-2","Glut-NR-5","Glut-HVC-1a","Glut-Arco-4","Glut-NR-1","Glut-HVC-1","Glut-LMAN-2","Glut-NR-2","Glut-LMAN-1","Glut-NC-2","Glut-RA","Glut-Arco-3","Glut-Arco-2","Glut-NR-3","Glut-NC-4","Glut-NC-1","Glut-Arco-5","Glut-NR-4"
"Ex_BCL6",0.00152832581943296,0.0724166015933161,0.00514875664025766,0.00101660862659144,0.0012164391071765,0.00158233283349837,0.00162535034999549,0.00585690064403747,0.00538157200976255,0.116397761249577,0.00366463507761973,0.00128376461393789,0.0322508869996241,0.00712270814146382,0.086273696877495,0.00194432088607395,0.00117401916728453,0.0201239324808561,0.00605095570966242,0
"Ex_CACNA1H_CPA6",0.134749959143556,0,0,0,0.00319932675284791,0,0,0.00507184063730143,0,0,0,0,0.0682792263864549,0,0.276425494992534,0,0,0,0,0
"Ex_CACNA1H_KIT",0.0244420717249396,0,0.00675192244475298,0,0.000716684469542748,0.00241992560188774,0,0.0030168190951054,0,0.00180375155548816,0.00106839807053472,0.000814862000523228,0.0289817428236825,0.00669175862715482,0.523210945167373,0.000374390986770262,0.000844400100626317,0.00139335696492414,0.00731192871275874,0
"Ex_CACNA1H_LHX9",0.117464457811361,0.00280076853392503,0,0,0,0,0,0.00684468540035696,0,0,0,0,0.00238982243273501,0.0205311049991611,0.086074860049712,0,0,0.00300782469542407,0.300361679107568,0
"Ex_CACNA1H_MCTP2",0.0284804643277463,0.00650017729799275,0.00203249360799299,0,0.0024006052713573,0.00090161698093349,0.0242492666658376,0,0,0,0.00356037756704902,0.00518391641317341,0.000700893172613117,0.00179727416443524,0.387324235085281,0.000568718951464867,0.00229105575134942,0.00433282801497219,0.0185164728449878,0.00704142429828236
"Ex_CACNA1H_PROX1",0.00647786223440343,0.000557819143984972,0.00255137225549923,0,0.0052764626407756,0,0.00876881274510422,0.00157618741942182,0.000882656494504166,0,0.00676679159379416,0.000632981546321338,0.00757704833736285,0,0.530510517628405,0,0,0.00829921830823644,0.0050578261340072,0
"Ex_DACH2_ADAMTS5",0,0.00187493717024944,0,0,0.00598270648909625,0.0100314097003285,0.199248466056235,0.0230187707745527,0.000563970205012013,0.0121250956168312,0.0400912340785912,0.0261417466450543,0.000240325379067305,0,0.000740359407916596,0.105019684057157,0.000566832912302653,0.00297440986655611,0,0.0137208602894877
"Ex_DACH2_CEMIP",0,0.0529836306877123,0,0,0,0.00236244222131933,0,0.000411696719874482,0.0400330623676153,0.493705128683192,0,0,0,0,0,0.00402414388833872,0.000403701127464341,0.00150044336534882,0,0.0396166205969757
"Ex_DACH2_GRIK4",0,0.000717695197898467,0,0,0.0494022031888392,0.00347278162019797,0.0596721923754249,0.00294428560981192,0.000994139323595042,0,0.00461977431349755,0.0433373345433867,0.000644673991249521,0.00107518289515452,0.00168875731066582,0.106023919752654,0,0.188969268235348,0.00346690190844022,0
"Ex_DACH2_ITGA9",0.0104665823455772,0.0639784321646068,0.0101627511201651,0.000456968573246255,0.00842260494145459,0.00548280620277997,0.00755656029275183,0.00422370951189256,0.00211437372688734,0.0282418117173154,0.0068304860979365,0.00704881994992012,0.000964267501518285,0.00310870455199577,0.00754499732393817,0.0546506714158427,0.0508415310808393,0.026365929719242,0.000407533226364089,0.0993660856169321
