"","Glut-Arco-1","Glut-RA","Glut-NR-1","Glut-Arco-5","Glut-NC-3","Glut-NR-2","Glut-HVC-1","Glut-Arco-3","Glut-HVC-2","Glut-HVC-1a","Glut-Arco-4","Glut-NC-2","Glut-NC-4","Glut-LMAN-2","Glut-Arco-2","Glut-NR-3","Glut-LMAN-1","Glut-NC-1","Glut-NR-5","Glut-NR-4"
"Ex_BCL6",0.00869576348150888,0.0546142530057937,0.00339328341666139,0.0106550742808138,0.0732857691855512,0.165632210646771,0.0153707812925455,0.0175615239528013,0.00883404155045038,0.00424152743364075,0.00394379459011328,0.00240390566168638,0.00303293925452842,0.0166132683524539,0.108381064822932,0.00675211916547269,0.00473294607395307,0.0152662121849624,0.00116065510928209,0
"Ex_CACNA1H_CPA6",0.129839867729137,0.127132863724881,0,0,0,0,0.0181267728400645,0.00343566627761973,0,0.0438016043175252,0,0,0,0,0.31203131147191,0,0,0,0,0
"Ex_CACNA1H_KIT",0.0421233507870647,0.103706393767632,0,0.0108810110154647,0,0.00289889025471507,0.00951031433011313,0.00450902072508068,0.0195639293088925,0.00313132249157407,0.0040522617382664,0,0.000824200252744761,0,0.473331659067799,0.000568243917764082,0.000693989688965992,0,0.000927511218059146,0
"Ex_CACNA1H_LHX9",0.190497349772174,0.00450934760438638,0,0.318399772912905,0.00135589519541952,0,0.0123013560381296,0.0205481014169552,0,0.00104312318311833,0,0,0,0.000761231657631796,0.0860707228206418,0,0,0.00338652730084259,0,0
"Ex_CACNA1H_MCTP2",0.0689962303603701,0.0114455270595415,0.0144451159538011,0.0295719546715466,0.00861560023346968,0,0.00212910957668254,0,0.0117013790530644,0.00626504608530782,0.00470999888670662,0.00433609251024421,0.00394038277531055,0,0.360394741991143,0.00318807455459794,0.0128182127890367,0.00322222041624453,0,0.043254553866375
"Ex_CACNA1H_PROX1",0.0128652600595819,0.0231287025297331,0.0140663302307596,0.0292012583098149,0.000593068888027391,0.00129428034871213,0.00609961663084426,0.0014422088533258,0.0152565181988667,0.0104318798398895,0.000827695713706998,0.00205384183726275,0,0.00339934244352414,0.490770524938222,0.00527001218890934,0.0196814615287489,0.00744145319719764,0,0
"Ex_DACH2_ADAMTS5",0,0.00197521185796486,0.136705834462291,0.000331424621437566,0.00312684557461891,0.0165179738729073,0.0542142582570824,0.00203947772817456,0,0.00927562013495594,0.0196935021780874,0.0381749143071128,0.00294537455720043,0.00633763841090289,0.000526226649102184,0.131919329603336,0.0907260283856907,0.0048011322232174,0,0.018410175517706
"Ex_DACH2_CEMIP",0,0.00130156329132561,0,0.000800096981964196,0.0684003896389365,0.536223629590609,0.00045447604394631,0,0.00124630705501457,0.00124711318259367,0.00489842203964574,0,0.00143021268915284,0.086347907979123,0.00102735998426822,0.00311167831050297,0.000574183077249722,0,0,0.0426112360287704
"Ex_DACH2_GRIK4",0,0.00146075724207937,0.051399613600021,0.00637587549078682,0.00194481223808137,0,0.0098620527215109,0.00179512983915611,0.000392412810343637,0.0755761992460183,0.0152538491798149,0.0565481915975552,0,0.000964987994849305,0.00262542622823087,0.119390620029807,0.0216116046485406,0.182567290768982,0,0.00035983036611399
"Ex_DACH2_ITGA9",0.0199980052410914,0.00646842613762206,0.00690797984199886,0.0025054705458284,0.081059818641415,0.0392996349747001,0.00563198060084776,0.00693476103125637,0.0262957150993892,0.0157411285112317,0.0252571370683158,0.0048502981642466,0.067994955155561,0.00514439978612388,0.00830570803731175,0.0601508314690562,0.0112396809124173,0.0240489095628537,0.000439937891278339,0.102420457032889
"Ex_DACH2_LHX2",0.000462914748236882,0.0088587849243053,0.248511520357328,0.00370392036694387,0.0190964337443958,0.000480657790306821,0.00902090457507395,0.000507016286298635,0.0174497587001671,0.00803799886098151,0.00710400718839132,0.133620668144747,0.00285185100724455,0.00122019482021748,0.0123787832225036,0.0132390993112848,0.0154539493615877,0.0631701261695511,0,0.000425255221373853
"Ex_DACH2_LUZP2",0.00126061977916228,0.0102410850832339,0.0194997112026909,0.0432247592213569,0.014527992112779,0.000969957804534596,0.020017172936273,0.001543526760407,0.00783612472319127,0.0503599721832635,0.00648903602731753,0.154406824292574,0,0.0140983147152155,0.00443093260566635,0.00234635588187236,0.00524222127686961,0.21484212932506,0.0010212878147287,0
"Ex_DACH2_MGAT4C",0.00207032683281797,0.00230414528319598,0.0987584215089729,0.000583199677611143,0.00694217092264606,0.00281450403063588,0.0132472702200528,0.00115401279570464,0.00681061058270734,0.0812364604517336,0.0102115012736097,0.0727447794815985,0.00350421102661685,0.00346811079686063,0.00117783140806844,0.104022720392965,0.0102627025877352,0.13653630942235,0,0.000627409183377153
"Ex_DACH2_NR4A3",0.0137990726972083,0.00124388273515626,0.0577904756284171,0.00092952257153481,0.00961535749880145,0.00245891689703104,0.0129925203856034,0.00548042495784343,0,0.0166937105897591,0.0138805138809576,0.0610961404678082,0.00631048922603018,0.00176975485464316,0.00754918577605988,0.0795019678291031,0.064943502375291,0.133335941702612,0,0.0021308504311391
"Ex_DACH2_RORB",0.00100161797356835,0.0349395165693888,0.000505087635755701,0,0.0279215059092804,0.00030569794614055,0.0266250956971381,0,0.00432457634150294,0.000282196471106958,0.00965926013475368,0.00203964838225002,0,0.300109420120109,0,0.000481455648339679,0.131675940989443,0.000523327498909158,0,0.0587090193672279
"Ex_DACH2_SLIT2",0.0054466309607501,0.00111155674854358,0.00411441146889007,0.0480493299771611,0.572884678852599,0.0109349687229943,0,0.000895481152172599,0.00550545874326947,0.0085531182062575,0.00202628461112369,0.0165003682785139,0.0308170621896431,0.00831257417371257,0.00205473675979291,0.00403244685784104,0.000554182795626083,0.0295460483942451,0,0.00181622233927201
"Ex_DACH2_TAC1",0.000815189357848826,0.0222566719914553,0.00339752010143169,0,0.102155509424664,0.0665444404264598,0.040814903099754,0.00489018641652593,0.0331045060537879,0.00768628244153134,0.00554505273034246,0,0.00462641803662815,0.036688966857414,0.000814176569465492,0.0491173042218536,0.0196472432166522,0.0027646247662288,0,0.106892066131562
"Ex_DACH2_ZMAT4",0.00155997857837498,0.00187407606439496,0.000759791350743799,0,0.109206658120957,0.109301790276449,0.00873271681453641,0.00078917550390893,0.0013354002672652,0,0.0100731991144933,0.00105702880956553,0.0160590094178459,0.0339244001684356,0,0.0064376833225436,0.0386156614075486,0,0,0.347772555673866
"Ex_KIAA1217",0.0390267230282017,0.295478222905916,0,0.00816003953276164,0.00029355522372895,0.00767494930283212,0.0126414732541073,0.0164881987794496,0.0756329903308747,0.00369164258178252,0.0288137896317582,0.00164861892418874,0.00787020336827216,0.0405991194215837,0.00283389873215592,0.00476153447683125,0,0.000277752650718836,0.00123175930733913,0.000571458472527812
"Ex_KIAA1217_BCL6",0.0384739966006593,0.0751149199828309,0,0.00328152909250327,0.00419809686624296,0.0940296983156519,0.0392840080882187,0.00713837779445766,0.135224766671763,0.00509950047682803,0.0281896345099931,0,0.0197710494881486,0,0.054638563130587,0.00842733079240384,0,0,0.00228200127870547,0.0042697895849057
"Ex_Pre_KCNH7",0.00958176143949068,0.0221374634050411,0.00988860398509789,0.00190425423798459,0.0164123490104371,0.0171125754051041,0.123128291367714,0.00810402569098223,0.0072617760458581,0.00612474127580903,0.0524390540670192,0.00301240796761304,0.00210017849870155,0.0289008186176658,0.00772493847530714,0.0268335295977267,0.0762123482904043,0.023499212820302,0.00309412847685334,0.0035068359683585
"Ex_Pre_SATB2",0.00630082021643655,0.0416715234215059,0.00848411671724433,0,0.00976454733681748,0.00305197647348248,0.0918410688325962,0.0164666044940018,0.00169344841604958,0.0143018140358407,0.0650618654694312,0.00284904632632734,0.00170170305791286,0.0101716088177317,0.0319646151920059,0.0325330461430899,0.071541503477269,0.0222683641784908,0.0247489754905251,0.00550614629535623
"Ex_SATB2_FOXP2",0.00930093608992122,0.0228308550551162,0.000260316917885276,0.00071171000085978,0.00031346444560907,0.016663607482145,0.0162034505386873,0.00263558526519228,0.0219205644832245,0.0094970883583967,0.0184190243545568,0.00166396716275666,0.00689130174520344,0.00435684282171972,0.00238549560411382,0.00219403063748711,0.0192970426546088,0,0.49199231487842,0.000498473317646072
"Ex_SATB2_OVOA",0.00360777748761981,0.0177930096082682,0.023165234814708,0.000735357035980809,0.00630467056211276,0.00306287551873388,0.0548250003650089,0.00284895615914664,0.00704634342130324,0.0277866549925553,0.0487090576352386,0.025054854451635,0.00196496389288439,0.00604853828507632,0.047294712241588,0.0986187937579688,0.0493790885555572,0.0253762371765023,0.046403214542398,0.00295270992390646
"Ex_SATB2_SOX6",0,0.00435817247830345,0,0,0,0.00253831977853009,0.0585163833510105,0.000830415563287677,0.00416259156150059,0.0215306365628197,0.0415679022942345,0.00083494218032347,0.0069400257325614,0.0178061176662481,0.00433850729394725,0.00232307935395825,0.00388846954470811,0.0017037028589061,0.556089588052548,0.00103088563692703
"Ex_SATB2_ZNF385B",0,0.0416798990795695,0,0.00041341525920814,0,0,0.0678558623609426,0.000649829435296522,0.000871591887101138,0.012430689129048,0.00679902616484689,0,0,0.0106331918955624,0.000706744635961873,0.000331693274305016,0.000368361921555036,0,0.603305797395795,0
