"","Glut-Arco-1","Glut-NR-5","Glut-NC-2","Glut-NC-4","Glut-Arco-5","Glut-NR-2","Glut-Arco-3","Glut-HVC-2","Glut-LMAN-2","Glut-Arco-2","Glut-HVC-1a","Glut-NR-3","Glut-NC-1","Glut-RA","Glut-NC-3","Glut-Arco-4","Glut-LMAN-1","Glut-HVC-1","Glut-NR-1","Glut-NR-4"
"Ex_BCL6",0.00976059815241535,0.00103225255011567,0.00258995141347703,0.00242468833282134,0.00934502007817389,0.157015440658049,0.0165912982282857,0.010717287057836,0.0182499669170552,0.11109956414246,0.00390314282783041,0.00690707772814794,0.0202022090260725,0.0570959660644985,0.0777601087802395,0.00399931743699874,0.00505991068288672,0.0175885061051998,0.00344449484906727,0
"Ex_CACNA1H_CPA6",0.126677980148605,0,0,0,0,0,0.00365541828352461,0,0,0.315249057138534,0.0481608397593336,0,0,0.139757359535075,0,0,0,0.0199379351771569,0,0
"Ex_CACNA1H_KIT",0.0474977096206606,0,0,0.000940565057030301,0.0115375327409393,0.00463041220267825,0.00370572259786164,0.0219811543658148,0,0.461827686978695,0.00408528378985727,0,0,0.114871519938018,0,0.00393764742091878,0.000792301300683368,0.00895877578472049,0,0
"Ex_CACNA1H_LHX9",0.19538973604573,0,0,0,0.311679235684983,0,0.0197843530655818,0,0.00222685269937458,0.0890120239731625,0.00097860365432643,0,0.00229644210547474,0.0087922966470508,0.00149056863360547,0,0,0.0115017110784143,0,0
"Ex_CACNA1H_MCTP2",0.0622061959409089,0,0.00448491573941979,0.00379473585279394,0.0330830235197541,0,0.00186971600123377,0.0130262131581799,0,0.34504777106508,0.0075590078891656,0.00235603864720019,0.00499114673989169,0.0157935594569854,0.00939489714558903,0.00592237876266819,0.0146610338481954,0.00355659283704662,0.0148092987702513,0.0536978031386042
"Ex_CACNA1H_PROX1",0.0135107857808567,0,0.00261490633918243,0,0.0319951867876392,0.00218069860664814,0.00235497163226758,0.0160362015576748,0.00669640735346432,0.474203644836383,0.0140895793604415,0.00352670540124035,0.00700951900922981,0.0239029621548766,0,0.00149858271050866,0.0219166977927442,0.00822790896907063,0.0150656918490407,0
"Ex_DACH2_ADAMTS5",0,0,0.0363407685976329,0.00343647425226843,0.000349688414149349,0.0169690065981524,0.00178880752790661,0,0.00872470428195233,0.000366246045003763,0.0115072778719571,0.130409456049526,0.00394084320756644,0.00282692530753198,0.00372008152134957,0.0222971880235336,0.10031127552358,0.055596247656314,0.131265564797606,0.0196478264498244
"Ex_DACH2_CEMIP",0,0,0,0.00210723962476836,0.000880606469352082,0.523539011814745,0.000972706567230149,0.00124509486942093,0.0951204477852104,0,0.000581515990847799,0.00519608394281489,0,0.00229954112717912,0.0742662750229894,0.0078185132606746,0.000452564287570536,0,0.000332897796147519,0.0446393523246072
"Ex_DACH2_GRIK4",0,0,0.0563340440229578,0.00117240535296537,0.00769710735161673,0,0.00125949724026218,0.00133451217178494,0.00164316972003801,0.00223038639941762,0.0777339077982743,0.112122345390227,0.184456348321719,0.00193454730050921,0.00241420290882686,0.0149525260445195,0.02387266028609,0.0157873515670341,0.0466537726877057,0
"Ex_DACH2_ITGA9",0.0250551503072799,0.000490537870476301,0.00564032176822891,0.0668716097459016,0.00183029730352436,0.043071578398669,0.00549678545588892,0.0249006391450041,0.00610570284740724,0.00776932182778974,0.0178864168788476,0.0595219552116518,0.0212142737231342,0.00738741227527441,0.0844707076491767,0.027166994492003,0.0155168902771584,0.00683353487258959,0.00640914866476701,0.0992880732365036
"Ex_DACH2_LHX2",0.000607589813666417,0,0.135489658385185,0.00282865515276319,0.00328561539440022,0.000545798085765305,0.00051318505808625,0.0191441922134266,0.00225474452176646,0.0114030843807624,0.00893322968692366,0.012088924581975,0.0646739520409872,0.0110717886417226,0.0209739689975548,0.0107673195018175,0.0179832364665283,0.00983409156472249,0.24297634383817,0.000396457309208484
"Ex_DACH2_LUZP2",0.00285146524598799,0.00100772655921917,0.15958998416427,0,0.044816134378046,0.000808496101745675,0.00138397864483817,0.00759826562616023,0.0151346746308076,0.00498149457426898,0.0508050338413976,0.00273035195682226,0.204620564605879,0.0122851112625121,0.0157767413462459,0.00761053444375952,0.00755384769948243,0.0213178197227282,0.0193028030748203,0
"Ex_DACH2_MGAT4C",0.00161968959740049,0.00026481496416512,0.0770599868917221,0.00398614999437381,0.000612744814293049,0.00261972371592518,0.00108989880299493,0.0067906132058227,0.00459442245667271,0.00142510403079435,0.0790954443268622,0.105250840171403,0.135132755854358,0.00326478195768896,0.00624054142000541,0.0107153055663534,0.0121432231527982,0.0140151183588152,0.0972002131950974,0.000936038968262441
