"","Glut-Arco-1","Glut-NC-2","Glut-HVC-1a","Glut-Arco-4","Glut-NR-3","Glut-NR-5","Glut-Arco-3","Glut-NC-3","Glut-NC-1","Glut-Arco-5","Glut-Arco-2","Glut-NR-2","Glut-LMAN-1","Glut-LMAN-2","Glut-RA","Glut-HVC-1","Glut-NR-1","Glut-HVC-2","Glut-NC-4","Glut-NR-4"
"Ex_BCL6",0.00408834233058369,0.00167171194142802,0.004294641549546,0.00166623610078622,0.00331683341170354,0.00163065298351519,0.0148915715186133,0.0736207439466899,0.0225548324611523,0.00939360316114898,0.0967029439814153,0.146296077341618,0.00497410908700537,0.00886888583883532,0.0388101413096463,0.00925055402222392,0.00219302495105054,0.00583358427181653,0,0
"Ex_CACNA1H_CPA6",0.153723965274408,0,0.017230774672666,0,0,0,0,0,0,0,0.27769624854268,0,0,0,0.0940401777556807,0.0117306629890799,0,0,0,0
"Ex_CACNA1H_KIT",0.0223369593632867,0.000332175953099442,0.00178301838893597,0.00311496189319178,0.000552443942146106,0,0.00523184986149909,0,0,0.00709736751522193,0.534193829673912,0.000730972518993015,0.000496416130298978,0,0.0562413854984598,0.00592579011351042,0,0.0117906251753946,0.000716765340303407,0
"Ex_CACNA1H_LHX9",0.152267463818343,0,0.000548911881672228,0,0,0,0.019977890258302,0.00233352823880736,0.00346491679114827,0.325662038780073,0.082111984864005,0,0,0,0.00406271386305508,0.00871947486829869,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0528981536980827,0.00596149335358854,0.00257855751685617,0.00438261669371053,0.00147159544983831,0,0.000704584525689888,0.00767415677651441,0.002473261563788,0.0236344179055091,0.393419592031847,0,0.00571533053021159,0,0.00458449797404816,0,0.0147591478529244,0.0026392075146613,0.00249907541336406,0.0206489650711302
"Ex_CACNA1H_PROX1",0.00556411105065667,0.00132309429849649,0.00832438423676155,0.00101931999442916,0.00105959830228042,0,0.000556640946507657,0.000607095180137511,0.00598935836562437,0.0144595739320623,0.513331851046078,0,0.012782809635941,0.00121238124938178,0.0145380874538733,0.00441591117104921,0.0115859857055459,0.00597464382067487,0,0
"Ex_DACH2_ADAMTS5",0,0.026815737790973,0.00844513953530352,0.0144923183657725,0.111134014809543,0,0.000473523730037369,0.00259694349604071,0.00615606333681634,0,0,0.0152520386968264,0.0695111661157124,0.00224087184643315,0.00046493392333914,0.0408824290673292,0.156237269740851,0,0.000721014798316259,0.0159468515563363
"Ex_DACH2_CEMIP",0,0,0,0.00353044300563576,0.00323120755237682,0,0,0.0575846381789943,0.000514228665151217,0,0.000810363283802881,0.514580577963548,0,0.0618293586579099,0,0,0.000327568796939016,0,0,0.0413773529500189
"Ex_DACH2_GRIK4",0.00038291380769968,0.0463609130300817,0.063258186930513,0.00825803807707172,0.11202428471591,0,0.000620500722446696,0.000518065975301805,0.176724304504247,0.00534030433414418,0.00209597253668104,0,0.0113946667465532,0.00066422029566275,0.00109468409933803,0.00413279163473665,0.0613956725672115,0.000350690444577674,0,0
"Ex_DACH2_ITGA9",0.0130302798320614,0.00483509908841036,0.0129535067137325,0.017206492227683,0.0523885290893498,0,0.00540915898007222,0.0709985759127347,0.0291301830485687,0.000632056538363987,0.00863606492200519,0.026434895398724,0.0071881791432567,0.00250611298106547,0.0022010065545177,0.00519128102981186,0.00765358475242795,0.0147225005176801,0.0573842722201408,0.109266957205377
