"","Glut-Arco-1","Glut-HVC-1","Glut-HVC-1a","Glut-NC-3","Glut-Arco-4","Glut-NR-3","Glut-NR-1","Glut-Arco-5","Glut-Arco-2","Glut-Arco-3","Glut-NC-2","Glut-LMAN-1","Glut-HVC-2","Glut-NR-2","Glut-NC-1","Glut-RA","Glut-LMAN-2","Glut-NC-4","Glut-NR-4","Glut-NR-5"
"Ex_BCL6",0.00826639126708709,0.0193178877852597,0.0043416940696892,0.0759172442588155,0.00442588338718552,0.00527519575614218,0.00320540849905549,0.00813975703819755,0.107897119503432,0.0181520927100616,0.00233880527058368,0.00922318507527482,0.0120873951741935,0.152676215941266,0.0215298394981408,0.0589015349003395,0.0240909830855408,0.0040743773006944,0,0
"Ex_CACNA1H_CPA6",0.134033317210677,0.0257202343695904,0.0461202742004164,0,0.00199208940844264,0,0,0,0.314104816859272,0.00345047665606101,0,0,0,0,0,0.135434046015206,0,0,0,0
"Ex_CACNA1H_KIT",0.0561685891423021,0.0120270746204077,0.00537554552367712,0,0.00489590567402121,0,0,0.0112382804891081,0.449143955248442,0.00370539212715462,0,0.00268426375261156,0.0231948111965755,0.00510240178370496,0,0.123919013961442,0,0.00142704447630651,0,0
"Ex_CACNA1H_LHX9",0.207751319105926,0.0152557215247171,0.00296693809929205,0.0025081994227144,0,0,0,0.300947203718973,0.0825362014892229,0.015493219974935,0,0.000788913913455926,0,0,0.00229074862767704,0.0145903738923163,0.00111232633888739,0,0,0
"Ex_CACNA1H_MCTP2",0.0621660744993072,0.00521329083924124,0.00795737282962818,0.00955471522516986,0.00566860996234694,0.00286446611122971,0.0173832165424161,0.0347391602904503,0.319162948475798,0.00153665850649479,0.00567312061482525,0.0179180996751407,0.0127249544197143,0,0.00260311469376357,0.0173918857011441,0,0.001369760623882,0.0652638291129971,0
"Ex_CACNA1H_PROX1",0.016298483041742,0.00717156401940872,0.0139389461743705,0.000620289745017401,0.00387463747288917,0.00373490455583048,0.0162332215319767,0.031023037508708,0.448148704030014,0.00204182175050907,0.00138325549651122,0.0238431552718749,0.016538733438802,0.00318573067837737,0.00998299413226689,0.0243950522863627,0.00982813021857009,0,0,0
"Ex_DACH2_ADAMTS5",0,0.060567462266189,0.0115776344297536,0.00385709316190562,0.0282650251590852,0.127466407579065,0.115664492060535,0.000484763660192207,0.00135732021166697,0.00153079702246079,0.0397989717641567,0.105763214456031,0.00115857909579707,0.016245112291502,0.00245150863633447,0.00345116540929589,0.0123881101321372,0.0032169532142012,0.0185961579915134,0
"Ex_DACH2_CEMIP",0.00113798102111925,0.000840419741465481,0.00135272605070858,0.0745740199751703,0.0110700500676168,0.00489571927924815,0,0.00106664508211685,0,0,0,0,0.0014882201134463,0.506042022385601,0.000521272775808218,0.00267481025216909,0.111542615355014,0.00251155954201208,0.0481566728748398,0
"Ex_DACH2_GRIK4",0.000966094388534789,0.0170281465812231,0.0759458566663357,0.0012638184715395,0.0163619122526057,0.106298530441379,0.0419400917024197,0.00760197012533574,0.00344241238282115,0.000912100456626128,0.0610824946962179,0.0263176151218995,0.00156586596887403,0,0.183015408648968,0.00356483178437367,0.00218918997344848,0.00142361525398091,0,0
"Ex_DACH2_ITGA9",0.0309969154429593,0.00938632211755634,0.018054220449988,0.0837049300643003,0.0304775623067128,0.0611228027885121,0.00588091344333098,0.00178484903009086,0.0103904679417661,0.0059652296580735,0.0051240831101568,0.0154475584631034,0.0290893029104611,0.0435702231655645,0.0222773606409505,0.00828018324205673,0.00657016003653187,0.0647819112748935,0.0926496852732617,0
"Ex_DACH2_LHX2",0.00211708895313213,0.0113637561937852,0.00856607345709401,0.0220516589570379,0.0127847939807488,0.0135520366175549,0.231104584259987,0.00306874447709763,0.0117767803215178,0.000708408192901022,0.134542975663708,0.0201225996755622,0.0214354361848374,0,0.0655665182876633,0.0147081322116482,0.00477153582560714,0.00234161063422968,0,0
"Ex_DACH2_LUZP2",0.0066726012506638,0.0244830870021906,0.0519195042682089,0.0157184794424791,0.00856072037621463,0.0024325102527907,0.0162102087084357,0.0460736254960047,0.00505513092391797,0.00135825889505329,0.151605174457435,0.00916975771467492,0.00934114329773573,0.000796190902022117,0.199617391436802,0.0166359004666427,0.0162166227329511,0,0,0.000575256483110745
"Ex_DACH2_MGAT4C",0.00407416024456591,0.0174135943385348,0.0805347696805474,0.00675078312071102,0.0140170187356626,0.103341114064282,0.0892321599275846,0.00082210848694201,0.000262093684449575,0.000949654975419151,0.0755389770749343,0.013388782632726,0.00778320773388425,0.0029314801874688,0.136584110201589,0.00392724105790628,0.00581587647359758,0.00668861747976265,0.00110269133915517,0.000311781542538715
"Ex_DACH2_NR4A3",0.0194740443860417,0.017407690841991,0.0191798946557845,0.00697843859054559,0.0146938939792572,0.0764725853212696,0.0520640714317164,0.000857803546910194,0.0111570641686033,0.00684857251291411,0.0655517621629933,0.0638606417394458,0.000434395497570561,0.00594292235816433,0.12286197467784,0.0021692514698633,0.00297380360679017,0.00643972977126944,0.00110149888296318,0.000416070766788809
