"","Glut-CACNA1H-1","Glut-DACH2-3","Glut-CACNA1H-4","Glut-CACNA1H-2","Glut-DACH2-HVCra-Pre","Glut-DACH2-7","Glut-DACH2-5","Glut-DACH2-6","Glut-DACH2-4","Glut-DACH2-2","Glut-DACH2-8","Glut-CACNA1H-3","Glut-DACH2-LMANco","Glut-DACH2-1","Glut-DACH2-HVCx","Glut-DACH2-HVCra","Glut-CACNA1H-RA","Glut-DACH2-LMANsh"
"Ex_BCL6",0.0017594697903566,0.155454823457699,0.014948393058469,0.0778217568960764,0.00304341244758685,0.000436599351817264,0.00154912823253897,0.0636269411731595,0.00252712981383134,0.0021780526358303,0.00402421787747351,0.00276787557462356,0.00574213470394795,0.0028338317129539,0.0704274163221238,0.188933183706998,0,0
"Ex_CACNA1H_CPA6",0.00190200074182463,0,0.00237251302859314,0.726077109933981,0,0,0,0,0,0,0,0,0,0,0,0,0.0989049652566575,0
"Ex_CACNA1H_KIT",0.0226630846058077,0,0.111780325964844,0.559421071925065,0.00423712138610908,0,0,0,0.000835464146512512,0.00611841977892927,0,0,0,0,0.0161131261272344,0,0.0269168880859346,0
"Ex_CACNA1H_LHX9",0.0647552405445826,0.000686429533495029,0.451709135150708,0.219321764538585,0.0147033293944953,0,0.000658906752340527,0,0,0,0,0,0,0.00125568184159375,0.00313313231423037,0.00525610444188478,0.00440433765586718,0
"Ex_CACNA1H_MCTP2",0.000939870581750161,0.0294409970124536,0.0745242085579186,0.170921434393517,0.00256976518556596,0.000712169968796302,0.0100618700628623,0,0.00105605427916756,0.127252414102341,0.00114721061868001,0.000799337223793299,0,0.0455580929604932,0.0640990154146934,0.00102317980054015,0,0.0180549158926459
"Ex_CACNA1H_PROX1",0.000697438588505199,0.00093530911853058,0.0800528192196641,0.599680605104729,0.00383065816484054,0.000896767255106523,0.00915920398254483,0,0,0.0203175171669139,0.0104346344148743,0,0,0.0023393088100657,0.000824955991218299,0.00127611808447988,0.00307799700212905,0.00688563688541875
"Ex_DACH2_ADAMTS5",0,0.00372749116519134,0,0,0.00131918881320497,0.14569783272667,0.290925710093255,0.019893123743148,0.00399640693200749,0.055922385938245,0.0114867505626301,0.000582455568703764,0.00075688735886336,0.0143059733673434,0.00350772675340913,0.0121734298257531,0,0.0200715026025875
"Ex_DACH2_CEMIP",0.00273330970850339,0.114421121153643,0,0.00416530800268427,0,0.00278178615344071,0,0.587352331533754,0.00718546261775334,0.00103493787702637,0.0333555275732927,0,0.00661797601875691,0.00237519189874383,0.00790302681636353,0,0,0
"Ex_DACH2_GRIK4",0.00174359229549871,0,0.00239595914068297,0.00066755183882261,0.0180211328142989,0.128643440984187,0.0333959018006349,0.000456131421784851,0,0.109706359928857,0,0.00129123946550963,0,0.279796434022101,0.00292040148101205,0.00306308173641195,0,0.0112722934151755
"Ex_DACH2_ITGA9",0.0143561884441524,0.0903117188286666,0.000880461165720088,0.00581429936129131,0.0109770489269502,0.0293551163615365,0.00245357375216756,0.0294157860395399,0.0912477346378696,0.0487398859760727,0.148161603897851,0.0031822467654302,0.00137695612303365,0.0430002420400551,0.0166846018669602,0.00850395916948396,0.00281400877349125,0.0128361385312382
