"","Glut-DACH2-8","Glut-DACH2-HVCra","Glut-DACH2-5","Glut-DACH2-6","Glut-DACH2-2","Glut-CACNA1H-4","Glut-CACNA1H-3","Glut-CACNA1H-2","Glut-DACH2-3","Glut-DACH2-HVCx","Glut-DACH2-1","Glut-DACH2-HVCra-Pre","Glut-DACH2-4","Glut-DACH2-7","Glut-CACNA1H-1","Glut-DACH2-LMANsh","Glut-CACNA1H-RA","Glut-DACH2-LMANco"
"Ex_BCL6",0.002876936201467,0.0728602297819847,0.00105620066409675,0.00573057738814325,0.00214135907112541,0.03591348987387,0.00201804015228591,0.0558676275435077,0.476765995170323,0.0105218543691406,0.0302693073501001,0.00142892375756918,0.00614286458481292,0.000690065685479587,0,0,0,0
"Ex_CACNA1H_CPA6",0,0.00249003798430909,0,0,0,0,0,0.959316274342947,0,0,0,0,0,0,0.00160222043562479,0,0,0
"Ex_CACNA1H_KIT",0,0,0,0,0.00997982539803499,0.0273724233419935,0,0.835673235606931,0.000836044586105239,0,0.00127807711292009,0.000902363323337013,0,0,0.0123766854135183,0,0,0
"Ex_CACNA1H_LHX9",0,0.00227282527080741,0,0,0.000726242664170502,0.402973999717431,0,0.291715576345904,0,0,0.000807874012882969,0.00110449390037493,0,0,0.0722677348467576,0,0,0
"Ex_CACNA1H_MCTP2",0.000940444657652055,0.0366041727428631,0.00128671448658755,0.000667187801125785,0.150827713941337,0.0618225220250944,0,0.294231136045821,0.0051095576542006,0,0.0957766660682748,0.0006583728072379,0,0,0.00350598509192891,0.00255220767694111,0,0
"Ex_CACNA1H_PROX1",0,0.0199035198833613,0,0,0.0157907024252106,0.024214064717457,0,0.792742558824508,0.000653072675785934,0,0.00549738186602688,0.0026832786544169,0,0.000490026607462212,0,0,0,0
"Ex_DACH2_ADAMTS5",0.00952445114850113,0.0358985498960889,0.161029032507795,0.00636001589210012,0.0966258603456904,0,0,0.0177915948422952,0.042832280275488,0,0.0795675060404451,0.000270832045129329,0.00268500552670126,0.0586561991021699,0,0,0.000346264496278418,0
"Ex_DACH2_CEMIP",0.0320248063176103,0,0,0.135530777513675,0.000527562684845445,0.0030702420025452,0,0.00124266604359586,0.458050125595992,0,0.0101555874471639,0,0.0057799624948114,0,0,0,0,0.00861719744001407
"Ex_DACH2_GRIK4",0,0.00181714624359728,0.0104035639006431,0.000680741988268939,0.147045678548737,0.0062028276812214,0,0.00316884284200081,0,0,0.40929525911876,0.00045278493879673,0.000430808772044949,0.0779776532282894,0,0.000429471840946923,0,0
"Ex_DACH2_ITGA9",0.123211266974087,0.00274519723379395,0.00130274834672151,0.0192839022147005,0.0614384257802918,0.00206530909590275,0,0.00262923425642521,0.183538010649112,0,0.126721123235467,0.000337459449585033,0.0792373150034505,0.0122928057862005,0.0020123951002544,0.000652678170391635,0.000243018640031236,0
