"","Ex_CACNA1H_LHX9","Ex_TSHZ2_NR4A2","Ex_DACH2_NR4A3","Ex_CACNA1H_KIT","Ex_DACH2_SLIT2","Ex_CACNA1H_MCTP2","Ex_DACH2_ITGA9","Ex_DACH2_GRIK4","Ex_DACH2_LUZP2","Ex_SATB2_OVOA","Ex_DACH2_ZMAT4","Ex_DACH2_LHX2","Ex_DACH2_MGAT4C","Ex_DACH2_ADAMTS5","Ex_DACH2_CEMIP","Ex_SATB2_SOX6","Ex_KIAA1217_BCL6","Ex_SATB2_FOXP2","Ex_KIAA1217","Ex_DACH2_RORB"
"Glut-CACNA1H-1",0.800585547288856,0.011048177507367,0.00105600016657441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.590849510921154,0.0197592664848432,0.00159630107730297,0.00723208475555029,0.00148968996653687,0.000445412325189834,0.000643357188049534,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.620273376306024,0.053958085622512,0.0048094765531574,0,0,0,0,0.00175852881391521,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.72326388616837,0.00216255788831978,0,0,0.0350053682200679,0,0,0,0.000927597689232566,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.822535512180183,0.00644528858664665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0,0.148084899857765,0,0.00564114896764388,0.000384373045329613,0.00428039481157529,0.118996684166769,0.000378683985618478,0.000490996981275784,0.00248117301205783,0.00774616413698163,0.223150608010759,0.00367679102786263,0,0,0,0,0,0
"Glut-DACH2-2",0,0,0.146342548745329,0,0,0,0.000322578248492528,0.032261702942162,0,0,0,0.0591056258224319,0.133410779526786,0.00218721781041421,0,0,0,0,0,0
"Glut-DACH2-3",0,0,0.0097125704683679,0,0.606178433246334,0,0.00528971390665938,0.000940146116325844,0,0,0.1053578553865,0,0,0,0.00189211059548346,0,0,0,0,0
"Glut-DACH2-4",0,0,0.0546232913466714,0,0.0765125194043001,0,0.190298172555956,0.0102698398075665,0,0,0.0578668096333185,0,0.00100764919820388,0,0,0.0234830286603162,0.0116745566600269,0.0217091381269211,0,0
"Glut-DACH2-5",0,0,0.0792915153755288,0,0,0,0,0.0267182803440838,0,0,0.000322229948495757,0.0593051161635323,0.111308463777121,0.0518906145060853,0,0,0,0,0,0
"Glut-DACH2-6",0,0,0.00124189866298159,0,0.00326545519139706,0,0.00536167536412222,0.00133883435411091,0,0,0.245287680775569,0,0,0,0.402962993698785,0.00036340288527976,0.000516261811434936,0.00263893243041696,0,0
"Glut-DACH2-7",0,0,0.123126662190737,0,0,0,0.00121149789454493,0.0881515832359833,0,0,0.0257707139033007,0.0014245098705643,0.160263079459735,0.00082860073102507,0,0,0,0,0,0
"Glut-DACH2-8",0,0,0,0,0.000537936738758053,0,0,0.000857411403689226,0,0,0.674480856903589,0,0,0,0.0309670729582273,0,0,0,0,0
"Glut-DACH2-HVCra",0,0,0.0570020432252114,0,0,0,0.0047588325702293,0.063067763567464,0,0,0.0157804523812906,0,0.187855819118798,0,0.000266708973398788,0.00188022047064556,0.00657144520854273,0.00410314241176741,0.00113770533854005,0.00251613968987993
"Glut-DACH2-HVCra-Pre",0,0,0.095425925144612,0,0.00039108443617186,0,0.00552039853373316,0.0801435472225514,0,0,0.00194349910325819,0.00596938166675305,0.208660607019783,0,0,0,0,0.000262823746747704,0,0
"Glut-DACH2-HVCx",0,0,0.00218921911469442,0,0,0,0.0114208497855567,0.00323388687640659,0,0,0.00276526320264824,0,0.000768679195168606,0,0.00314492156809126,0.00389634072374579,0.276194460268143,0.0759848145545215,0.0222952782583521,0
"Glut-DACH2-LMANco",0,0,0,0,0,0,0,0,0,0,0.385363042844337,0,0,0,0.170252282398412,0,0,0,0.00441151956020265,0
"Glut-DACH2-LMANsh",0,0,0.06408318876263,0,0,0,0,0.0206228535854772,0,0.00051646356329073,0.06524086277568,0.0310423029045221,0.0241843941236509,0.0887914687833629,0,0,0,0,0,0.00292200669852667
