"","Glut-CACNA1H-1","Glut-DACH2-3","Glut-CACNA1H-2","Glut-CACNA1H-4","Glut-DACH2-1","Glut-DACH2-7","Glut-DACH2-4"
"Ex_BCL6",0.0210566393006209,0.248945281352143,0.0178004341356457,0.00162411302719175,0,0,0
"Ex_CACNA1H_CPA6",0.170008489806199,0.0242546149856156,0.055845941816474,0.00796923328931992,0,0,0
"Ex_CACNA1H_KIT",0.111054206000705,0.0144086531679381,0.075159315480397,0.0536106689046467,0,0,0
"Ex_CACNA1H_LHX9",0.110821930271106,0.0155583784365609,0.0508710508094025,0.0931306516667403,0,0,0
"Ex_CACNA1H_MCTP2",0.0970045769371573,0.106343572168607,0.0332558888145474,0.00336732696835118,0.000458446200267615,0,0
"Ex_CACNA1H_PROX1",0.0206633189563616,0.0620650540880712,0.109996746642026,0.0502091590639308,0,0,0
"Ex_DACH2_ADAMTS5",0.000775455035180301,0.337808184289896,0,0,0.000587548742480798,0,0
"Ex_DACH2_CEMIP",0.0017975056006139,0.384681142151805,0,0,0.000439189889084899,0,0
"Ex_DACH2_GRIK4",0.0100078078057455,0.243794176279991,0.000918938275677413,0.0010910445928869,0.000817659904078661,0.000718210303723546,0
"Ex_DACH2_ITGA9",0.0145174051113117,0.301591995228049,0,0,0.000248058534723314,0,0
"Ex_DACH2_LHX2",0.0101587733658774,0.251901796216776,0.00223072980874422,0,0.000977587180263339,0,0
"Ex_DACH2_LUZP2",0.00764598411116192,0.20917312440437,0.0263433591094213,0.00687320069686497,0.000200850351373797,0,0
"Ex_DACH2_MGAT4C",0.0063072749767889,0.269802050745865,0.000668953615854899,0,0.000440570179742355,0,0.000333060322728753
"Ex_DACH2_NR4A3",0.00215060910255157,0.251823854918041,0,0.000301369810801184,0.044281994969473,0,0
"Ex_DACH2_RORB",0,0.411570936844273,0,0,0,0,0
"Ex_DACH2_SLIT2",0.00520634000095352,0.356011066785785,0.00496805219944198,0.00216807332160505,0,0,0
"Ex_DACH2_TAC1",0,0.381161226934247,0,0,0,0,0
"Ex_DACH2_ZMAT4",0,0.416186408954634,0,0,0,0,0
"Ex_KIAA1217",0.13904772604041,0.108839586320648,0.00293572253103176,0.00749794212087525,0,0,0
"Ex_KIAA1217_BCL6",0.141721913685065,0.0711528852502443,0.0163669261783241,0.0200812217442007,0,0,0
"Ex_Pre_KCNH7",0.00543331123038636,0.296742536304201,0.00211033259031622,0.000291024344519317,0,0,0
"Ex_Pre_SATB2",0.0200168490646755,0.258881747205794,0.00471560117473598,0.000777429235944026,0,0,0
"Ex_SATB2_FOXP2",0.101947372545696,0.145045823652248,0.000231612441872299,0.000245016950312632,0.000242393959677875,0,0
"Ex_SATB2_OVOA",0.0327116302897414,0.213050258839581,0.00260571936188848,0.000825076620504547,0.00552002556716341,0,0
"Ex_SATB2_SOX6",0.0510521842524385,0.20654326845863,0.0015842373908332,0.000797065976132758,0.000885910200809962,0,0
"Ex_SATB2_ZNF385B",0.0558356876930703,0.194263620946294,0.00456997534866394,0.00109088710148401,0.000240380836251741,0,0
"Ex_TSHZ2_NR4A2",0.284512262376912,0.0232575333188302,0,0.00267626785291749,0,0,0
