"","Glut-CACNA1H-1","Glut-DACH2-5","Glut-DACH2-8","Glut-CACNA1H-2","Glut-DACH2-7","Glut-CACNA1H-4","Glut-DACH2-HVCra-Pre","Glut-DACH2-HVCx","Glut-DACH2-4","Glut-DACH2-1","Glut-DACH2-3","Glut-DACH2-6","Glut-CACNA1H-3","Glut-DACH2-2","Glut-DACH2-LMANsh","Glut-DACH2-LMANco","Glut-DACH2-HVCra"
"Ex_BCL6",0.00279476864730105,0.00669434926122649,0.00189516025804743,0.0716517618611975,0.00657506440540632,0.0183810840259656,0.000551052551763381,0.00111681673090576,0.00745526390731248,0.0426670841608047,0.400915383829018,0.0832452207394504,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.0240761837155555,0,0,0.853210938681861,0.00262966124072211,0.00910578319922012,0,0,0,0,0,0,0.00142728391697124,0,0,0,0
"Ex_CACNA1H_KIT",0.0185241608122188,0.00135571921302445,0,0.718308182027522,0.00135935746863233,0.0713880808290282,0,0,0,0.000777450236457714,0,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.0964783674301175,0.000471906908780896,0,0.250729874540204,0,0.400860602869283,0,0,0,0.01000289733623,0.00344939109361711,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0175248170989374,0.00627131077453679,0.00565211270200411,0.273374499574182,0.00928734410447987,0.0701638031230694,0.00104485217044151,0,0.0140763663227009,0.0810672477413125,0.0919219914745317,0.00166564978795749,0,0.000661098885570948,0,0,0
"Ex_CACNA1H_PROX1",0,0.00962889687370567,0,0.553003228285887,0,0.118140940560209,0,0,0,0.0227224528445738,0.0190690080972229,0,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0,0.125019457885741,0.0553332041789649,0.0003479421512802,0.0634835870594919,0,0,0.00035298190569046,0.00314370168611412,0.139542613301805,0.0510438091974582,0.0171289940998581,0,0.0128798646806928,0.00381190491928651,0,0
"Ex_DACH2_CEMIP",0,0.00152958704029078,0.133528337438009,0.00140044106539923,0.00179272359350165,0,0.00032082350928184,0,0.00559262694823629,0.00511904828252314,0.217951908759724,0.300079316046061,0,0,0,0.016535670225149,0
"Ex_DACH2_GRIK4",0,0.0484775737048721,0.00204597892367495,0.0024210011508175,0.0603548307565595,0.0077209493679087,0.00769626690889633,0,0.000224134980787213,0.423841044121444,0.00254627467445304,0,0,0.00327367969950753,0,0,0.00458310026191227
"Ex_DACH2_ITGA9",0.00282279394028839,0.00392766590650658,0.147800466270758,0.0035922717673417,0.037071695527875,0,0.00062351267185106,0.00438280207341906,0.0761235809029832,0.0877094809074837,0.159640391891015,0.0444465675535755,0,0.000249897183462127,0,0,0
"Ex_DACH2_LHX2",0,0.204475513436438,0,0.00239217020199129,0.00945718469451599,0.00319572305376401,0,0.000335415161339496,0,0.34000082587213,0.0267893639317183,0.000395750808049664,0,0.00280275983757145,0,0,0
