"","Ex_DACH2_NR4A3","Ex_CACNA1H_LHX9","Ex_DACH2_ZMAT4","Ex_DACH2_MGAT4C","Ex_DACH2_ADAMTS5","Ex_DACH2_ITGA9","Ex_Pre_KCNH7","Ex_DACH2_LHX2","Ex_DACH2_SLIT2","Ex_BCL6","Ex_SATB2_SOX6","Ex_DACH2_CEMIP","Ex_SATB2_ZNF385B","Ex_SATB2_FOXP2","Ex_TSHZ2_NR4A2","Ex_DACH2_GRIK4","Ex_SATB2_OVOA","Ex_KIAA1217"
"Glut-Arco-1",0.0153535908225798,0.889184515819596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-2",0.0483186785547274,0.75754759873265,0.00132242403203109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-3",0.0463457862303557,0.823935429581617,0,0.00203879528997088,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-4",0.0255289443273544,0.572176414064908,0,0.00077281814675833,0.00117176938117482,0.00965624691532079,0.12420984001891,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-5",0.00378872046883012,0.804778536333667,0.000830951415096935,0.00688675109561826,0.0039212967446426,0,0,0.0013551451935893,0.00106814088906849,0,0,0,0,0,0,0,0,0
"Glut-HVC-1",0.000924338025073547,0,0.00700423285598973,0.00555514369643392,0.0973122332562256,0,0.00745185750918882,0.00109314887597727,0,0.254568033367638,0.0191919879062214,0.00136384232832737,0.00883830341271643,0.000310252553343329,0.0198404364804245,0.0187832528510468,0,0
"Glut-HVC-1a",0.00849356064461798,0,0.00065017975715669,0.0970790874510738,0.0665982699457649,0.00576630943291146,0.00734890925021152,0.0143389731201887,0,0.0113541406681683,0.00608853210649371,0,0,0.000650913859890256,0.0345532600308421,0.178669930062325,0.000657907918519709,0
"Glut-HVC-2",0.0011017774345151,0.0564517118602716,0.118909687560091,0,0.00487517801703014,0,0.000777781203101794,0,0,0.0453611772741497,0.00157294425558069,0.222241429235218,0,0,0.000664012316084617,0,0,0
"Glut-LMAN-1",0.0003604832161592,0,0.0241910669960019,0.00599933876131895,0.0576981990969163,0.0158469616373581,0,0.337945991169088,0,0,0.0013850822406728,0,0,0,0,0.0363035778752552,0,0
"Glut-LMAN-2",0,0.0970569015066556,0.178174831496024,0,0,0,0.000928676491981145,0,0,0.0243902390864516,0.0179883479077604,0.0158340613646964,0,0,0.00497677564149683,0,0,0.104736516010492
"Glut-NC-1",0.0454827250804649,0,0.00889866484752819,0.190313078254194,0.25837534049257,0.00239573268946687,0.00229576046182031,0.0162608691637938,0,0,0.000934990137304559,0.000523674562825508,0,0,0.00146089754484264,0.010383539819946,0,0
"Glut-NC-2",0.00274591002601409,0,0,0.18093415095008,0.137075591879311,0.00305822933532751,0.00027368621227845,0.0656244592342992,0,0,0.00113798387671188,0,0,0,0.00146280998190728,0.0914993392042521,0,0
"Glut-NC-3",0.0192008282809487,0,0.593347974425173,0.000638217647701815,0.014483047092435,0,0,0,0.000914916647495566,0,0,0.0238755948093571,0,0,0,0,0,0
"Glut-NC-4",0.0393206325844006,0.00230192912817,0.313683150100756,0.00219471622960865,0.0939551907652276,0.000837080231861777,0.00312932450553447,0,0,0.00193760329036352,0,0.049547138062643,0,0,0.001118514867374,0,0,0
"Glut-NR-1",0.00218834059745275,0,0,0.0705820754358014,0.304057075498462,0.008914131553388,0,0.118952363167439,0,0,0,0,0,0,0,0.0201459639299537,0,0
"Glut-NR-2",0,0,0.206413841551686,0,0.00232459842499761,0,0,0,0,0,0,0.546882964008769,0,0,0,0,0,0
"Glut-NR-3",0.0100504244875153,0,0.0184398679967141,0.0956191967237176,0.332679939882791,0.0181796775092393,0.000333685615004646,0.00638049383465468,0,0.00121076925764628,0.00348706524149206,0.00806923447610589,0,0,0,0.0114839333929108,0.000227145915845075,0
"Glut-NR-4",0,0,0.768933579436154,0,0,0,0,0,0,0,0,0.0288414854326669,0,0,0,0,0,0
"Glut-NR-5",0,0,0.000755358102535976,0.00411754949169217,0.00547389154496318,0,0,0,0,0.000563648240264702,0.621017406091139,0,0.110420566475969,0.0850754695509183,0,0,0,0
"Glut-RA",0,0.967927875233528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
