"","Ex_CACNA1H_LHX9","Ex_DACH2_NR4A3","Ex_DACH2_GRIK4","Ex_DACH2_ADAMTS5","Ex_DACH2_ZMAT4","Ex_DACH2_MGAT4C","Ex_SATB2_SOX6","Ex_Pre_KCNH7","Ex_DACH2_CEMIP","Ex_SATB2_ZNF385B","Ex_DACH2_SLIT2"
"Glut-Arco-1",0.597912965200658,0.00185294907693429,0,0,0,0,0,0,0,0,0
"Glut-Arco-2",0.548925374316075,0.00944118233167177,0.000255885099386071,0.000279851021364997,0.000380586636638141,0,0,0,0,0,0
"Glut-Arco-3",0.553366960208997,0.00452477173854844,0,0,0,0.000507441612927777,0.000480672732176719,0,0,0,0
"Glut-Arco-4",0.537107742355171,0,0,0.000391737134645725,0.000736701739794588,0.00239643465189522,0.00060335906836465,0.00982570237902663,0,0,0
"Glut-Arco-5",0.418118358892636,0.0013795484203061,0,0.019689922425077,0.000986740958172508,0.00425750379903728,0,0,0,0,0
"Glut-HVC-1",0.00600343712616649,0.00058008519956827,0.025097481618212,0.113306384878948,0.0259541574240659,0.0226566243271136,0.064282025780129,0,0.000189050884852631,0.00255886377292855,0
"Glut-HVC-1a",0.000812085227229838,0.000817323020080929,0.115208497851634,0.0843337660315537,0.000426948514247147,0.0412743290930667,0.0143299455425649,0,0,0,0
"Glut-HVC-2",0.156377476016914,0,0,0.00211326731618106,0.123826413209222,0.00110798095714645,0.0162871664712525,0,0.0130959227735515,0,0
"Glut-LMAN-1",0,0,0.133412238792816,0.144004703052995,0.00953407309664708,0,0.000729139156094171,0,0,0,0
"Glut-LMAN-2",0.252049881788096,0,0,0,0.0883798987315041,0,0.0364825997944027,0,0.0021688886873161,0,0
"Glut-NC-1",0,0.02001434070427,0.01703127763992,0.254022655169207,0.00558286909910977,0.0280030796625661,0.000482608122191811,0,0,0,0
"Glut-NC-2",0,0.000480336864021024,0.0868818010965383,0.154693221942667,0,0.0376671541349497,0.00135864372218901,0,0,0,0
"Glut-NC-3",0,0.00689273057157526,0,0.0145600798179332,0.351914694325934,0,0,0,0.00396755443636244,0,0.000268967965125604
"Glut-NC-4",0.00913607371592778,0.0229399575457734,0,0.059746285677249,0.189408410550824,0.00918372084260378,0.00359556739248422,0,0.00795524813184616,0,0
"Glut-NR-1",0,0,0.0568431388987398,0.251759855498158,0,0.00309230236516509,0,0,0,0,0
"Glut-NR-2",0.00118554584028896,0.00029304963598998,0,0.00237263598070232,0.172432745007528,0.000602821670670187,0.00279685409980561,0,0.138639212962783,0,0
"Glut-NR-3",0.00019134364654105,0.000285625858985314,0.0243891826005222,0.247780660510427,0.0107296145689593,0.0139518980033612,0.00261678086889093,0,0.000867204928280013,0,0
"Glut-NR-4",0.00289086523776119,0,0.000322658373134241,0.000278882795948663,0.46328684244523,0.000266896282135131,0,0,0.00440478654093369,0,0
"Glut-NR-5",0,0,0,0.00702211794182958,0,0.00161750560076392,0.438587672735642,0,0,0.0531935462079473,0
"Glut-RA",0.622307728114404,0,0,0,0,0,0,0,0,0,0
