"","Ex_CACNA1H_LHX9","Ex_DACH2_NR4A3","Ex_TSHZ2_NR4A2","Ex_CACNA1H_KIT","Ex_CACNA1H_CPA6","Ex_CACNA1H_MCTP2","Ex_DACH2_LHX2","Ex_DACH2_ZMAT4","Ex_DACH2_MGAT4C","Ex_DACH2_ITGA9","Ex_SATB2_SOX6","Ex_SATB2_OVOA","Ex_SATB2_FOXP2","Ex_Pre_KCNH7","Ex_DACH2_SLIT2","Ex_DACH2_GRIK4","Ex_BCL6","Ex_DACH2_CEMIP","Ex_DACH2_ADAMTS5","Ex_SATB2_ZNF385B","Ex_KIAA1217","Ex_DACH2_LUZP2"
"Glut-Arco-1",0.841486792748059,0.0206327749324846,0.00760186592368108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-2",0.650051466436027,0.0470653135848391,0,0.00243729487010064,0.00224984102838822,0.00397446963716935,0.000566487346708192,0.000663997482868996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-3",0.761426007705888,0.0612043107817261,0,0,0,0,0,0,0.000950445533467766,0.0011331211122294,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-4",0.484724793344655,0.0303599494998389,0,0.00124354856713463,0,0,0,0.00118721397196625,0,0.0103209870704057,0.000556828737253978,0.000694672511015453,0.000766779940737658,0.150917846431217,0,0,0,0,0,0,0,0
"Glut-Arco-5",0.807693819257927,0.00480170422144238,0,0,0,0,0,0,0.00308515152924159,0,0,0,0,0,0.0054261351428494,0.00104482671878559,0,0,0,0,0,0
"Glut-HVC-1",0,0.00095760917740447,0.017807564683463,0,0,0,0.000839706231075008,0.00129115097478305,0.00276419647574903,0.00121853723380618,0.0325610148987827,0.000386448737489144,0.00101154102424428,0.015116787634376,0,0.0291975794591938,0.323386240193436,0.000875148754292923,0.0814632879993965,0.0110611395528166,0,0
"Glut-HVC-1a",0.00106149448161561,0.00870856178767615,0.0410633780981623,0,0,0,0.0119256365289691,0.00100772649291261,0.104771784798253,0.0267096560817774,0.00332057804554738,0.00201004835452678,0.0008814710050442,0.0113684444121547,0,0.217242243981505,0.0165342420810638,0.000527820599040683,0.0505187856973896,0,0,0
"Glut-HVC-2",0.0150515378633563,0.00126765109472206,0,0,0,0,0,0.0216735076142775,0,0.15671536809264,0.000887959613953268,0,0,0.00168216225998882,0,0,0.0249304169500907,0.22986757569737,0.0135274998044869,0,0,0
"Glut-LMAN-1",0,0.00182788951613327,0,0,0,0,0.309133814094581,0.0410176525287209,0.0125841272307678,0.0337906889087536,0.00169648324338128,0.000249236666629814,0,0,0,0.0383556130293642,0.000775732873704814,0,0.0646098107547191,0,0,0
"Glut-LMAN-2",0.00890503330056128,0,0.00226992772301216,0,0,0,0,0.239183087838813,0,0,0.0088463374389208,0,0,0.00119725835245423,0,0,0.154618740531617,0.0140904863648548,0,0,0.118340661212246,0
"Glut-NC-1",0,0.0578942976729282,0.00127821482517153,0,0,0,0.0142209557474939,0.00772675567446338,0.178326328845457,0.00678979631777084,0.000782992154269066,0.0441336126680937,0,0.00347053073529343,0.00103760800421077,0.0185924426025079,0.00026920056816777,0.00040508945630762,0.21725476337486,0,0,0.00476913376111387
"Glut-NC-2",0.000383834285996192,0.00650919992315106,0.00127998549685209,0,0,0,0.0687511747841171,0,0.207005731765404,0.0120774135124828,0.00143737858729451,0,0,0.00266224489588144,0,0.0876642207272396,0,0,0.155691455394579,0,0,0.00532833482224975
"Glut-NC-3",0,0.0178090062200957,0,0,0,0,0,0.368887949584002,0,0,0,0.00228894865453162,0,0.0021231047946982,0.177031799467792,0,0,0.0254162635161996,0.0047544647413519,0,0,0
"Glut-NC-4",0.00262866418763917,0.0531675732016288,0.00151524435169392,0,0,0,0,0.20043450942926,0.001014660739374,0.0160278667863778,0,0,0.00176893724888046,0.0298026083119811,0.00897378141111261,0,0.00529676372956502,0.0488672217857668,0.0870910296089657,0,0,0
"Glut-NR-1",0,0.00379258393310102,0,0,0,0,0.0938621745745949,0,0.0874696091589185,0.0129658232667526,0,0,0,0,0,0.0264632418398657,0,0,0.352239958502473,0,0,0
"Glut-NR-2",0,0.00119528377990611,0,0,0,0,0,0.184411790759492,0,0.000823148039163911,0.000515685493307362,0,0,0,0,0,0,0.59139974501459,0.00515974040907887,0,0,0
"Glut-NR-3",0,0.0178493370057299,0,0,0,0,0.00385535284182309,0.0209045628335552,0.0875475973660646,0.0375836253598651,0.00311021869051508,0.000600381455972037,0,0.000640514065460769,0,0.0176963779859603,0.0017339408616761,0.00938187681163851,0.330902434268371,0,0,0
"Glut-NR-4",0,0,0,0,0,0,0,0.778879324460715,0,0,0,0,0,0,0,0,0,0.0323842987328612,0,0,0,0
"Glut-NR-5",0,0,0,0,0,0,0,0.000763726104766156,0.00221611351805174,0.00089390018526376,0.609156859158413,0,0.117235922940329,0,0,0.00551622691609125,0,0,0.00220847162614948,0.112166933139498,0,0
"Glut-RA",0.938740226795164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
