"","Ex_CACNA1H_MCTP2","Ex_TSHZ2_NR4A2","Ex_CACNA1H_LHX9","Ex_DACH2_NR4A3","Ex_SATB2_OVOA","Ex_DACH2_LHX2","Ex_CACNA1H_PROX1","Ex_DACH2_ZMAT4","Ex_CACNA1H_KIT","Ex_CACNA1H_CPA6","Ex_DACH2_ITGA9","Ex_SATB2_SOX6","Ex_DACH2_RORB","Ex_Pre_KCNH7","Ex_DACH2_MGAT4C","Ex_DACH2_SLIT2","Ex_BCL6","Ex_SATB2_ZNF385B","Ex_DACH2_ADAMTS5","Ex_DACH2_GRIK4","Ex_SATB2_FOXP2","Ex_DACH2_CEMIP","Ex_KIAA1217","Ex_DACH2_LUZP2"
"Glut-Arco-1",0.000475789713818396,0.011576525061723,0.798613792550037,0.021342917016557,0.000401509231868377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-2",0.0230611745905572,0.00352583610648999,0.596830910702813,0.0430122018544775,0,0.000502721079079641,0.000535710205947769,0.000614976057711662,0.0081573379214924,0.000588893060450851,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-3",0.0033948343062111,0,0.735872797354436,0.0614664590188186,0,0,0,0,0,0,0.00435854335928475,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-4",0,0,0.447460010105283,0.0248386517182242,0.00632144464558534,0,0,0.00140542739541853,0.00612848481965222,0,0.00159700162817115,0.00487217015394211,0.000467525382587824,0.128002554570085,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-5",0,0,0.793449280524838,0.00251040544342435,0,0.00193986776029267,0.00123773137579805,0,0.00313758617261819,0,0,0,0,0,0.0010671382995967,0.00466269806567624,0,0,0,0,0,0,0,0
"Glut-HVC-1",0,0.0160477926497985,0,0.000811278833583398,0,0.000988635327055786,0,0.00214619097435512,0,0,0.00091244392092878,0.0729746285966467,0,0.0409159836177155,0.00191055677724342,0,0.247282606654473,0.00496470107287872,0.0854266380328838,0.0274747794241147,0.000775488232169796,0.00179679274373858,0,0
"Glut-HVC-1a",0,0.0481939508923439,0.00123590820769975,0.0070348410487216,0.00108193333241552,0.0224699984173766,0,0.00316675451771599,0,0,0.0267106220143115,0.00338029477737899,0,0.0153784744431159,0.0890785848558082,0,0.0162395910337251,0,0.0478870744781536,0.204459505471746,0.000908830993470058,0.000569455592289315,0,0
"Glut-HVC-2",0,0.01058221770337,0.0019850394337638,0.00124670012191338,0,0,0,0.00584691639376766,0,0,0.350340581783165,0.00362759942459514,0,0.00306589361297012,0,0,0.0197634206340585,0,0.00727629545349069,0,0,0.0968853062889208,0,0
"Glut-LMAN-1",0,0,0,0.00369976670847477,0,0.285262459306585,0,0.0406136712555874,0,0,0.0591047263047242,0.00176271624671001,0,0,0.00436082430657875,0,0.00198934094268117,0,0.0594238345149335,0.0546146469176948,0,0,0,0
"Glut-LMAN-2",0,0.000644535419474299,0.00316791961112089,0,0,0,0,0.243899941741472,0,0,0,0.00444247844377273,0,0,0,0,0.153732727198147,0,0,0,0.000297079565450477,0.0104834669050257,0.104226555079987,0
"Glut-NC-1",0,0.00118052821501666,0,0.0544155308689305,0.0363481379483752,0.0176030717183379,0,0.00590308404462126,0,0,0.00886950849900341,0.000763200606090563,0,0.00481342237844556,0.161967087053258,0.00118156722764566,0.000633547139090613,0,0.19497150621993,0.0250095593138637,0,0.000301834527833039,0,0.0117368938165807
"Glut-NC-2",0,0.00224161907462102,0.000438071378815268,0.0111380310383094,0,0.103204763159055,0,0,0,0,0.0133532006423812,0.00163048893847641,0,0.00207150629580866,0.163530947389645,0,0,0,0.148655434633064,0.0905340781644624,0,0,0,0.00941412160207248
"Glut-NC-3",0,0,0,0.015640063597454,0.0023768011793987,0,0,0.329951449133706,0,0,0,0,0,0.0045536990846686,0,0.229564788608903,0,0,0.00252877692681854,0,0,0.0246638947705947,0,0
"Glut-NC-4",0,0.00167233234331326,0,0.0509521371474677,0.00171905460279252,0,0,0.148597430046902,0,0,0.0363668797754433,0,0,0.0641989919145724,0.000990533273672238,0.0133463025574744,0.00387310543014662,0,0.0577261840347039,0,0.00217191624979008,0.0462964356584997,0,0
"Glut-NR-1",0,0,0,0.00459311038539972,0,0.107061299628762,0,0,0,0,0.0119603602237949,0,0,0,0.0524945272948545,0,0,0,0.349159944165533,0.0392620256484058,0,0,0,0
"Glut-NR-2",0,0,0,0.00124499980024984,0,0,0,0.177603496749081,0,0,0.00107843222633801,0.000589854902520041,0,0.000503981934309174,0,0,0,0,0.00740444296458704,0,0,0.59313345679509,0,0
"Glut-NR-3",0,0,0,0.0214574709562305,0.000317740247070331,0.00340607795716586,0,0.0258151094134376,0,0,0.0381006492820971,0.00331245941288498,0,0.000333348830750727,0.0625096714228779,0,0.00179910195015476,0,0.344596662330214,0.0230845589201549,0,0.00854983785686571,0,0
"Glut-NR-4",0,0,0,0,0,0,0,0.726771363636879,0,0,0.000688839625969645,0,0,0,0,0,0,0,0,0,0,0.0335763410009026,0,0
"Glut-NR-5",0,0,0,0,0.00175887078879748,0,0,0,0,0,0.000890685881488804,0.590585709983686,0,0,0.00208896211730665,0,0.00135144454023863,0.109798753537737,0,0.00466039437890458,0.141865634091162,0,0,0
"Glut-RA",0,0,0.838921907088987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
