"","Ex_DACH2_ZMAT4","Ex_CACNA1H_LHX9","Ex_DACH2_NR4A3","Ex_DACH2_MGAT4C","Ex_DACH2_ADAMTS5","Ex_DACH2_ITGA9","Ex_Pre_KCNH7","Ex_DACH2_SLIT2","Ex_DACH2_GRIK4","Ex_BCL6","Ex_SATB2_OVOA","Ex_SATB2_ZNF385B","Ex_DACH2_LHX2","Ex_TSHZ2_NR4A2","Ex_SATB2_SOX6","Ex_SATB2_FOXP2","Ex_DACH2_CEMIP"
"Glut-Arco-1",0.00033874986393615,0.789079786536235,0.00659309737044339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-2",0.000925443705400196,0.709988534345576,0.0241979495372158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-3",0,0.72141191720919,0.0279353734441494,0.00119455706854244,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-4",0,0.587358713186036,0.0188964786987164,0.000497619628446956,0.00110636645454646,0.0203525973975299,0.0284601931836,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-5",0,0.693479901979923,0.00195101151552065,0.00972587179550333,0.0126021317627432,0,0,0.000901171185043903,0.00118970793607886,0,0,0,0,0,0,0,0
"Glut-HVC-1",0.0080457871975589,0.000221037834569338,0.000796538965998133,0.00547613729197508,0.118422141123577,0,0.000575436695516253,0,0.0253358044687061,0.146072743982711,0.00280249476247835,0.00551773786194493,0.000198668259768338,0.000285986833018932,0.038883203320764,0.000607977494234502,0.00112528002668427
"Glut-HVC-1a",0.000262852410886755,0,0.00320297334555763,0.0673129043576979,0.08280586835834,0.000315366243545808,0.00124785727982617,0,0.199699720178591,0.0101569825124487,0.00887702220343918,0,0.00741886533958968,0.00225880735683375,0.00887214244293232,0.000426925901284721,0
"Glut-HVC-2",0.132035454485673,0.0576576559579763,0,0,0.00538476237473972,0,0,0,0,0.0229250189631652,0,0,0,0,0.00249699921605511,0.00111926597347931,0.120802943697888
"Glut-LMAN-1",0.0199152186804051,0,0,0.0022126465906836,0.126276698688026,0.000872813683630082,0,0,0.12600225139187,0,0,0,0.127364650316687,0,0.00117583109924629,0,0
"Glut-LMAN-2",0.156871740684023,0.23074906326262,0,0,0,0,0,0,0,0.0138719282720229,0,0,0,0,0.0294125705545208,0,0.0242409345329844
"Glut-NC-1",0.00538213820217389,0,0.0388643010876369,0.127975596605353,0.290157404298947,0,0.0015760177867776,0,0.0164528667999488,0,0.000246303378067573,0,0.00937968965068115,0.000253111470893104,0.00084097232915174,0,0
"Glut-NC-2",0,0,0.00225863690383261,0.139516082372804,0.134866305776712,0,0.000299081618682123,0,0.140108587018869,0,0.000295374766541278,0,0.0264794366322921,0,0.000777993769387613,0,0
"Glut-NC-3",0.517334046579876,0,0.0153715785033261,0,0.0360985123526639,0,0,0,0,0,0,0,0,0,0,0,0.0253269355623068
"Glut-NC-4",0.261098450022801,0.000979370072899434,0.0376778030999143,0,0.0952379639342439,0,0.00166501764809768,0,0,0.00230704111297212,0,0,0,0,0,0.00273477414533621,0.0312720318619959
"Glut-NR-1",0,0,0.000470954575259095,0.040812338223352,0.291063339797032,0.000805046086126751,0,0,0.0590160270631157,0,0,0,0.0611674267742402,0,0,0,0
"Glut-NR-2",0.190996302282615,0,0,0,0.0020861952828237,0,0,0,0,0,0,0,0,0,0.000494135449114221,0,0.458259939455492
"Glut-NR-3",0.0170228900823597,0,0.00546633496523835,0.0252824517422854,0.363021474650091,0.00226946198488005,0,0,0.0217395423532612,0,0.000840519460175457,0,0.00688004622864393,0,0.00298942281858868,0,0.00255963615225858
"Glut-NR-4",0.706979174397479,0,0,0,0.000652121155750015,0,0,0,0,0,0,0,0,0,0,0,0.0214695024123488
"Glut-NR-5",0,0,0,0.00390403463801154,0.00741215942713167,0,0,0,0,0,0,0.0973314769300911,0,0,0.624176250030169,0.0557754999325341,0
"Glut-RA",0,0.839795453286651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
