"","Glut-NC-1","Glut-NR-2","Glut-NC-2","Glut-NC-3","Glut-NR-5","Glut-Arco-2","Glut-Arco-5","Glut-Arco-4","Glut-NC-4","Glut-HVC-1","Glut-NR-1","Glut-HVC-2","Glut-Arco-1","Glut-HVC-1a","Glut-NR-4","Glut-LMAN-1","Glut-NR-3","Glut-LMAN-2","Glut-Arco-3"
"Ex_BCL6",0.0342053115775875,0.000891116644493032,0.000578066124367643,0.587060103935754,0.0161680163075006,0.0366047391857354,0.0312835272741646,0.000558006655281234,0.000454720352076128,0.0513876669347735,0.00259454508086045,0.000647340978328016,0,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0,0,0,0,0,0.944548459798286,0.00227600350304942,0.0051374184698852,0,0,0,0,0.00340508346485101,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.00088410825095705,0,0.00929602943002239,0,0.00994360293740123,0.745897739963101,0.0489175611748952,0.0020842448050827,0,0,0,0,0.0163250744421838,0.00103356088624733,0,0,0,0,0
"Ex_CACNA1H_LHX9",0,0,0,0,0.00134996483151636,0.468668958872892,0.172854526326701,0.00750500874632077,0,0,0,0,0.0695801403944945,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0397601525854816,0,0.135596818703083,0.0174103740728317,0.0169814296387422,0.273398549452062,0.0815193065951854,0,0,0,0,0,0.000822374297233425,0.0203435288692488,0.000575309208209696,0.00386497710284629,0.00258032352797887,0,0
"Ex_CACNA1H_PROX1",0.0054411324681262,0,0.0153336936855702,0.00141758726997319,0.00110348611843304,0.784200909666255,0.0329725079675292,0,0,0,0,0,0,0.00746045054027506,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0.0977794810525888,0.00167245851300044,0.0109530783238329,0.0605949769048686,0,0.00468146042170172,0,0,0.000560173987078732,0.0499748889348018,0.101727429153855,0,0,0,0.0151707259170867,0,0.136331625693208,0.000379649382174199,0
"Ex_DACH2_CEMIP",0.00700341807386349,0.00482160912153677,0,0.732789571336345,0,0.00138558320986152,0.00108850283261816,0.000582584406611759,0.000367883376229211,0,0,0,0,0,0.0255036772761683,0,0.00101565932970879,0,0
"Ex_DACH2_GRIK4",0.482282418447772,0,0.0661501110248121,0.00501169071871778,0.00361989524153076,0.00258570487237253,0.00544823921510362,0,0,0.00169966472667611,0.00982783773914858,0,0,0.000794951506408326,0,0,0.0840267262174017,0,0
"Ex_DACH2_ITGA9",0.149099597128826,0.00266498205426294,0.0317013428921501,0.303440397798069,0.00613365479653683,0,0.000624740718338374,0.000485938230441558,0.0229282137133384,0.000479716993417619,0,0,0.00088830298427472,0,0.0590288384534503,0.000760765437461685,0.0362813401853194,0,0
"Ex_DACH2_LHX2",0.267588736536997,0,0.137337024605698,0.0385541982332526,0.00162185207659908,0.0326820831877218,0.00262166040451444,0,0,0.0273317149998427,0.00426163130959226,0,0,0.0390093738086858,0,0.000728038631129077,0.000764369480129267,0,0
"Ex_DACH2_LUZP2",0.346301536654597,0,0.00765985967924714,0.0518901298816969,0.00448261285991908,0.248383288640111,0.015345172442045,0,0,0.00123704573137072,0.000395659754214438,0,0,0.000672216443095799,0,0,0.00053500970646349,0,0
"Ex_DACH2_MGAT4C",0.541657364447447,0,0.0230770533637861,0.00768661678991622,0.00206336767232705,0.0269524736615748,0,0,0,0.024727470289817,0.0020110025836168,0,0,0.00119209467399023,0.000438936019964153,0,0.0344327125845144,0,0
"Ex_DACH2_NR4A3",0.461122601211059,0.000345656271901661,0.00868300033656106,0.0196367899051309,0.00145004384787516,0.0195868326991043,0.00115169656272789,0,0.00222335778931544,0.0174983008018915,0.0154355357321224,0,0,0.00143107458586277,0.000584695434999195,0.00112083259239503,0.0825890732039345,0,0
"Ex_DACH2_RORB",0.00335830365590273,0.00147291394854988,0,0.676695598534404,0.0108892883418977,0,0,0.000841538494007583,0,0.00259291041235296,0,0,0,0,0.010338146381664,0,0.000807476985039806,0,0
"Ex_DACH2_SLIT2",0.105857040883443,0,0.00340282109562926,0.640998115905955,0.000584109244321657,0.0115408013302909,0.090891682476443,0,0.00326541813682065,0.000843557827382713,0,0,0,0,0,0,0,0,0
"Ex_DACH2_TAC1",0,0.00348952509945735,0,0.415309317356533,0.0214787120301794,0.00216617500650861,0,0,0,0.000341657280306135,0,0,0,0,0.245323324312149,0,0.000519525064999772,0.000608974794210307,0
"Ex_DACH2_ZMAT4",0.00680576773406189,0.00214689812986964,0,0.491818869640202,0.000859042986394939,0,0.000808912687913744,0,0.00580916172413661,0.00063845520596223,0,0,0,0,0.258166901715498,0,0.00197356457385286,0,0
"Ex_KIAA1217",0,0,0,0.0246983757061492,0.481717411019221,0.0365322165776931,0.020058557519931,0,0,0.0291089004571561,0,0,0,0.00104510980116328,0,0,0,0.0255985690102102,0
"Ex_KIAA1217_BCL6",0.00197078071611606,0.00141859360881922,0,0.0180040758621917,0.47157172568573,0.0134326186237167,0.0326314830318562,0,0.00841007517340487,0.0634337301295916,0,0.00160683337673735,0.0018638714586108,0.000924492937797073,0.00353193624391898,0,0,0.00461208461567497,0
"Ex_Pre_KCNH7",0.141790192103595,0,0.000658016893688318,0.240982390174931,0.139371323639773,0.00454544708736109,0.0115747009775479,0.00198010671536719,0,0.00374599829014366,0.00032293653628694,0,0,0.000995704775714681,0,0,0.000356179597604802,0,0.000551967657510529
"Ex_Pre_SATB2",0.0574366996552681,0,0.0252659187388197,0.0321550484279791,0.597004270538271,0.0109340549798121,0.0077710819439455,0,0,0.00131833441174217,0,0,0,0.000922167925932195,0,0.000987109372762633,0,0,0
"Ex_SATB2_FOXP2",0.000610600037828259,0,0,0.00199947679404994,0.950335174086324,0,0,0,0,0.00267918003757021,0,0,0,0.000384568095985323,0,0,0.00109211459718129,0,0
"Ex_SATB2_OVOA",0.124378926480528,0,0.000307524812221351,0.0137290846688386,0.348766868730407,0.0415359339508769,0.000470039926032053,0.000461218157472705,0,0.0954616350887096,0.000812638748358758,0,0,0,0.00120701894555428,0,0.0265673683807783,0,0
"Ex_SATB2_SOX6",0.00224932356753321,0,0,0.000681435279275387,0.92287253064887,0.00128553446823404,0.000874569326274082,0.000631051424631972,0.00369348786223429,0.010667848866357,0,0,0,0,0,0,0,0,0
"Ex_SATB2_ZNF385B",0,0,0,0,0.987809073322146,0.00171155543396802,0,0,0,0.000400704309874157,0,0,0,0,0,0,0,0,0
"Ex_TSHZ2_NR4A2",0.00389197759473982,0,0.0314293049959025,0.00618668529834378,0.00909090909090909,0.0333660780252029,0.00323219970167842,0.00392673130424702,0,0,0,0,0.506767697458344,0.00234163041281006,0,0,0,0,0
