"","Glut-NC-1","Glut-HVC-1a","Glut-NC-3","Glut-HVC-1","Glut-NR-5","Glut-NR-2","Glut-NR-1","Glut-HVC-2","Glut-Arco-4","Glut-Arco-5","Glut-Arco-2","Glut-Arco-1","Glut-NC-2","Glut-NR-3","Glut-LMAN-1","Glut-LMAN-2","Glut-NR-4","Glut-NC-4","Glut-Arco-3"
"Ex_BCL6",0.0307270831436967,0.000516129646147154,0.57401162334208,0.061857583487243,0.0159188731154985,0.00122147570351519,0.00205857855757329,0.00198358178639247,0.000582465597918961,0.0309298894073557,0.0332025979689311,0,0,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0,0,0,0,0,0,0,0,0.0123540445950208,0.0021147749632772,0.896552278275034,0.00155713228087627,0,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.0011139632967842,0.00192229981463387,0,0,0.0122902756148262,0,0,0,0.000979459038103359,0.047040009927631,0.748213515310599,0.0252558569472843,0.0075712932804625,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0,0.000772833974763322,0,0.00101730870550072,0.000814348163729547,0,0,0,0.0055017310198914,0.201672805994391,0.430425872646711,0.0825359389651008,0,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0451145418139234,0.0245543603949138,0.0182947853430017,0.00591835481441485,0.0151100209296246,0,0.00187870238493317,0,0,0.0855468447843162,0.263655128817674,0.00144022586365412,0.122115076278298,0.0021293887694042,0.0107050073968785,0,0,0,0
"Ex_CACNA1H_PROX1",0.006129343613422,0.0148599434871847,0.00238759491588209,0,0.000962177023546124,0,0,0,0,0.038620024232088,0.77551659156141,0,0.00515420274855099,0.00130037506208427,0.000528464139034124,0,0,0,0
"Ex_DACH2_ADAMTS5",0.103218752347964,0,0.0567287086465004,0.060232032248158,0,0.000696594489915029,0.103001498873466,0,0,0,0.0060564874821476,0,0.0171529313185811,0.153658476019292,0,0.000373030505997632,0.0150868003671832,0,0
"Ex_DACH2_CEMIP",0.00750155728870031,0,0.723343442897162,0,0,0.0113665311968323,0,0,0.000579136440460752,0.00136713911437816,0.00172305471689257,0,0,0.00129282229794349,0,0,0.0252946973236393,0.000464315934195657,0
"Ex_DACH2_GRIK4",0.520576023903457,0.00177791164869849,0.00329451651343299,0.00183968770158219,0.00346525457076324,0,0.010569464857053,0,0,0.00548972086515539,0.00203550443460336,0,0.0531126633076068,0.0816199477364356,0,0,0,0,0
"Ex_DACH2_ITGA9",0.14552818783666,0,0.28727850133429,0.000985801931519507,0.00572552716232697,0.00738139116150495,0,0,0.000511262904049011,0.000737916310924945,0,0.000979451339534375,0.0263414451021904,0.0507135173518993,0.00093767259561792,0,0.070915008321236,0.0330128020848877,0
