"","Glut-NC-3","Glut-NR-4","Glut-NC-1","Glut-Arco-4","Glut-Arco-5","Glut-NR-1","Glut-NR-3","Glut-NR-2","Glut-Arco-2","Glut-NC-2","Glut-NR-5","Glut-HVC-1","Glut-HVC-2","Glut-HVC-1a","Glut-Arco-1","Glut-Arco-3","Glut-LMAN-1","Glut-LMAN-2","Glut-NC-4","Glut-RA"
"Ex_BCL6",0.543143492574439,0.00112540526024701,0.0332542211849625,0.000501490400818434,0.0302948926007709,0.005138203011512,0.000868480849053719,0.00196757897750252,0.0326419353460837,0.000606009864617362,0.0150757151484798,0.0821468724252643,0.00224344782317141,0.000350598890125175,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0,0,0,0.0428925778974706,0,0,0,0,0.843885272241808,0,0,0,0,0,0.00289673318645936,0,0,0,0,0
"Ex_CACNA1H_KIT",0,0,0.00165413394293226,0.00640644304412368,0.0418386378201137,0,0,0,0.753807979811629,0.00647414584176554,0.010037745916614,0,0,0.00247091384530653,0.0236830009676779,0,0,0,0,0
"Ex_CACNA1H_LHX9",0,0,0,0.00488387260181521,0.288853009536383,0,0,0,0.353093825864632,0,0,0,0,0.0040569677879434,0.0780781735055131,0.00187228916940508,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0166161351043216,0,0.0333764961772119,0,0.0834885855583529,0.0158853771953931,0.00123876899117188,0,0.264478325642062,0.0892979621326412,0.0123049871295565,0.0209922653626545,0,0.0223070270982121,0,0,0.0167757927184563,0,0,0
"Ex_CACNA1H_PROX1",0.00789647238604413,0,0.00261591411577175,0.00099827359917476,0.0378467865667402,0,0.00337168852032812,0,0.759800246458081,0.00624011719135513,0.00093723094043185,0.00549346157631265,0,0.00754113289905552,0,0,0.00228542139431156,0,0,0
"Ex_DACH2_ADAMTS5",0.0543326654988362,0.013887988734938,0.100418708515364,0.000314723354989817,0,0.0941399936788781,0.158646800483721,0.00106489018766129,0.00755731069693033,0.0189360035201309,0,0.0708712740391589,0,0,0,0,0,0.000315327829924972,0.001028001342669,0
"Ex_DACH2_CEMIP",0.69764840273505,0.0264731712048923,0.00683285483642362,0.00119209130813424,0.00144853847777706,0,0.00203065880810311,0.026635888487954,0.00163212416819006,0,0,0,0,0,0,0,0,0,0.0024779922100487,0
"Ex_DACH2_GRIK4",0.00275333349348191,0,0.497297116603416,0,0.00560303938820816,0.0127835255208899,0.0916591411136768,0,0.00186424729399696,0.0513102320019488,0.0031454706482257,0.00221154363086439,0,0.00257785770625742,0,0,0.00190159229848097,0,0,0
"Ex_DACH2_ITGA9",0.287862895975949,0.0653437350081315,0.130414989480255,0.000574179176544245,0.00094997277670762,0,0.0492876437934916,0.0100448076475398,0,0.0229039634077755,0.00463736713573094,0.00123547329970156,0,0.0019412185300858,0.00141886740180896,0,0.00682407065281417,0,0.0412432219892366,0
"Ex_DACH2_LHX2",0.0430159945938142,0,0.294020235615643,0,0.000961179539128638,0.0135400979940728,0.00363510765820198,0,0.0346318504171025,0.104340986076935,0.000573219489075405,0.0716396194934076,0,0.0119998408919215,0,0,0.00203704621806303,0,0,0
"Ex_DACH2_LUZP2",0.0676782927078131,0,0.347441167451999,0,0.0156861217088686,0.00127811837815909,0.000496685950904774,0,0.229932115423663,0.014797705276158,0.00848700253576033,0.00334172809862009,0,0.00308533549925248,0,0,0,0,0,0
"Ex_DACH2_MGAT4C",0.00813579829693289,0,0.537646900966641,0.000927938768968359,0,0.00320595031792659,0.0521727700743555,0,0.0274647379383662,0.0242829231439891,0.00206440704982755,0.0256617670572347,0,0.00161708233302011,0,0,0,0,0.000630268681097024,0
"Ex_DACH2_NR4A3",0.0277035602267274,0.00122060126126159,0.409789587288095,0,0.00169223992282106,0.0188833883860324,0.102410693588256,0.000259002513620524,0.0209733986618009,0.0100806625943173,0.00105590983631847,0.0223153966927159,0,0.00157441775262414,0,0,0.00105366481222141,0,0.00436164619191274,0
"Ex_DACH2_RORB",0.694059456844846,0.0301512043500772,0.00420386598303715,0.00125706138188829,0,0,0,0.00282552552306692,0,0,0.00661217268646093,0.00290683390099054,0,0,0,0,0,0,0.00136617730563069,0
"Ex_DACH2_SLIT2",0.629156538630197,0,0.103567058626486,0,0.0933002214982888,0,0,0.000649647283865189,0.013181184943247,0.00203927164014402,0.0006612990474747,0,0,0,0,0,0,0,0.00566945272355088,0
"Ex_DACH2_TAC1",0.440405572431418,0.165859837499082,0,0,0,0,0.000875928461456122,0.0592858232534666,0.00359767454596729,0,0.013230053917126,0,0,0,0,0,0.000518277164521537,0.000746995594641559,0,0
"Ex_DACH2_ZMAT4",0.474475325731053,0.258253620441279,0.00537858029754453,0,0.00106344186061602,0,0.00389217025000492,0.00702188247404405,0,0,0.000842663612564446,0.000892609500320504,0,0,0,0,0,0,0.00939291289236092,0
"Ex_KIAA1217",0.0280195211025205,0,0.00124656071887124,0.000416794976042777,0.0322333362942316,0,0,0,0.0362102697143609,0,0.399881634789714,0.0528988548954254,0.000477001596205223,0,0,0,0,0.0122903793268979,0,0.00187852998312701
"Ex_KIAA1217_BCL6",0.016289737255753,0.00590602666659662,0,0,0.0323044856533493,0,0,0.00482191011483015,0.0123646481271573,0,0.381529844654769,0.138302946214986,0.000768709851195694,0,0.00749286680351459,0,0,0.00117855751202332,0.00883442192288902,0.000647621154328728
"Ex_Pre_KCNH7",0.241366720087378,0.00244540600411001,0.164228356486412,0.00241246575523359,0.00925018968462005,0,0.00194024149957382,0.000475130974275758,0.0100941305041207,0.000528362523683779,0.084211781069792,0.00623050607407187,0.000368431296452252,0.00535534581940419,0,0.00158434477405579,0.000279216942477459,0,0.000428785068332377,0
"Ex_Pre_SATB2",0.0428602659129608,0,0.0785539530702214,0,0.00968227264872643,0,0,0,0.013947537449164,0.0234270596568923,0.545443015689423,0.00444137270794225,0,0.00776288764812881,0,0,0,0.00102482612993339,0,0
"Ex_SATB2_FOXP2",0.00112793588186326,0,0.00291025823027485,0,0,0,0.00122018043823487,0,0.000587707581585917,0,0.938186646874156,0.00693124194015981,0,0.000392412497476719,0,0,0,0,0,0
"Ex_SATB2_OVOA",0.0125739342416881,0.00113463108593455,0.13927083420375,0.00139999861777349,0.000594621994663734,0.000360220018471186,0.0332228396301929,0,0.0579891181134025,0.000398114785977069,0.293469150921424,0.143731309832308,0,0,0,0,0,0,0.000382352289745118,0
"Ex_SATB2_SOX6",0.00233731518698679,0,0.00221160558028066,0.000753120215062327,0.00193534900561908,0,0,0,0.00212257351041619,0,0.901193446174436,0.0205428769691421,0.000412416167335869,0,0,0,0,0,0.00424139635819175,0
"Ex_SATB2_ZNF385B",0,0,0,0,0,0,0,0,0.00334815901149531,0,0.974946976062995,0.00250640304578912,0,0,0,0,0,0,0,0
"Ex_TSHZ2_NR4A2",0.00435978909830371,0,0.00495071020477827,0,0.00302556105087045,0,0,0,0.0450041296116394,0.121475050051544,0.00909090909090909,0,0,0,0.42081169750878,0.00232213986457192,0,0,0,0
