"","Glut-NC-1","Glut-Arco-2","Glut-NR-5","Glut-NC-3","Glut-Arco-5","Glut-NC-2","Glut-HVC-1","Glut-Arco-1","Glut-Arco-4","Glut-NR-3","Glut-NR-4","Glut-NR-1","Glut-NC-4"
"Ex_BCL6",0.0298866978494935,0.029863434769178,0.0145033932723927,0.479562715115775,0.0399849375947306,0.00132954665858002,0.0205277046596947,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0,0.916866548260611,0.00113246415886458,0,0.00144652165606972,0,0,0.00124067372437098,0.00165538895211156,0,0,0,0
"Ex_CACNA1H_KIT",0.00159152424254299,0.735807702420165,0.0203196151169934,0,0.0236661749346988,0.00575943271589293,0,0.0104518182150135,0,0,0,0,0
"Ex_CACNA1H_LHX9",0,0.55950924028519,0.00308231151837811,0,0.0740189108687483,0,0,0.0672374631232105,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0251085171118895,0.248584657177806,0.0166661257019474,0.018703578217802,0.0801647312908707,0.143309597010716,0,0.0017519296898197,0,0.001112728233956,0,0,0
"Ex_CACNA1H_PROX1",0.00599659757430249,0.785659960898882,0.000779255944547777,0.00108684977500942,0.0189035130843321,0.0186599134089396,0,0,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0.11769097210666,0.0139192858162382,0.00227793635301403,0.121412177219554,0,0.00778119857452516,0.00646814955319195,0,0,0.0222842789716851,0.00259328925627726,0.0800830882915493,0
"Ex_DACH2_CEMIP",0.0147485219962682,0.00196938852963447,0,0.711316060235552,0.00109625631632603,0,0,0,0,0,0.00279294916295108,0,0
"Ex_DACH2_GRIK4",0.497160374203979,0.00263023016208354,0.00391812294725031,0.00399686504533279,0.0049336750788269,0.0468104009924486,0,0,0,0.00683055276146051,0.000295380409560876,0.00319799758403985,0
"Ex_DACH2_ITGA9",0.145150187858892,0.000717143960863867,0.0154844020894458,0.319798097195004,0,0.0258075690262332,0,0.000258470855994419,0.000539424455600819,0.00769155372495509,0.0160017561127855,0,0.000927116996189217
"Ex_DACH2_LHX2",0.25582131182369,0.0402746112864644,0.00308718147141397,0.02048308908856,0.000535836334589847,0.176605107163298,0.00190257066186622,0,0.000339256088175333,0,0,0.0015422871441997,0
"Ex_DACH2_LUZP2",0.33629756307868,0.217095310021557,0.00276429011393778,0.0237057644623476,0.0196255042617459,0.00281066927015793,0,0,0,0,0,0,0
"Ex_DACH2_MGAT4C",0.473371097813447,0.0312723616534924,0.0073659621342167,0.00917542031180111,0,0.0142366685239534,0.00428822235349151,0,0,0.00334695293409554,0,0.00307786013133941,0
"Ex_DACH2_NR4A3",0.472253935176323,0.0196935381372474,0.00425048957025516,0.0232947281746151,0.00132707350387055,0.0114780461198869,0.00332456598917309,0,0,0.0104719648924754,0,0.0111056565399053,0.000329446809585893
"Ex_DACH2_RORB",0.00210114776343833,0,0.0148243983826183,0.595269527220123,0,0,0.000963457811780566,0,0,0,0.00367567834776606,0,0
"Ex_DACH2_SLIT2",0.093416939145941,0.0102868664541786,0,0.546863690916197,0.0899259986854255,0.00391297750503301,0,0,0,0,0,0,0
"Ex_DACH2_TAC1",0,0.00326528804063003,0.219349494425497,0.251025762133429,0,0,0.000623456579903655,0,0,0,0.0969188990190208,0,0
"Ex_DACH2_ZMAT4",0.00507137395553752,0,0.0014074484727478,0.534186663995426,0.00060869591681038,0,0.000530300904474089,0,0,0.000688416551297255,0.101501166560491,0,0
"Ex_KIAA1217",0,0.00601292141924646,0.579947729351137,0.0196653904310927,0.0226609586745784,0,0.0328464080970867,0,0,0,0,0,0
"Ex_KIAA1217_BCL6",0,0.0196657856397978,0.515703331887384,0.00858178256458744,0.0196392213102566,0,0.0510884691464955,0.000691884128398728,0,0,0.00173876157862843,0,0.00144899621504102
"Ex_Pre_KCNH7",0.130677097247536,0.00562247838885317,0.156665313141741,0.130675487297897,0.0117620729462682,0.000491971976697699,0.0014564242422342,0,0.000655092532277198,0,0,0,0
"Ex_Pre_SATB2",0.0258150615788261,0.0072892605209579,0.569078400350015,0.0233607756015707,0.00647163197032155,0.0203816667295295,0,0,0,0,0,0,0
"Ex_SATB2_FOXP2",0.0012749021595515,0,0.92816901736881,0,0.000487609450249642,0,0.000521196021722881,0,0,0,0,0,0
"Ex_SATB2_OVOA",0.0995975603039259,0.036057579423508,0.425269239470162,0.0124161946403852,0.000403596875502638,0,0.00585408218227961,0,0.000540285486666676,0.00343388978859993,0,0.00230264770454325,0
"Ex_SATB2_SOX6",0.00181703870849351,0,0.916813519524894,0,0.000436865127037625,0,0.00243838177293698,0,0,0,0,0,0.000832225678218674
"Ex_SATB2_ZNF385B",0,0.000596912425220078,0.979943452678184,0,0,0,0.000432851124988557,0,0,0,0,0,0
"Ex_TSHZ2_NR4A2",0.00236396758191019,0.0504784041373419,0.0229066977315532,0,0.00971465010424378,0.0434585751205011,0,0.329712152825827,0.00254390679105553,0,0,0,0
