"","Ex_TSHZ2_NR4A2","Ex_CACNA1H_LHX9","Ex_DACH2_RORB","Ex_SATB2_OVOA","Ex_BCL6","Ex_CACNA1H_CPA6","Ex_CACNA1H_KIT","Ex_DACH2_SLIT2","Ex_Pre_KCNH7","Ex_CACNA1H_MCTP2","Ex_SATB2_SOX6","Ex_Pre_SATB2","Ex_DACH2_NR4A3","Ex_DACH2_MGAT4C","Ex_DACH2_GRIK4","Ex_SATB2_ZNF385B","Ex_DACH2_ADAMTS5","Ex_DACH2_LHX2","Ex_DACH2_ZMAT4","Ex_SATB2_FOXP2","Ex_DACH2_ITGA9","Ex_KIAA1217_BCL6","Ex_DACH2_LUZP2","Ex_DACH2_CEMIP","Ex_KIAA1217"
"Glut-Arco-1",0.0375000981047664,0.717101313448947,0.000414611542563012,0.000488885693428768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-2",0.0472039722290861,0.479746220005783,0.000603591120872101,0,0.000230846967000299,0.0007525271387925,0.00536561363898748,0.000609349112756043,0.000929384621513896,0.0047159701201428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-3",0.10562722573868,0.50131677299215,0.000703506309200644,0,0,0,0,0,0,0,0.000925329653629281,0.000477834552116629,0.000836472017371656,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-4",0.0193501511500677,0.246410360995769,0.000298143629616886,0.128663994055055,0,0,0,0.00101739372103202,0.0205820452402478,0,0.00322916241627545,0,0,0.000418068085229707,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-5",0.0016083189399507,0.630798022955874,0,0,0,0,0,0.0646091004327671,0,0,0,0,0.00203134680800371,0.00136744930078965,0,0,0,0,0,0,0,0,0,0,0
"Glut-HVC-1",0,0,0.000373699849777681,0.00113975348895185,0,0,0,0.000569695752720608,0.00200569905542706,0,0.209398723118065,0,0.00333474662112044,0.0784985794756446,0.0535692771116541,0.00213809073713196,0.00454436628350197,0.000312289701718575,0.00327876152686661,0.000395092092164798,0.00278305167204746,0.0102734377976525,0,0,0
"Glut-HVC-1a",0,0,0,0.000268183952282049,0,0,0,0,0.000382205243037344,0,0.0285000172621882,0,0.0327059301569695,0.255386755920635,0.060828490638531,0,0.00098940715809182,0.000469519924658014,0.000971613903529123,0,0.017581093379729,0.000994057697056095,0.00203216013968607,0,0
"Glut-HVC-2",0,0,0,0,0,0,0,0.00176881299315445,0,0,0.0293934635632546,0,0,0,0,0,0,0,0.00427387875436765,0,0.00337994094873678,0.470255431622739,0,0.000521245260287325,0
"Glut-LMAN-1",0,0,0,0.00221937959367486,0,0,0,0,0,0,0.000560549900576462,0,0.0121906217501532,0.0809282821942879,0.0109615013401306,0,0.12760275640163,0.0336947309602026,0.0661239875433617,0,0.00142854055938635,0,0,0,0
"Glut-LMAN-2",0,0,0.00263300217911656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44593483604975,0,0,0,0,0.133246864667769,0
"Glut-NC-1",0,0,0,0.000384347589993193,0,0,0,0.00600622593181825,0,0,0.000427111322250555,0,0.0960907683502077,0.296887927654747,0.0856321788968559,0,0.0101950738966098,0.00606662699119743,0.000742114548423134,0,0.00703573001642014,0,0.0016680337221013,0,0
"Glut-NC-2",0,0,0.00031935240291099,0,0,0,0,0,0,0,0,0,0.0628313442149279,0.29388534382322,0.0287868724333438,0,0.0228360449122104,0.00616536658574679,0,0,0.00236161395495647,0,0.00374111360797476,0,0
"Glut-NC-3",0,0,0,0,0,0,0,0.569956981604908,0,0,0,0,0.00831533039945419,0.000786657396497665,0.000991040687399094,0,0,0,0.0997454534571599,0,0.00191648855127957,0,0,0.00528022440991235,0
"Glut-NC-4",0,0,0,0,0.00107387701872163,0,0,0.103388351269115,0,0,0.00657724161257397,0,0.0305308984916984,0.00165124661691557,0.00839695283262917,0,0,0,0.107538869444517,0.000951734092100673,0.122236827248418,0.0465795144857661,0,0,0.00110128847714664
"Glut-NR-1",0,0,0,0.000686997055491972,0,0,0,0,0.000300473409842857,0,0,0,0.0231674834136889,0.216754990933063,0.018085159267322,0,0.120418679243952,0.0128913807266907,0,0,0.00146440018093981,0,0,0,0
"Glut-NR-2",0,0,0,0,0,0,0,0.00137059290873437,0,0,0.000399468862615974,0,0.000524627313162031,0,0,0,0,0,0.193447069067308,0,0.0050101419861234,0.00646026701919051,0,0.464976786298193,0
"Glut-NR-3",0,0,0,0.00309373475351777,0,0,0,0,0,0,0.0113886531952641,0,0.0401222009199261,0.246458378085727,0.0585981703324978,0,0.00543661325427179,0,0.0259113580946624,0,0.0245701064934328,0.000365370178219066,0,0.00104512247124419,0
"Glut-NR-4",0,0,0,0,0,0,0,0.00130140655184436,0,0,0,0,0,0,0,0,0,0,0.647716468604349,0,0.000724983883653018,0.00051011753539858,0,0.0455116064488426,0
"Glut-NR-5",0,0,0,0.000848606989388113,0,0,0,0,0,0,0.471837783044087,0.000857747725363197,0,0,0.00175571113269045,0.113316839624076,0,0,0.00113058965100737,0.163744413740888,0.000972008128614366,0.00106459704267123,0,0,0
"Glut-RA",0.00831783452835907,0.846472585253083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
