"","Ex_CACNA1H_LHX9","Ex_DACH2_NR4A3","Ex_SATB2_SOX6","Ex_SATB2_FOXP2","Ex_DACH2_SLIT2","Ex_DACH2_GRIK4","Ex_SATB2_ZNF385B","Ex_DACH2_LHX2","Ex_DACH2_MGAT4C","Ex_KIAA1217_BCL6","Ex_DACH2_ZMAT4","Ex_DACH2_ITGA9","Ex_DACH2_CEMIP","Ex_DACH2_ADAMTS5"
"Glut-Arco-1",0.842906758870815,0.000540149186443422,0.002983810586465,0.000517832872247908,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-2",0.712111763621744,0.000575192369136047,0.00149523925092413,0,0.000309640736208554,0.000358725631495859,0,0,0,0,0,0,0,0
"Glut-Arco-3",0.763626470993797,0.00222261311022259,0.00662964523891289,0.00200170284270181,0.00121202321969558,0,0,0,0,0,0,0,0,0
"Glut-Arco-4",0.597914128902243,0.00448534613522924,0,0,0.00163734611835364,0,0.00435828763612876,0.000527997023801102,0,0,0,0,0,0
"Glut-Arco-5",0.667105701782573,0,0,0,0.043138925020346,0,0,0,0.00129804898145412,0,0,0,0,0
"Glut-HVC-1",0,0.00349990375125097,0.49107636695312,0.00782720401198744,0.000400178910361478,0.0362154669495959,0.0101033530821685,0,0.00670427787300026,0.000537751182660825,0.000448987571222605,0.000504226431110862,0,0
"Glut-HVC-1a",0,0.0334254901571974,0.227722167104899,0.00169541570897752,0,0.0935053153635816,0.000351965105882237,0,0.0912116554856424,0,0,0.00249243027695371,0,0
"Glut-HVC-2",0.00261313655886726,0,0.19113542887326,0.0024301069305459,0.00162331347667612,0.00115733283280829,0.00199147440079101,0,0,0.248248170194746,0.015725502050483,0.000622524520717958,0.00206485488449429,0
"Glut-LMAN-1",0,0.0407693685062583,0.0648745017015265,0.000347064311268768,0.000324527683113618,0.0417893264728831,0,0,0.110106376110659,0,0.076645376164252,0,0,0.0305852884374244
"Glut-LMAN-2",0,0,0.00256722045943966,0,0,0,0,0,0,0,0.621948869618971,0,0.0154178550630175,0
"Glut-NC-1",0,0.0993346295148157,0.0212634735720553,0,0.00378018485620744,0.118488112551992,0,0.00033756399475475,0.247341840272653,0.000564237579089148,0.00109732042911883,0.00140498772772477,0,0.00144268238605194
"Glut-NC-2",0,0.081667796181255,0.0358508914030094,0.000308352935076603,0,0.0718605601451955,0,0,0.210458165772842,0,0,0,0,0.00434594342013899
"Glut-NC-3",0,0.00568662644939762,0.000969852997169012,0,0.511276242676305,0.00205564309732939,0,0,0,0,0.116322860944452,0.00145775248377625,0.000476000484557555,0
"Glut-NC-4",0,0.0241711242609704,0.0368175955709524,0.00164390999334219,0.0937102745112198,0.0320015904367806,0,0,0.0012318849704924,0.0418141206569163,0.104549663605882,0.0850843505220536,0,0
"Glut-NR-1",0,0.0565545005435928,0.0291640917818178,0,0,0.0312814002029704,0,0.000324535989449133,0.2391278205805,0,0,0,0,0.0245250943092559
"Glut-NR-2",0,0.000446577776184428,0.00878294903583074,0,0.00316584590735089,0.000858657559478261,0,0,0,0.00106802894914322,0.381050597770936,0.00115321242018159,0.220109741831374,0
"Glut-NR-3",0,0.0541699594066612,0.12326545082832,0,0.000602884496948872,0.0873748291771463,0,0,0.147185714865571,0,0.0288876556099976,0.00139448495690469,0,0.00114972119760263
"Glut-NR-4",0,0,0.00118399637952483,0,0.00236237493531803,0,0,0,0,0.000532102963176856,0.771860403692471,0,0.0113627719912202,0
"Glut-NR-5",0,0,0.496222904359366,0.141722814981013,0,0,0.114225587103212,0,0,0,0,0,0,0
"Glut-RA",0.886541603740668,0,0.00272627426300321,0.000482521250635036,0,0,0,0,0,0,0,0,0,0
