"","Ex_CACNA1H_LHX9","Ex_DACH2_ZMAT4","Ex_SATB2_SOX6","Ex_DACH2_GRIK4","Ex_DACH2_ITGA9","Ex_Pre_KCNH7","Ex_DACH2_NR4A3","Ex_SATB2_FOXP2","Ex_SATB2_ZNF385B","Ex_DACH2_MGAT4C","Ex_DACH2_ADAMTS5","Ex_KIAA1217_BCL6","Ex_DACH2_CEMIP","Ex_KIAA1217","Ex_DACH2_SLIT2"
"Glut-Arco-1",0.721011048576553,0.000209827089066322,0.000310971245566907,0.0002180436695355,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-2",0.715266778862182,0,0,0,0.000189673121005617,0.000465291815223611,0.000260767316895689,0,0,0,0,0,0,0,0
"Glut-Arco-3",0.692252305353838,0.00139841259334985,0.000846516361650862,0.000460839535804223,0,0,0.000427430034842782,0.000443941632406232,0,0,0,0,0,0,0
"Glut-Arco-4",0.462330953141338,0.00121029573172612,0,0,0,0.0471921150685384,0.000537324502660738,0,0,0,0,0,0,0,0
"Glut-Arco-5",0.604080109045043,0,0.00088645598243781,0.00856301582967371,0,0,0.00253332108001041,0.00150066920245536,0,0,0,0,0,0,0
"Glut-HVC-1",0,0.00431392412853859,0.203995801582043,0.0257999853267077,0.000847975384864441,0,0.00437032900481019,0.0138101322209684,0.00241466652456085,0.00633813752587985,0,0,0,0,0
"Glut-HVC-1a",0,0.000240444579507227,0.0773848564701237,0.0681730916538747,0.00058678508960378,0,0.0477613251320959,0.00654512901547806,0,0.0418831893720423,0.000346749469942508,0,0,0,0
"Glut-HVC-2",0.03190818150921,0.0135486966283392,0.073157761678514,0.000618356663786153,0.0345598413091032,0,0,0.0460813919130085,0.00168030870365942,0,0,0.0122396672486214,0.00902946143403138,0.000556131233206389,0
"Glut-LMAN-1",0,0.0579405785525025,0.00274873254344132,0.0140591506762407,0,0,0.0509540824483967,0.000351419633334848,0,0.111665398392901,0,0,0.000714406416420732,0,0
"Glut-LMAN-2",0.000814935353941456,0.286708693801028,0,0,0,0,0,0.000270500674022838,0.000292951308997083,0,0,0,0.0546562360145323,0,0
"Glut-NC-1",0.00058332604409477,0.000721806266113415,0.00224046583724944,0.069175072418462,0.000256241589744264,0,0.202888694651175,0.000659581961245335,0,0.0431233694214978,0,0,0,0,0.00312968699150235
"Glut-NC-2",0,0,0.00429138736020631,0.0286993449140596,0,0,0.16587815020688,0,0,0.0782066760785402,0,0,0,0,0
"Glut-NC-3",0.000390110425463447,0.188190300229669,0,0.00479459440626129,0,0,0.00562832363423844,0,0,0.000226844734261486,0,0,0.00332237189322519,0,0.118089206711801
"Glut-NC-4",0.00348456475005912,0.048699882656653,0.0207847714219896,0.0132942980404396,0.0542277055989238,0,0.0169339415995391,0.00859010730121583,0,0,0,0.00878395531791235,0,0,0.0581161090821452
"Glut-NR-1",0,0,0.000281835786505724,0.00870482783815847,0,0,0.158871621655953,0,0,0.110519451970561,0,0,0,0,0
"Glut-NR-2",0,0.286774738068598,0.00129637194671822,0,0.00178846951880932,0,0,0.000937661256892372,0,0,0,0,0.0592689150230817,0,0.00052460316616186
"Glut-NR-3",0,0.0215250495401603,0.0242591981821889,0.0363340211149936,0.000294348104326929,0,0.0921423451058632,0.000775405939854845,0,0.0742046903894271,0,0,0.000293563212900437,0,0
"Glut-NR-4",0,0.407799438898774,0,0,0.000253716947374121,0,0,0.000270645408658563,0,0,0,0,0.0100736552548075,0,0
"Glut-NR-5",0,0,0.235185442611994,0.00152526980437892,0,0,0,0.098403288347331,0.0690379298840902,0.00034417094411902,0,0,0,0,0
"Glut-RA",0.70513590760978,0,0,0,0,0,0,0.000453373357993739,0,0,0,0,0,0,0
