"","Ex_SATB2_SOX6","Ex_CACNA1H_LHX9","Ex_SATB2_FOXP2","Ex_DACH2_NR4A3","Ex_CACNA1H_KIT","Ex_CACNA1H_MCTP2","Ex_DACH2_SLIT2","Ex_DACH2_GRIK4","Ex_DACH2_MGAT4C","Ex_DACH2_CEMIP","Ex_DACH2_ZMAT4","Ex_DACH2_ITGA9","Ex_KIAA1217_BCL6","Ex_SATB2_ZNF385B","Ex_DACH2_ADAMTS5","Ex_DACH2_LHX2","Ex_CACNA1H_PROX1"
"Glut-Arco-1",0.000409216894010555,0.835163326956777,0.00104653412603159,0.000748116067697474,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-2",0.00041100324907552,0.634916936218646,0.000388739194442058,0.000712246733138118,0.00284735456303091,0.000467590690244917,0.00136014984267852,0.000464811054075824,0,0,0,0,0,0,0,0,0
"Glut-Arco-3",0.00536240880650365,0.726119603056177,0.00334208382014554,0.00277511876919858,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-4",0.0774043163134548,0.421184367635176,0,0.00445551440834176,0.000579445699128603,0,0.000859460573612004,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-5",0,0.660407913077352,0,0,0,0,0.0698649302244697,0,0.00126590878055302,0,0,0,0,0,0,0,0
"Glut-HVC-1",0.503054841024049,0,0.0139460133537169,0.00573038346899392,0,0,0.000249542190168648,0.0403635655304014,0.0133516483252701,0.00040930760726804,0.0018817842750474,0.00207361959389241,0.00105123442965392,0.0117740647796205,0,0,0
"Glut-HVC-1a",0.198982475135599,0,0.00647154649860578,0.0498889013216508,0,0,0,0.0812692696643927,0.134001676897979,0,0,0.00499219820692562,0,0.000997041399726585,0.000344141991304839,0.000491485481378645,0
"Glut-HVC-2",0.110226528984606,0,0.00235698614527948,0,0,0,0,0.00125807534604516,0,0.00201619902406858,0.00741424777001657,0.00218926507725497,0.52107508704432,0.0046033190436927,0,0,0
"Glut-LMAN-1",0.036205162726665,0,0.000563757136850776,0.0472684380643522,0,0,0,0.0175868586628554,0.0784086678215417,0,0.0530654112530357,0.00027513065349862,0,0,0.104080643411526,0.0116476270092761,0
"Glut-LMAN-2",0.00135027610361964,0,0,0,0,0,0,0,0,0.034347325443574,0.608361399168342,0,0,0,0,0,0
"Glut-NC-1",0.0132650901052785,0,0,0.105985860246928,0,0,0.00495178918191767,0.125768519810955,0.288340384070666,0,0,0.00487732239714339,0.000588205405841267,0,0.0057299865540372,0.00190179213318787,0
"Glut-NC-2",0.0199400892424358,0,0.000915363419739208,0.0978323474724746,0,0,0,0.0457248608981899,0.27237156664861,0,0,0,0,0,0.00863700395415556,0.00221567269353471,0
"Glut-NC-3",0.000511509859967315,0,0,0.00526050947588819,0,0,0.568141915785681,0.002255178632323,0,0.0011687943619469,0.116879758196755,0.00253565567197384,0,0,0,0,0.000577152151192934
"Glut-NC-4",0.0248014621304469,0.000877108804759632,0.00140007399322701,0.0530161242897722,0,0,0.0788315044530939,0.0173538847668739,0.00111986468312422,0,0.0610402957924084,0.185017449763617,0.0589118271899101,0,0,0,0
"Glut-NR-1",0.00857912089479608,0,0.000255104929483535,0.0446141118611959,0,0,0,0.0244866084564252,0.24495390152974,0,0,0,0,0,0.0675111160680096,0.00812331182421671,0
"Glut-NR-2",0.005515541375254,0,0,0.00221482847124441,0,0,0.00109883294102356,0.00119103055135394,0,0.356364120920069,0.288809136236531,0.00368425501972566,0.0025363491600108,0,0,0,0
"Glut-NR-3",0.0876426625180209,0,0,0.0666259138933238,0,0,0,0.0925894190256779,0.196157330793746,0.000417149190005564,0.0212610931049535,0.00112437963573048,0,0,0.00194719187028984,0,0
"Glut-NR-4",0.000580056887301921,0,0,0,0,0,0.00170914416432481,0.00074329376340642,0,0.0178970171942761,0.766509660720761,0,0.000754532951528252,0,0,0,0
"Glut-NR-5",0.510603697608258,0,0.167121931664593,0,0,0,0,0,0,0,0,0,0.00272879581022868,0.115945812111288,0,0,0
"Glut-RA",0.00128164675452573,0.875123633963127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
