"","Ex_CACNA1H_LHX9","Ex_DACH2_NR4A3","Ex_SATB2_FOXP2","Ex_SATB2_ZNF385B","Ex_DACH2_GRIK4","Ex_SATB2_SOX6","Ex_DACH2_CEMIP","Ex_DACH2_ZMAT4","Ex_KIAA1217_BCL6","Ex_DACH2_SLIT2"
"Glut-Arco-1",0.420343436827193,0.0011806941563149,0.000760814518523683,0.000477868825410322,0,0,0,0,0,0
"Glut-Arco-2",0.428129037265257,0.00137405904711544,0.00145601547943187,0.00105150476647009,0.000264494970524566,0,0,0,0,0
"Glut-Arco-3",0.393124930814172,0.0055447182760361,0.00225021358055872,0.00113277378357382,0,0,0,0,0,0
"Glut-Arco-4",0.356944974369592,0.00235995153726856,0.000517607897282652,0,0.000871270634615713,0,0,0,0,0
"Glut-Arco-5",0.357715768466042,0.00158843579679318,0.00623039762093797,0.000722750274984036,0.0110426059136526,0.000755491082759515,0,0,0,0
"Glut-HVC-1",0,0.0344361028873422,0.0849057864132311,0.0641297541177782,0.000781515910251544,0.0600485146961859,0,0,0,0
"Glut-HVC-1a",0,0.149191375747058,0.0738253830754786,0.00310798373348583,0.00967442958009434,0.021853163753864,0,0,0,0
"Glut-HVC-2",0.00747827768870643,0.00156614310340226,0.213996833120759,0.00844973243508397,0,0.00664954273872429,0,0,0,0
"Glut-LMAN-1",0,0.208366115701715,0.0337312862180904,0.00052271084319589,0.00788271027979365,0.0042833042138306,0.000191440951767016,0.000557424032793708,0,0
"Glut-LMAN-2",0.000708938038184449,0,0.0903287807314936,0.0339735224174766,0,0.000742146546863952,0.0567981622452665,0.00318103333272628,0,0
"Glut-NC-1",0.000424552108398133,0.21481886640624,0.00791668445841974,0.000658982623017471,0.081188513752027,0.000253273332397058,0,0,0.000270162791192955,0
"Glut-NC-2",0,0.247827112703473,0.0139210847993019,0.000562237507075188,0.0378947280376,0.000521110474177298,0,0,0,0
"Glut-NC-3",0,0.0275225616772105,0.00308279775625574,0.00494143037099924,0.0535157877742727,0.00131226902105826,0.000947165447572278,0.0389224151108331,0,0.0621866282365077
"Glut-NC-4",0.000667383411041941,0.0185009227542977,0.128865891159678,0.000730838895865271,0.0470724441208882,0.00211304300191584,0,0.00119605406270662,0.00420720458502608,0.00682260183645936
"Glut-NR-1",0,0.287604656600508,0.00314112263535054,0,0.0221957613219733,0.000489291554300925,0,0,0,0
"Glut-NR-2",0,0.0225979908524435,0.063028044101145,0.0124703083348355,0.00074799899038928,0.00217989144160089,0.0469483854638472,0.0261133845825535,0.000358844881922075,0.00367164783521303
"Glut-NR-3",0,0.235345857927131,0.0217279996295676,0.000324962565773302,0.0244213412853649,0.00619063789585888,0,0.000183087077449101,0,0
"Glut-NR-4",0,0.00851495479453391,0.101197180245086,0.00288534550486201,0,0,0.0185323038440862,0.0491246619541156,0,0
"Glut-NR-5",0,0.022963766093854,0.172612731808836,0.109253291691135,0,0.0172007409199455,0,0,0,0
"Glut-RA",0.405423268653591,0,0.000222581550906688,0.00179457829749234,0,0,0,0,0,0
