"","Ex_SATB2_FOXP2","Ex_CACNA1H_KIT","Ex_TSHZ2_NR4A2","Ex_CACNA1H_LHX9","Ex_DACH2_NR4A3","Ex_BCL6","Ex_CACNA1H_MCTP2","Ex_DACH2_GRIK4","Ex_SATB2_SOX6","Ex_DACH2_SLIT2","Ex_DACH2_MGAT4C","Ex_SATB2_ZNF385B","Ex_DACH2_ZMAT4","Ex_KIAA1217_BCL6","Ex_DACH2_LHX2","Ex_DACH2_ADAMTS5","Ex_DACH2_ITGA9","Ex_DACH2_CEMIP","Ex_DACH2_LUZP2","Ex_CACNA1H_PROX1","Ex_Pre_KCNH7","Ex_SATB2_OVOA"
"Glut-Arco-1",0.00157758528484029,0.00258913593180488,0.0131978570503932,0.764943458739437,0.000591335258369518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-2",0.000342119107073131,0.0346065109801328,0,0.532608866840454,0.000728619940878309,0.000564546232885852,0.000428341748584831,0.000457878794577336,0.000408509718381026,0.000587929788939324,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-3",0.00399319645218326,0.012277485919979,0.00508906433292507,0.633695072229377,0.00227415573901256,0,0,0,0.00464238779002396,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-4",0,0.0854616594786222,0.0113394666555968,0.220147275129313,0.00307243898422547,0,0,0,0.0832316809475906,0.000793826374078272,0.000747402860100648,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-5",0,0,0,0.647983605010087,0,0,0,0,0,0.0803498454512521,0.00133685943786544,0,0,0,0,0,0,0,0,0,0,0
"Glut-HVC-1",0.0123290738610718,0,0,0,0.00370889934846596,0,0,0.0457467790833012,0.533516018217309,0.000228401642099991,0.0177607800586561,0.0123167958411489,0.0014420300801353,0.00340375308505283,0.000209853828590017,0.000751967103264676,0.000493733238830653,0,0,0,0,0
"Glut-HVC-1a",0.0070965883607575,0,0,0,0.0419789450351095,0,0,0.0920443066582048,0.216734868903512,0,0.124082878467323,0.000624414840626405,0,0.00045413091397564,0.000487501969415472,0,0.00418525984278519,0,0,0,0,0
"Glut-HVC-2",0.00347685956940606,0,0,0,0,0,0,0.00186469379248145,0.0741758043908945,0.00074430934325755,0,0.00409101977388335,0.00320932517156458,0.632390015634505,0,0,0.00226493967926891,0.00061808442102443,0,0,0,0
"Glut-LMAN-1",0.000244688221748515,0,0,0,0.0511802778670869,0,0,0.0321372506246121,0.0311747059856373,0,0.0544102568008767,0,0.0428088558713625,0,0.0130447756419371,0.125372411006482,0,0,0,0,0,0
"Glut-LMAN-2",0,0,0,0,0,0,0,0,0.00179184905983383,0,0,0,0.580959729031293,0.00117332430390605,0,0,0,0.0608516600946692,0,0,0,0
"Glut-NC-1",0,0,0,0,0.107817877458795,0,0,0.128543267528873,0.0121558544620565,0.00569003665611187,0.290466636453873,0,0,0.00058838820823156,0.00412885259298961,0.0082564239636763,0.00154601218830418,0,0.000546938758854699,0,0,0
"Glut-NC-2",0,0,0,0,0.0814329772456921,0,0,0.0417715133091933,0.0183568747387519,0,0.244211235601031,0,0,0,0.0142066147199585,0.0155795826893868,0,0,0,0,0,0
"Glut-NC-3",0,0,0,0,0.00514465714389841,0,0,0.00367768641284412,0.000393066093440454,0.562739150843105,0,0,0.127823210325364,0,0,0,0.00164387878379114,0.00441443204163535,0,0.000904653900661094,0.000372445563971536,0
"Glut-NC-4",0.00164338887674115,0,0,0,0.0716121220321082,0,0,0.0281201207506571,0.0219583998620039,0.0713942049845284,0.001184062779417,0,0.0564845692142993,0.0580323355813964,0,0,0.201296232950765,0,0,0,0,0
"Glut-NR-1",0,0,0,0,0.0458611235239236,0,0,0.0250317914967358,0.00676389164970601,0,0.189494558196108,0,0,0,0.0172372521848531,0.0900454023990455,0,0,0,0,0,0
"Glut-NR-2",0,0,0,0,0.00206210116937588,0,0,0.00192788428423199,0.00496983635632331,0.00231044289874065,0,0,0.262552433270052,0.00623206630432399,0,0,0.00392486584144014,0.406376817417415,0,0,0,0
"Glut-NR-3",0.00110827276082443,0,0,0,0.0729363604345555,0,0,0.119210475355933,0.0948643894263259,0,0.143370122859924,0,0.0183434358842736,0,0,0.00537262061358739,0.00122382255938063,0,0,0,0,0
"Glut-NR-4",0,0,0,0,0,0,0,0.00162698294950054,0.00108623185945907,0.00125263026161227,0,0,0.781360611349293,0.000656402138444159,0,0,0,0.0239646645397242,0,0,0,0
"Glut-NR-5",0.171727946453833,0,0,0,0,0,0,0,0.52757097267111,0,0,0.114187406912979,0,0.00162831091106177,0,0,0,0,0,0,0,0.00197197968649447
"Glut-RA",0.00237715718933782,0,0.0178144204316932,0.764673403332937,0,0,0,0,0.000512667421068023,0,0,0,0,0,0,0,0,0,0,0,0,0
