"","Ex_TSHZ2_NR4A2","Ex_Pre_SATB2","Ex_CACNA1H_MCTP2","Ex_CACNA1H_KIT","Ex_DACH2_RORB","Ex_DACH2_NR4A3","Ex_CACNA1H_LHX9","Ex_SATB2_OVOA","Ex_DACH2_ADAMTS5","Ex_BCL6","Ex_CACNA1H_CPA6","Ex_CACNA1H_PROX1","Ex_DACH2_SLIT2","Ex_Pre_KCNH7","Ex_DACH2_LHX2","Ex_SATB2_SOX6","Ex_KIAA1217","Ex_DACH2_ITGA9","Ex_DACH2_GRIK4","Ex_DACH2_ZMAT4","Ex_DACH2_LUZP2","Ex_SATB2_ZNF385B","Ex_SATB2_FOXP2","Ex_KIAA1217_BCL6","Ex_DACH2_TAC1","Ex_DACH2_MGAT4C","Ex_DACH2_CEMIP"
"Glut-Arco-1",0.100613674075491,0.000292234284253974,0.00063024606276691,0.0018671759255111,0.000321742751324005,0.00657702012323555,0.582599871303549,0.000625676383180301,0.000207868846386296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-2",0.0785454910804466,0.000424057715029697,0.0238293638229393,0.0832184792376771,0.000493313908797401,0.0120882151859959,0.303574952492321,0.0029368014569701,0.000297479631786618,0.00653935346793267,0.00502611170590224,0.00684826914773613,0.00152405837293193,0.00099762560076723,0.000611378754495994,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-Arco-3",0.195132393054724,0,0,0.00929684862558167,0.00425061528955378,0.0110056684246668,0.370458072648986,0,0.00195226611758285,0,0,0,0,0.0016850370327236,0,0.000518280241417906,0.000822965245000258,0.000620428148217483,0.000444166455317182,0,0,0,0,0,0,0,0
"Glut-Arco-4",0.165301874258255,0.0097160665136129,0,0.00331154576999428,0.0021082754999605,0.0022680188509077,0.0698197553261462,0.148125910207891,0.0296700830851299,0,0,0,0.00132068636518219,0.00715863243135178,0.000632732960682859,0.00972716093532778,0,0,0,0.0102971941947666,0,0,0,0,0,0,0
"Glut-Arco-5",0.00648481801236104,0,0,0,0,0.00189715114229168,0.576926327221776,0,0,0,0,0,0.0915310542093532,0,0,0,0,0,0,0,0.00259392969818443,0,0,0,0,0,0
"Glut-HVC-1",0,0.000456147490775859,0,0,0,0.00299810289334429,0,0.0224404777284261,0.00487972339686394,0,0,0,0,0.00253833949264259,0.00045920094761963,0.0897046666755534,0,0.00700816254744606,0.116072172664042,0.000769539600826136,0,0.000498598228973254,0.000690100863724926,0.021601066560882,0.000710881614029874,0.137282503624166,0
"Glut-HVC-1a",0,0,0,0,0,0.0359024110600601,0,0.0036729735078505,0.0147910767883519,0,0,0,0,0.000605515118330144,0.00163641017648805,0.0202385706819162,0,0.0269085782408096,0.115191495199104,0,0.00686484523827272,0,0.000954584183580522,0.0021236816933502,0,0.237395326934543,0
"Glut-HVC-2",0,0,0,0,0,0,0,0,0,0,0,0,0.00122760718350507,0,0,0.0129521448327894,0.015941822875156,0.0118600054172776,0,0.00310494782941888,0,0,0.00162552345172582,0.631978738914173,0,0.00151089528028152,0.000996977726219561
"Glut-LMAN-1",0,0,0,0,0.000332490119896944,0.0130115396830212,0,0.00350812631858704,0.39648485755482,0,0,0,0,0,0.0250046617869711,0.00024056925390939,0,0.00462120402624478,0.0136919331246625,0.0155693832216061,0,0,0.00033799197584892,0,0.000281333598422705,0.0185610846828628,0.00037068134502941
"Glut-LMAN-2",0,0,0,0,0.0616463701404929,0,0,0,0,0,0,0,0,0.00262742422532468,0,0,0,0,0,0.242324746518583,0,0,0,0,0,0,0.267596894807298
"Glut-NC-1",0,0,0,0,0,0.102899876623485,0,0.00185300061558636,0.0185417170493793,0,0,0,0.00744473987593268,0,0.0129468112683883,0,0,0.0119950840973588,0.137660303466321,0,0.00692266138928798,0,0,0,0,0.281253998621476,0
"Glut-NC-2",0,0,0,0,0.000478570583277732,0.073824051376213,0,0.00179749084279987,0.0292552535284691,0,0,0,0,0,0.0471791994407096,0,0,0.00386535770459217,0.043946105028734,0,0.0146396487469319,0,0,0,0,0.229115083715678,0
"Glut-NC-3",0,0,0.00139158209094104,0,0.000896218466857391,0.0132612602916507,0,0,0,0,0,0.000972893973119391,0.547578434488949,0.000352803605812156,0,0,0,0.00215695529295127,0.00201062029769431,0.132027743103224,0,0,0,0,0,0.000429610660551487,0.0219863802453525
"Glut-NC-4",0,0,0,0,0,0.0541457851043239,0,0,0,0.00141870102856841,0,0,0.0990888084210659,0,0,0.0102904898747812,0.0029554852157313,0.171625908224242,0.00366570300251772,0.0892990358765931,0,0,0,0.053756174290569,0,0,0
"Glut-NR-1",0,0,0,0,0.000549443873003619,0.0276674892248778,0,0.00231742833749596,0.192995463798403,0,0,0,0,0.000620078740258478,0.0362893023998256,0.000332055143851617,0,0.000683177000070134,0.0249588027208969,0,0.00081959579092669,0,0,0,0,0.160904904099806,0
"Glut-NR-2",0,0,0,0,0,0.000886939782744317,0,0,0,0.000667656842415161,0,0,0.00152468755808152,0,0,0.000480184966147618,0,0.0156846660329779,0,0.122204325594942,0,0,0,0.0106960352351653,0.000553830895244292,0,0.598923805913257
"Glut-NR-3",0,0,0,0,0,0.050159641158948,0,0.015075348415774,0.0394411546265546,0,0,0,0,0,0,0.00488961318479974,0,0.039911494270953,0.0960574897695527,0.00979293450904628,0,0,0.000342521096602091,0,0,0.209606602222026,0.00645185486459648
"Glut-NR-4",0,0,0,0,0,0,0,0,0,0,0,0,0.000635696522557957,0,0,0,0,0.000392414406122609,0.00205606780495798,0.585969358165631,0,0,0,0.000790417719089897,0,0,0.121567874555598
"Glut-NR-5",0,0.00476174962943888,0,0,0,0,0,0.00517187659099332,0,0,0,0,0,0,0,0.517224837048498,0,0,0.00422537266754033,0.000611503615462901,0,0.118414734503225,0.170537007127416,0.00137840310111837,0,0.00149197331354269,0
"Glut-RA",0.112607978099196,0,0,0,0.000228723833457421,0,0.518607626817443,0,0,0,0,0,0,0.00056637889482799,0,0,0,0,0,0,0,0,0.000291336388834504,0,0,0,0
