"","Ex_CACNA1H_LHX9","Ex_SATB2_SOX6","Ex_DACH2_NR4A3","Ex_SATB2_FOXP2","Ex_DACH2_ZMAT4","Ex_DACH2_SLIT2","Ex_DACH2_ITGA9","Ex_SATB2_ZNF385B","Ex_DACH2_LHX2","Ex_KIAA1217_BCL6","Ex_DACH2_GRIK4","Ex_DACH2_CEMIP","Ex_DACH2_MGAT4C"
"Glut-Arco-1",0.704797571848222,0.000698337184597253,0.000453875592049788,0.00173099935426633,0,0,0,0,0,0,0,0,0
"Glut-Arco-2",0.660934353250619,0,0.00048208233304616,0.000669770920348472,0.000360081111653717,0.000259440104900534,0.000313407777425849,0,0,0,0,0,0
"Glut-Arco-3",0.628337856547481,0.000830683645899536,0.00177946128974304,0.00366896258529911,0,0.000543287681211796,0,0.000699520561819257,0,0,0,0,0
"Glut-Arco-4",0.516696523251561,0,0.00634137627983469,0,0,0.000891403591906324,0,0.000392928396571131,0.00198388393605107,0,0,0,0
"Glut-Arco-5",0.652610813738986,0.00161742323947373,0.00121922516418257,0,0,0.00554597069596447,0,0,0,0,0,0,0
"Glut-HVC-1",0,0.347449184454904,0.00539967945608268,0.0144448875974324,0.00275994109207524,0,0.000426842132809588,0.0109181364334049,0,0.000456836875436189,0.0210980928726278,0,0
"Glut-HVC-1a",0,0.187201306294912,0.0644413720238514,0.00466656054321798,0.00119407201623873,0,0.000304237626473554,0,0,0,0.0949049019853481,0,0
"Glut-HVC-2",0.00500138830403226,0.166366555927538,0,0.00136093763877318,0.0510262270107321,0,0.00289804746164045,0.00411376212223134,0,0.0798421349551703,0,0.000683467779576477,0
"Glut-LMAN-1",0,0.0539178615763033,0.101649352507606,0.00619247607712287,0.0812565976000185,0,0,0,0,0,0.0723009304784045,0,0.00205055644121811
"Glut-LMAN-2",0,0.000909564675491494,0,0,0.481683565142057,0,0,0,0,0,0,0.00771066219943172,0
"Glut-NC-1",0,0.0126665584866315,0.21047074655485,0.000322236950928131,0.00109488856201412,0.0060105536174986,0.000364112489879054,0.000414280051037338,0,0.000408404065509767,0.193472567329151,0,0.000593484337184624
"Glut-NC-2",0,0.0257642463285115,0.232775710620852,0.000604961212636733,0,0,0,0,0,0,0.115934572148115,0,0
"Glut-NC-3",0,0.000607563214646834,0.00354025043829317,0,0.123850117450487,0.412488401687699,0.000413186967984687,0,0,0,0,0,0
"Glut-NC-4",0.000981037186374907,0.0255486076509692,0.0102739532722092,0.00253041684216874,0.122882357189868,0.0896701854883138,0.041718443722922,0,0,0.0257921752293149,0.0228327228534574,0,0
"Glut-NR-1",0,0.0138350347597822,0.257747839646557,0,0,0,0,0,0,0,0.0832105101512298,0,0.000320540112344112
"Glut-NR-2",0,0.00215784221969512,0,0.000350275240343666,0.428746908385082,0.00557496847423653,0.000303950526850467,0.000407088961911233,0,0.000635167670454748,0,0.0453003690576304,0
"Glut-NR-3",0,0.075943917522461,0.143508182406339,0.000552375464403164,0.0354074111173558,0.000280827983828882,0,0,0,0,0.104700839483125,0,0.000246257933034984
"Glut-NR-4",0,0,0.00028526391944664,0.000375023672937848,0.573102234611684,0.00131927708388794,0,0,0,0,0,0.00390727231479111,0
"Glut-NR-5",0,0.326328333428871,0,0.120396392851859,0.000987659893399208,0,0,0.0988925042504631,0,0,0,0,0
"Glut-RA",0.759366168605615,0.000383515548070336,0,0.000754321740562483,0,0,0,0,0,0,0,0,0
