"","Glut-NC-1","Glut-NC-2","Glut-NC-3","Glut-NR-2","Glut-Arco-3","Glut-Arco-2","Glut-NR-3","Glut-Arco-5","Glut-NC-4","Glut-NR-5","Glut-HVC-2","Glut-Arco-1","Glut-NR-1","Glut-HVC-1a","Glut-Arco-4","Glut-NR-4","Glut-LMAN-1","Glut-LMAN-2","Glut-HVC-1"
"Ex_BCL6",0.0587385668799074,0.00786493677111559,0.272686846368452,0.0170669873856325,0.00030994766968277,0.0436142971352615,0.000993029493258542,0.0157286495151311,0.00131503838646966,0.0457618443764157,0.00102145875222497,0,0,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0,0.00209321249439475,0,0,0,0.762776228587071,0,0.00364073703754364,0,0,0,0.00180664912503239,0.00129179220971717,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.00182505397672172,0.000850357020599169,0,0,0.000617862254272358,0.618262467887942,0,0.0395363842915452,0,0.0106027001222354,0.000998869867089541,0.00500283286231956,0,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.00529207770744883,0,0.000740592008276825,0,0,0.255431971957787,0,0.251041391367413,0,0.00104268553202307,0,0.0838681911762613,0,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0875976880025354,0.00271554811605202,0.0283473809957386,0.00076347110606771,0,0.260183776404406,0.00369861992704573,0.0281608457830622,0.00311225600529264,0.0099506036215664,0,0.0227182820423747,0.00120051876566382,0.000388286928840009,0.000885676833935246,0.00275591957619047,0,0,0
"Ex_CACNA1H_PROX1",0.0253893786014934,0.00269774455622898,0.0137902672874264,0,0,0.49188692633132,0,0.0509537878582622,0,0.00602196829515653,0,0,0.00110143844542221,0,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0.224380535188679,0.0223673667637194,0.0257813345877055,0.00500305611157105,0,0,0.0149353457202914,0,0.00701907590148566,0.00389096706915672,0,0,0.0286354573669045,0.00132679304682006,0.00147807903238222,0.0229230935896744,0.0115064945389564,0,0
"Ex_DACH2_CEMIP",0.0101324225217288,0.00223514929597483,0.314626598160133,0.0742812576758881,0.000304561101028211,0.000664306938543956,0.000346607418345776,0,0.00241901564953541,0,0,0.000636747833194683,0,0,0.000955161442181031,0.094090856100162,0,0.000795845666470356,0
"Ex_DACH2_GRIK4",0.455554535133428,0.0185421162068198,0.00151509944624738,0.000351811646219342,0,0.0020176060104475,0.0139300886953584,0.00723642973218722,0.000288389694726795,0.00997778161739927,0,0,0.0068889367568504,0.00514725539169136,0,0.000296865628527678,0,0,0.000271439619528053
"Ex_DACH2_ITGA9",0.131588933784952,0.00586762538599067,0.133111025750569,0.0142417708318304,0.000514411046322178,0.000547876916635169,0.012829237205505,0,0.0417866316584396,0.0126543925079981,0,0.00213548118156966,0,0.000375685651225356,0,0.0639118604960694,0,0.000291435974722034,0
"Ex_DACH2_LHX2",0.445247123141897,0.027600688980158,0.00609968978368796,0,0,0.00248338664088876,0.000631682819310736,0.00397788311125962,0,0.00203105660501724,0,0,0.0089080400383435,0,0.000472544693467476,0,0,0,0
"Ex_DACH2_LUZP2",0.37927623496482,0.0242740599091924,0.0117522098015345,0,0.000288926022112728,0.0176003361784196,0,0.0635761339181579,0,0.00313246099469838,0,0,0,0.000305022826331373,0.000315698936905859,0,0,0,0
"Ex_DACH2_MGAT4C",0.476094396008656,0.0229078798302718,0.00382697235213069,0.000302440899761909,0,0,0.0118078192754102,0.00102743484812751,0.00104711495142444,0.0034950562794288,0.000260822377050405,0,0.00371607585418415,0.00217735638382033,0,0.00136268440519539,0,0,0
"Ex_DACH2_NR4A3",0.52714615211196,0.00970249309357017,0.0059873771279644,0.00180263196240285,0,0,0.00633116102450926,0.0017914115683437,0.00716972310607834,0.00341590994318521,0,0.000224951853704182,0.00673328798179445,0.000400506690082964,0,0.00177371295855106,0.00224451804750577,0,0
"Ex_DACH2_RORB",0.00032187597924462,0.0158339303757471,0.432981757557673,0,0.00113533912957348,0,0,0,0,0.0162285138743453,0,0,0.000778435314915454,0,0.000558287639809082,0.0279570535438408,0,0,0
"Ex_DACH2_SLIT2",0.0881850135965705,0.00524781368705545,0.474899555591027,0.00145245292806199,0,0.00402305739990158,0,0.0420948410314681,0.00441002574852797,0.00175830474069831,0,0,0,0,0.000635272642770176,0.000304812869014952,0,0,0
"Ex_DACH2_TAC1",0.00959488070381982,0.00042721079756084,0.253859561518936,0.0103151566809496,0,0,0.000699438502372696,0,0.000476263621530646,0.0321536134658785,0,0,0,0,0.00133204010219055,0.180242698903898,0,0,0
"Ex_DACH2_ZMAT4",0.00569114471232565,0.00147216921795218,0.217403057504556,0.00921095972518906,0.00043008664157056,0,0.000343839340320348,0,0.00401521637561076,0.000936719874761245,0,0,0,0,0,0.277124489178073,0.000514086127697802,0,0
"Ex_KIAA1217",0,0,0,0,0,0.0042864056705133,0,0,0.0032919915232201,0.764633893398512,0.00090897810703821,0,0,0,0,0,0,0,0
"Ex_KIAA1217_BCL6",0.00356464478903454,0.00112628523361882,0,0.00238115005061423,0,0.0398360541959133,0,0.00345901498954119,0.0358653266997179,0.463511875452055,0.0108535974896224,0.00705161713864516,0,0,0,0.00392767974544275,0,0,0
"Ex_Pre_KCNH7",0.0535059498253037,0.0872057512494728,0.0147365107066693,0.000800056022545762,0.00175721518471691,0.0232562250911708,0.000197086359864842,0.00881545723283404,0,0.15356194958502,0,0,0.00860772764700042,0.000787838495011855,0.0148665837321352,0.00508714173801348,0,0.000293108570956547,0
"Ex_Pre_SATB2",0.0207245850028985,0.0214972867535312,0.00630885579713999,0,0.000753396392728074,0.0262599419545732,0,0.00352660299090629,0,0.480263589835182,0,0,0.00192760523643148,0,0.00783610915850736,0,0,0,0
"Ex_SATB2_FOXP2",0.00198891802962553,0.00290077599380395,0,0,0,0.000446814945156379,0,0,0.00297217725324776,0.819736420694346,0,0,0,0,0.000388715884703217,0,0,0,0
"Ex_SATB2_OVOA",0.228921013477742,0.00894695678260523,0.00356022491817535,0.000228547395934729,0.000845070842330371,0.00213802506217523,0.00638044928560244,0.00191872710865001,0.00150592480808502,0.217326581740995,0,0,0.00321692295787234,0.00026321982582183,0.00658573101005394,0.00142922936555811,0.00106849637300442,0,0
"Ex_SATB2_SOX6",0.00395435201405497,0.000285516821437859,0.000316614068761239,0,0.000230869707559648,0,0,0,0.00124929439472767,0.862184673732671,0,0,0,0,0.00288937015721119,0,0,0,0
"Ex_SATB2_ZNF385B",0.000505248083051245,0,0,0,0,0,0,0,0,0.94959415042645,0,0,0,0,0,0,0,0,0
"Ex_TSHZ2_NR4A2",0.00352708131062946,0,0,0,0.00871318161869994,0.0884919558673056,0,0.00524974562307587,0.00417535327169549,0.0333116674986575,0,0.363864038719104,0,0,0,0,0,0,0
