"","Glut-Arco-1","Glut-NC-1","Glut-NC-3","Glut-NC-4","Glut-NR-4","Glut-Arco-2","Glut-NR-5","Glut-NR-2","Glut-Arco-5","Glut-HVC-1a","Glut-NC-2","Glut-NR-3","Glut-LMAN-2"
"Ex_BCL6",0.00187694032903185,0.0373990399955448,0.210757612691909,0.000441233322989135,0.000439429704448793,0.0139167225056064,0.158277797682712,0.00201971351573722,0.0107057582415429,0,0,0,0
"Ex_CACNA1H_CPA6",0.0385341841208074,0,0,0,0,0.407504950118458,0.0799585401528823,0,0.00752392831895275,0,0,0,0
"Ex_CACNA1H_KIT",0.0139706713440043,0,0,0,0,0.419228433100684,0.0650577396313673,0,0.0485852848986558,0,0,0,0
"Ex_CACNA1H_LHX9",0.0938227033988068,0.00612848347632983,0,0,0,0.203242700475828,0.0219544497351484,0,0.211518567295738,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0438556007206467,0.0581589164128825,0.0360250356975752,0.00298985395292471,0.00128945716689531,0.166646886009418,0.0702671913895054,0,0.0180819263019822,0.000466029236069613,0.000404214922561054,0,0
"Ex_CACNA1H_PROX1",0.00123919265436089,0.0303749645725689,0.000652786858989894,0,0,0.305780163528864,0.0739514519187095,0,0.0455880705370047,0,0,0,0
"Ex_DACH2_ADAMTS5",0,0.295224609870588,0.0512608412431609,0.00588243842385568,0.0146975459775876,0,0.0302540407795826,0.000500031867241278,0,0,0.00023504776181817,0.000972458822279836,0
"Ex_DACH2_CEMIP",0.000855949369670905,0.00922317755052697,0.3678879437745,0.00136678134538762,0.0636187206250478,0,0.0126194815373359,0.016312478085437,0.000390584315125428,0,0,0.00032206936887709,0.000773212433567992
"Ex_DACH2_GRIK4",0.0010715107805814,0.410246147511293,0.00310517687505462,0.000526940451179942,0.000714866048181565,0.00106392338889893,0.0603565474347003,0,0.00279673385263471,0.000938006737239556,0,0.000247729573933575,0
"Ex_DACH2_ITGA9",0.00604028016037147,0.120764412796518,0.146661127438033,0.0244122457029303,0.0249569039029171,0,0.0601866654422409,0.00189898726056962,0.000354513122335472,0,0,0,0.000319875531427872
"Ex_DACH2_LHX2",0,0.464698221558503,0.00608177548592695,0,0,0.00066480796206547,0.0330634837483664,0,0.000245490086253575,0,0,0,0
"Ex_DACH2_LUZP2",0,0.358566745674589,0.00524066944616174,0,0,0.00973302998191074,0.0562375675142213,0,0.0440092954927293,0,0,0,0
"Ex_DACH2_MGAT4C",0.000344877198707524,0.469339003868767,0.00268396248127628,0.000359224386708663,0.00100733724400259,0,0.0433835395202591,0,0.00092512167188693,0,0,0,0
"Ex_DACH2_NR4A3",0.000942063805185737,0.555532220023487,0.0067654993319693,0.00276686612515813,0.00169002839522437,0.000485517575210606,0.0180674842531684,0,0.000441405865046787,0,0,0,0
"Ex_DACH2_RORB",0.00037266938728078,0,0.18583986715679,0,0.0471759171064461,0,0.178519315420562,0,0,0,0,0,0.00257159957192694
"Ex_DACH2_SLIT2",0,0.0968016590400502,0.377168630808493,0.00409777679913397,0,0.00452669992789507,0.0120906557322946,0,0.022542904574399,0,0,0,0
"Ex_DACH2_TAC1",0,0.00385922180635839,0.261118340815497,0.000461646868067025,0.0670460662127531,0,0.113453104173819,0.000660009338900387,0,0,0,0,0
"Ex_DACH2_ZMAT4",0,0.00368884221587497,0.269111726319953,0.0023490144851549,0.168771868210574,0,0.017330261811791,0.00071045842088173,0,0,0,0,0
"Ex_KIAA1217",0.000410429516339182,0,0,0.00080657935438388,0,0.000562689843013342,0.802162754769715,0,0,0,0,0,0
"Ex_KIAA1217_BCL6",0.0123787054847498,0.00312813904227878,0,0.016543059699165,0.00158495628001953,0.00990167307451309,0.570764269905747,0.000839970889990848,0.00531071078160353,0,0,0,0
"Ex_Pre_KCNH7",0,0.023157436586086,0.00588428541952524,0,0,0.000900784008890859,0.437685475705491,0,0.00197076356921216,0,0,0,0
"Ex_Pre_SATB2",0,0.000842300183904408,0.00116175557358153,0,0,0.00277446835235419,0.633795154923058,0,0.00331235886697946,0,0,0,0
"Ex_SATB2_FOXP2",0.000413697342713023,0.00128844126833215,0,0,0,0,0.82463901227316,0,0,0,0,0,0
"Ex_SATB2_OVOA",0.000305195638859152,0.194147053171552,0.00329507728499577,0.00113185934163882,0.000387477887876686,0,0.321419384317641,0,0.000833622644656013,0,0,0,0
"Ex_SATB2_SOX6",0,0.00307770530956688,0,0,0,0,0.858187311282316,0,0.00050998866549362,0,0,0,0
"Ex_SATB2_ZNF385B",0,0,0,0,0,0,0.938805199662469,0,0,0,0,0,0
"Ex_TSHZ2_NR4A2",0.399142802626072,0.00362502106567602,0,0,0,0.0205311057536615,0.0955237916324859,0,0.00602587352064357,0,0,0,0
