"","Glut-NR-5","Glut-Arco-2","Glut-NC-3","Glut-NR-2","Glut-NC-1","Glut-Arco-1","Glut-Arco-5","Glut-NC-4","Glut-NR-4","Glut-HVC-1a","Glut-NR-3"
"Ex_BCL6",0.210388963813511,0.0152236771629856,0.0351425545282009,0.00123867492961606,0.0512329154329305,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.1226541510046,0.272461488527073,0,0,0.00182062139509092,0.00195514776042862,0,0,0,0,0
"Ex_CACNA1H_KIT",0.118001784590983,0.267379092694057,0.0014043827191512,0,0.000727399535414757,0.000935183498674383,0.00123581713535197,0,0,0,0
"Ex_CACNA1H_LHX9",0.0734319411851577,0.215318682531565,0.00482056011345012,0,0.00955964511458527,0.0305344774032896,0.00959816444091641,0,0,0,0
"Ex_CACNA1H_MCTP2",0.133616417015347,0.0888195182096439,0.0254202420696613,0.000379526096616696,0.0503360945470557,0.000470961836580728,0,0.00048758778925717,0,0,0
"Ex_CACNA1H_PROX1",0.099504006246263,0.208900155984702,0.00254586142326457,0,0.0355266573974563,0.000637044370012423,0.000601177722801032,0,0,0,0
"Ex_DACH2_ADAMTS5",0.0124604806681356,0,0.0338459336251201,0.0164699074525856,0.268310155238999,0,0,0.000274838371662384,0.000187356805968286,0,0
"Ex_DACH2_CEMIP",0.0124580305151209,0.00258619094000366,0.156521930974745,0.0910805036697946,0.0305284896987943,0,0,0,0.00365513893657593,0,0
"Ex_DACH2_GRIK4",0.0561203022234901,0.000655148306172202,0.00617283412375386,0,0.318725729024885,0,0.000292037904413169,0,0,0.000299725507793062,0
"Ex_DACH2_ITGA9",0.0640716315685208,0,0.0803633423812238,0.0236740215461548,0.115830940128605,0,0,0.002249236843708,0.0014147596777143,0,0.000386198587872292
"Ex_DACH2_LHX2",0.0252213825371735,0.000718580860796222,0.0198742916246216,0,0.318916414859818,0,0,0,0,0,0
"Ex_DACH2_LUZP2",0.0357420349475049,0.023425129852629,0.0164131833115014,0,0.243396428169666,0,0,0,0,0,0
"Ex_DACH2_MGAT4C",0.0243289915422234,0.00038296875600003,0.0140634446158443,0.000234442955889011,0.339630200176164,0,0,0,0.000197330629476999,0,0
"Ex_DACH2_NR4A3",0.00359511300476763,0.000365544303451833,0.0130482523710054,0.00399705464150679,0.445525452572201,0,0,0.000535367741505959,0,0,0
"Ex_DACH2_RORB",0.318789992062977,0,0.0285998876200216,0.00286760000167096,0.00145654169618655,0,0,0,0,0,0
"Ex_DACH2_SLIT2",0.0191508523035415,0.0100497142640596,0.151124698705382,0.010430849472476,0.115444976664266,0,0,0,0,0,0
"Ex_DACH2_TAC1",0.18868620836075,0,0.0812775969863164,0.027212230694619,0.00512676712086633,0,0,0,0.00205015008287226,0,0
"Ex_DACH2_ZMAT4",0.0279218718128781,0,0.137185896833589,0.109974713630685,0.0135670674408503,0,0,0.000274370624228938,0.00593431585532925,0,0
"Ex_KIAA1217",0.570435185460278,0.000409430998210147,0.00151633770414251,0,0,0,0,0,0,0,0
"Ex_KIAA1217_BCL6",0.444681577960275,0.00683934858264125,0.00357601514245543,0.000822681178265581,0.00193458902878394,0,0,0.00247617713674128,0,0,0
"Ex_Pre_KCNH7",0.23304681254031,0.00144419574704992,0.00161775028149714,0,0.0376141327421056,0,0,0,0,0,0
"Ex_Pre_SATB2",0.377756478257892,0.00238323388247301,0,0,0.00496702048793658,0,0,0,0,0,0
"Ex_SATB2_FOXP2",0.591593872261417,0,0,0,0.00195835831613344,0,0,0,0,0,0
"Ex_SATB2_OVOA",0.272071532085014,0,0.0118706524864067,0.000517227722207557,0.112235838116303,0,0,0,0,0,0
"Ex_SATB2_SOX6",0.596545556674164,0,0.00145056636366168,0,0.00181468536222265,0,0,0,0,0,0
"Ex_SATB2_ZNF385B",0.661406941021608,0,0,0,0,0,0,0,0,0,0
"Ex_TSHZ2_NR4A2",0.174468037022318,0.0404192182953832,0.0127647647411323,0,0.00731420129753336,0.0528614999152027,0,0.00256018815130204,0,0,0
