"","Glut-Arco-1","Glut-NR-3","Glut-NC-4","Glut-Arco-4","Glut-Arco-2","Glut-NC-2","Glut-Arco-3","Glut-HVC-1a","Glut-NR-1","Glut-NC-3","Glut-HVC-2","Glut-Arco-5","Glut-NR-2","Glut-NR-5","Glut-NC-1","Glut-NR-4","Glut-LMAN-1","Glut-LMAN-2","Glut-HVC-1"
"Ex_BCL6",0.00251937841404502,0.00201811830907963,0.00234910385611155,0.000540030265035357,0.047198304301955,0.00588552427816127,0.00122266066908025,0.0013814467738311,0.000362110758650576,0.281993452023006,0.0021967777737415,0.0249867751676405,0.0429285653945524,0.0432605419978684,0.0456608439500522,0,0,0,0
"Ex_CACNA1H_CPA6",0.00831012020429682,0,0,0,0.818579477240571,0.00103778376151432,0.000923379291348267,0,0.000942917583860431,0,0,0,0,0.00377647879238032,0,0,0,0,0
"Ex_CACNA1H_KIT",0.0118333913304055,0,0,0.000706213125694246,0.655017625680254,0.00109286440157517,0,0,0,0,0.00273385904312186,0.0524184009107844,0,0.00593494562543993,0.00330798849142071,0,0,0,0
"Ex_CACNA1H_LHX9",0.103597308540271,0,0,0,0.226564698206136,0,0.0009993414771373,0.000640288897672002,0,0.00112909348472754,0,0.347856840373523,0,0.00232290089930345,0.00580523308426538,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0353616793060096,0.0048249184160179,0.00401294182002973,0.00117976104440913,0.294994782517706,0.00333755291838511,0,0.00224886150978865,0.00823244508186665,0.0283471474607538,0,0.0347127740119017,0.00156663879902833,0.0132565070934573,0.0635153815400516,0.00571704697511139,0.000505134270603138,0,0
"Ex_CACNA1H_PROX1",0.002205982198863,0,0,0.00216713437369325,0.530218894558425,0.00496838660722107,0,0.000303826393461752,0.00200974686365339,0.0159864590954164,0,0.0709675607308289,0,0.00638340750108521,0.025388184705597,0,0,0,0
"Ex_DACH2_ADAMTS5",0,0.0504038137198579,0.00679571825398502,0.00327649556845546,0,0.0262663503715468,0,0.00191039704020289,0.107453521842349,0.0212869787932462,0,0,0.00440922232268195,0.00360747969221159,0.129142895667304,0.0162837742594303,0.0202402182431355,0,0
"Ex_DACH2_CEMIP",0.000878980183500483,0.00236559315456895,0.00500889282335822,0.0017895885231284,0.00129268825710093,0.00048880417223532,0,0.000462093256079793,0.000442215620188105,0.253038337828533,0,0,0.191325633285173,0,0.00445550074912159,0.0907555753199639,0,0.000985079808306545,0
"Ex_DACH2_GRIK4",0.000452850679186286,0.0509655233780976,0,0,0.00120537959309584,0.0289880230611577,0,0.00788211163502689,0.0236807634857531,0.000910013205961873,0,0.00950358229305877,0.000371383482167482,0.0125983829895611,0.39917650427398,0.000300001253942021,0.00107375683273838,0,0.000458848846047271
"Ex_DACH2_ITGA9",0.00207658658703235,0.035755963094731,0.0681346629733159,0.0024806067017812,0.000679517616515591,0.00504315527722869,0.000254995618121197,0.00267930473182117,0.000625126031613786,0.136821283841271,0,0.000696826312328701,0.0215506241450752,0.0156471290149734,0.103975427048571,0.0567747737351469,0.000780403018472222,0,0
"Ex_DACH2_LHX2",0.000355475250839749,0.00510639676361033,0,0.00272552972084763,0.00262759548046229,0.0493782387608373,0,0.00176193411865764,0.0832608998912056,0.00915456494457046,0,0.00655861349759314,0,0.002590661037851,0.335630126812983,0,0,0,0
