"","Glut-Arco-1","Glut-NR-2","Glut-Arco-5","Glut-NR-5","Glut-Arco-2","Glut-NC-1","Glut-NC-4","Glut-NC-3","Glut-NC-2","Glut-Arco-3","Glut-HVC-1","Glut-NR-1","Glut-HVC-1a","Glut-NR-4","Glut-NR-3","Glut-LMAN-1","Glut-Arco-4","Glut-LMAN-2","Glut-HVC-2"
"Ex_BCL6",0.0046754701618603,0.00829095583015244,0.0312224822721395,0.119179216317942,0.0180953431668778,0.0251200011300104,0.00145101850079274,0.288257107083476,0.00032481620145521,0,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.0646963596419944,0,0.00874570417360996,0.031613923939822,0.524290697802281,0,0,0,0,0.000835652697167809,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.0243944064597699,0,0.0587762641430619,0.0312896722523706,0.514096621464084,0.000877543060540694,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.120201064417747,0,0.345383586329324,0.011018395873896,0.154524190438311,0.00362483710848227,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0568052053027392,0.00108809863389028,0.0452878578617107,0.038824262596441,0.209988311235887,0.0518736926960203,0.00225594362769178,0.0310380630625093,0.000997706160254778,0.000455902334355213,0.000471866310978194,0.00129002059731214,0.0042343304640141,0.00691147736102915,0.00165566098144465,0,0,0,0
"Ex_CACNA1H_PROX1",0.0032491238622195,0,0.110881642703412,0.0251475740152333,0.380551606849525,0.0166588827666064,0,0.00914289928445665,0.000367314911308721,0,0,0,0,0,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0,0.00459398418596808,0,0.0172309138060083,0,0.208004076283681,0.00742748706474987,0.0493061108731541,0.00529508156050411,0,0,0.0386800973097733,0.000268915497289575,0.0289032527745508,0.019773996904248,0.00307906284684111,0.000362314861842358,0,0
"Ex_DACH2_CEMIP",0.000930562758657345,0.0833710379874931,0.000756094669140794,0.00478835504231907,0,0.00650751622624199,0.00399711259243242,0.349916384006809,0,0,0,0,0,0.0878754015450467,0.000366562564993758,0,0,0.000932315905673461,0
"Ex_DACH2_GRIK4",0.00155101819807744,0.000336924139481981,0.012378134131825,0.0382451152947546,0.00127141067887173,0.37213834322479,0.000286991163065755,0.00109781147444599,0.00275440529791011,0,0.000392198776924386,0.0109546170171251,0.00492604344874026,0.00080066029889053,0.019067102650086,0,0,0,0
"Ex_DACH2_ITGA9",0.00709329333746285,0.0127432146622119,0.00136190457997007,0.0392754095131519,0,0.102927787489301,0.0468609982829889,0.151533912361282,0,0.000226679777648912,0,0.00028659319263866,0.000573489985300788,0.052823103867043,0.00907752741573069,0,0,0,0
