"","Glut-Arco-1","Glut-NC-3","Glut-NR-5","Glut-Arco-2","Glut-Arco-5","Glut-NC-1","Glut-NC-4"
"Ex_BCL6",0.000326216481350674,0.00673743216844016,0.353485512542688,0,0,0,0
"Ex_CACNA1H_CPA6",0.00594174829931705,0,0.286858977954292,0.048243757397799,0,0,0
"Ex_CACNA1H_KIT",0.00125611022125581,0,0.284598156880019,0.0425802259034953,0.00204678378292812,0,0
"Ex_CACNA1H_LHX9",0.0348812736591657,0.000499638218783232,0.19463367876968,0.0519268329681857,0.00580406347401011,0,0
"Ex_CACNA1H_MCTP2",0.00266697320053391,0.00489631359473358,0.322155306032561,0.00504182082010041,0,0.000599102708552966,0
"Ex_CACNA1H_PROX1",0.00170654752535312,0.000587546466378634,0.289872141090087,0.0342140711677412,0.000894187289706796,0.000357765371166323,0
"Ex_DACH2_ADAMTS5",0,0.0198444129868151,0.295170406954861,0,0,0.0198275618606424,0
"Ex_DACH2_CEMIP",0,0.0599407330737707,0.247414209167045,0.000668928115717193,0,0.00183114354936384,0
"Ex_DACH2_GRIK4",0,0.0115491606561183,0.305848449191933,0,0,0.0208150275476435,0
"Ex_DACH2_ITGA9",0,0.0300143326507335,0.307904756928056,0,0,0.00226178603638737,0
"Ex_DACH2_LHX2",0,0.019936056381937,0.271800418675818,0.000246433119600555,0,0.0185311739531595,0
"Ex_DACH2_LUZP2",0,0.0192164540467015,0.265265565793083,0.00466236298737868,0.000188594588477774,0.0152607502196414,0
"Ex_DACH2_MGAT4C",0,0.0177591250859597,0.272284850718608,0,0,0.0340530110335394,0
"Ex_DACH2_NR4A3",0,0.0149584268706348,0.168046457503385,0.000185358736534721,0,0.136137732710777,0.000424821944290174
"Ex_DACH2_RORB",0,0.00286380276552535,0.439224704554715,0,0,0,0
"Ex_DACH2_SLIT2",0,0.0605417099718088,0.244840676685574,0.00202326124080392,0.000316047677273356,0.00130108205042023,0.000288177551392079
"Ex_DACH2_TAC1",0,0.00735811285961398,0.392642575811792,0,0,0,0
"Ex_DACH2_ZMAT4",0,0.0432528566218906,0.305620554858928,0,0,0.000744936210214693,0
"Ex_KIAA1217",0,0,0.477868513468125,0,0,0,0
"Ex_KIAA1217_BCL6",0,0,0.41401373729514,0,0,0,0.00102423415741
"Ex_Pre_KCNH7",0,0.000237808626075364,0.414045204800439,0,0,0,0
"Ex_Pre_SATB2",0,0,0.448488437470111,0,0,0,0
"Ex_SATB2_FOXP2",0,0,0.505113577637108,0,0,0,0
"Ex_SATB2_OVOA",0,0.00412518852143721,0.390940772349405,0,0,0.00261606296231712,0
"Ex_SATB2_SOX6",0,0.000226054155899519,0.505108157169859,0,0,0,0
"Ex_SATB2_ZNF385B",0,0,0.519905076795639,0,0,0,0
"Ex_TSHZ2_NR4A2",0.0474009289127268,0.00177325575346184,0.266589562829248,0,0,0,0
