"","Glut-Arco-1","Glut-NC-3","Glut-NR-3","Glut-Arco-5","Glut-NR-2","Glut-Arco-2","Glut-NR-5","Glut-NC-1","Glut-HVC-1a","Glut-NR-4","Glut-NC-2","Glut-NC-4","Glut-LMAN-1","Glut-NR-1","Glut-Arco-4","Glut-LMAN-2","Glut-HVC-1","Glut-Arco-3","Glut-HVC-2"
"Ex_BCL6",0.00488574209835954,0.309263911140721,0.000350272296237169,0.034670235075836,0.011551750674694,0.0351713378896164,0.0916550610481227,0.0284483013159139,0.00032467139775761,0.000336000079979059,0.000866972881031095,0.00283753349103024,0,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.0434222268192466,0,0,0.00505225472439969,0,0.641330185948726,0.0218265296531576,0,0,0,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.0203739115785253,0,0,0.0669805832443285,0,0.572397574148486,0.0255580262838894,0.00130560427925527,0,0,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.101216678830811,0,0,0.404523406390098,0,0.165524046618397,0.00568293436307932,0.00565452243606739,0,0,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.053633977493689,0.0274825317323441,0.00139723299845119,0.0598560709111407,0,0.247546382345721,0.0324709689735668,0.0596099608965013,0.00452198183390413,0.00497407091829076,0,0.0048831250266491,0.000614596303107483,0.00470134932515561,0,0,0,0,0
"Ex_CACNA1H_PROX1",0.00198733142009358,0.00740150233499776,0,0.150427816815344,0,0.420212071071437,0.0121077837964642,0.0204780271238207,0,0,0,0,0,0,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0,0.0452620379926735,0.0467477793598709,0,0.00537155927675307,0,0.0107835742985923,0.178234144099569,0,0.028231750239245,0.00383531929920695,0.00645347574407625,0.010330490655963,0.054572569128799,0.000496320532894618,0,0,0,0
"Ex_DACH2_CEMIP",0.000796250131500182,0.312609962882167,0.00106319668007644,0.00152901883685996,0.119060594355781,0,0.00249490033193553,0.00450700416242325,0,0.126633849224141,0.000628913450355825,0.00338484268169527,0,0,0,0.00161245337403328,0,0,0
"Ex_DACH2_GRIK4",0.000590768457778163,0.00136799333583934,0.0214327845711329,0.0157126285299977,0,0.00201335735204474,0.0241679638216052,0.399329120857919,0.00507570380839708,0.00114023314456172,0.00503098173517731,0.00122907934265867,0,0.0152653627204008,0.000258245477977648,0,0.000754646925626085,0,0
"Ex_DACH2_ITGA9",0.00463095467558948,0.158059309054232,0.0249438133083483,0.00151024487402184,0.0124398041042835,0.000676571499044104,0.0287712476171853,0.0957943183952511,0.000844197498733985,0.0721765337765822,0.00101465640333786,0.0534607207736578,0.000944208993989216,0,0,0,0,0.000305456009406465,0
"Ex_DACH2_LHX2",0,0.0142230972054064,0.00263872924945821,0.0101318003711263,0,0.00392422849727172,0.00938089826671956,0.387810033114691,0.000986232327497453,0,0.00650997807835956,0.000713966067253639,0,0.0453904351368741,0,0,0,0,0
"Ex_DACH2_LUZP2",0.00085364728733979,0.0126168686160975,0,0.144909302878273,0,0.00327485480113849,0.0165875483496255,0.34951932250082,0,0,0.000898602971137151,0,0,0.000672983153823411,0,0,0,0,0
"Ex_DACH2_MGAT4C",0,0.00449514701117232,0.0194374773361294,0.00290702989078464,0,0,0.0162393719139109,0.432783044418038,0.00285834876974098,0.00177771259944241,0.00440275245127316,0.00141243306092412,0.000676975170040137,0.0201151603198644,0,0,0,0,0.000308877688706205
"Ex_DACH2_NR4A3",0.000905918258612844,0.0114830871796123,0.0214113790480166,0.00197727250024033,0.00172227387275583,0,0.00698706714780353,0.501965446381718,0,0.0020080986311955,0.00179721231957474,0.00325976903025643,0.00146210068912345,0.0149937837686393,0,0,0,0,0
"Ex_DACH2_RORB",0,0.343120635488715,0,0,0,0,0.052995502903775,0,0,0.109987090025926,0.00253742673769016,0,0,0,0,0.00851522425479025,0,0,0
"Ex_DACH2_SLIT2",0.000540279377344874,0.492510331900699,0.00105011549181844,0.0722767724968494,0.00154214570273501,0.00238111973797506,0.00240843012565956,0.071602603153475,0.000868818262191163,0.002806218371056,0,0.0122902969639117,0,0,0,0,0,0,0
"Ex_DACH2_TAC1",0,0.300315063143395,0.00446516414062605,0,0.00730243784437793,0,0.0543824900581331,0.0027194177802907,0,0.182200263209395,0,0.00171694677105917,0.000351957491940417,0.000361101413499322,0,0.000590211302403859,0,0,0
"Ex_DACH2_ZMAT4",0.000256287613832251,0.299275600938055,0.0019302575931939,0,0.0113270490112814,0,0.00403925351982791,0.00280570105767336,0,0.275154639233015,0,0.00659010915313053,0.000290558335670486,0,0,0.000327473677090955,0,0.000213494185114231,0
"Ex_KIAA1217",0,0,0,0,0,0.00280011139047395,0.903953007385229,0,0,0,0,0,0,0,0,0,0,0,0
"Ex_KIAA1217_BCL6",0.0139172149833924,0,0,0.00674594512054117,0.00116572584293259,0.0319637805307774,0.61470229385205,0,0,0.00632380590798114,0,0.0128733601163249,0,0,0,0,0,0,0.00299136066260695
"Ex_Pre_KCNH7",0.000409195843922972,0.0193112572269117,0.00764314807657642,0.0262595799238472,0.00199215411254027,0.00704555614714851,0.298845441397258,0.0396648043081391,0,0.00185429625529275,0.00264992184442314,0,0,0,0.00696568456733892,0,0,0,0
"Ex_Pre_SATB2",0,0.00446604841639934,0,0.0147437614456227,0,0.00516227879341358,0.602229831204717,0.0119519682238981,0,0,0,0,0,0.000795759856671753,0.00321107998711393,0,0,0,0
"Ex_SATB2_FOXP2",0.000529805716392364,0,0,0.000460420426453995,0,0,0.931617260454404,0.00042606312338977,0,0,0,0,0,0,0,0,0,0,0
"Ex_SATB2_OVOA",0.000407075423986157,0.00479841257297819,0.0136337804351046,0.00408145280563127,0.000185896401009996,0.000842256033335502,0.341688804299081,0.148813492326733,0.0017558886020118,0.00127676019782333,0.000599619265164937,0.00288085223672015,0.000395282426183304,0.0146514440340342,0.000843076345706855,0,0,0,0
