"","Glut-Arco-1","Glut-NC-2","Glut-Arco-2","Glut-NR-5","Glut-HVC-1a","Glut-Arco-5","Glut-NC-1","Glut-Arco-4","Glut-LMAN-2","Glut-NR-1","Glut-NR-3","Glut-HVC-2","Glut-NR-2","Glut-HVC-1","Glut-NC-4","Glut-Arco-3","Glut-NC-3","Glut-NR-4","Glut-LMAN-1","Glut-RA"
"Ex_BCL6",0.00116870538529678,0.00559570494892152,0.0626900541951172,0.0294999323493842,0.0008871487884048,0.0314198633827202,0.039461440601767,0.000712288353071806,0.000390483851769178,0.00263698301159341,0.0030381909640883,0.0112505493637226,0.0799519860953241,0.00105283295004536,0.00621801990213029,0.00372160925718027,0.267619157993708,0,0,0
"Ex_CACNA1H_CPA6",0.0070812315360305,0.00243465194769374,0.865776952952711,0,0,0.00404648760658021,0,0,0,0.00120374620826874,0,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.0231163868939221,0,0.711231789971013,0.00294010580126055,0.000616848364699855,0.0462925491338267,0.00232146793509499,0.00103702349756638,0,0,0,0.00333085518627677,0,0,0,0.00091174114756777,0,0,0,0
"Ex_CACNA1H_LHX9",0.0930598842569385,0.00087437983304289,0.221802537277197,0,0.00109007183050186,0.433429845573501,0.0039698358171292,0,0,0,0,0,0,0,0,0.00113128049473284,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0279820022836262,0.00537243155962896,0.346478078400758,0.0108804575037606,0.00113297434229472,0.0560502111325266,0.0281773929292923,0.0011266465898551,0.000582975620203809,0.010685780702036,0.00677668175480931,0,0.00180655205263719,0,0.00430822841818225,0,0.0462605805682603,0.0125363743147981,0,0
"Ex_CACNA1H_PROX1",0.00115614689836338,0.0117953852236308,0.54144771409822,0.00382501085626651,0.0012939714957507,0.0974037147422536,0.0151232080419386,0.00246176342298207,0,0.000839458267430598,0,0,0,0,0,0,0.0135386312168447,0,0.000535379337572058,0
"Ex_DACH2_ADAMTS5",0,0.0311525345483522,0,0.00253586995313833,0.00429064477288901,0,0.0807351501469412,0.0066823826853603,0.00101821150122922,0.162949109695479,0.0807346685565499,0,0.00452091554776832,0,0.00450657850986489,0,0.0156338725829615,0.0176988975890772,0.0338028066724428,0
"Ex_DACH2_CEMIP",0.000646771640988177,0.000459000192520761,0.000760005973981321,0,0,0,0.00433142650607645,0.000831904278721634,0.00209655528895966,0,0.00183814010830131,0,0.31926921873492,0,0.00711345442603672,0,0.192830134815651,0.105008600249236,0.000670051100812959,0
"Ex_DACH2_GRIK4",0,0.0391922707799995,0.00147975208619485,0.0129872814509366,0.0133274104987977,0.0124985779756356,0.357575786328291,0,0.000408345927624457,0.0361614179838779,0.100263875453563,0,0.000325320050058662,0.00176226382433989,0.000787208372358638,0,0.00137097782671371,0.000486385185243902,0.00323456626392228,0
"Ex_DACH2_ITGA9",0.00369424555893364,0.00717331558898393,0.00186690562825061,0.00963698407768351,0.00728495375951373,0.00149414089702182,0.0811109389226178,0.0047668678401732,0,0.00216149479325337,0.0419356215268563,0.00274176377270433,0.0301234426365717,0,0.0997488987846937,0,0.128899009823562,0.0812717388739835,0.00280823362691025,0
"Ex_DACH2_LHX2",0,0.103395682768733,0.00488748349876397,0.00291188754287595,0.00489795646610287,0.00816146774329867,0.260501246282585,0.0026075470253042,0,0.113036076314711,0.00997218972115169,0,0.000447350733426613,0,0,0,0.0114641572903972,0,0.00184849527216938,0
