"","Glut-DACH2-LMANsh","Glut-DACH2-6","Glut-DACH2-LMANco","Glut-Im","Oligo-2","Glut-DACH2-HVCra-Pre","Glut-SATB2-1","Glut-DACH2-1","Glut-DACH2-8","Glut-DACH2-HVCra","Glut-DACH2-5","Glut-DACH2-2","Glut-CACNA1H-2","GABA-8","Glut-CACNA1H-1","Glut-NB","Glut-CACNA1H-3","Glut-CACNA1H-4","OPC","Glut-CACNA1H-RA","GABA-7","Glut-DACH2-3","Glut-DACH2-7","Glut-DACH2-4","Glut-DACH2-HVCx","GABA-2-1","Astro-3","Astro-1","GABA-4-1","Glut-GABA","GABA-Im","GABA-1-1","GABA-2-2","GABA-6","Glut-NSC","GABA-5-2","GABA-5-1","Oligo-1","GABA-3","GABA-4-2","Epen","GABA-1-2","GABA-2-3","Astro-2","Endo","Oligo-3","Micro"
"0001 CLA-EPd-CTX Car3 Glut_1",0.141227549810321,0.000932585194948872,0.00135880699517038,0.0128685522603161,0.000675473246124706,0.00716551847424585,0.00361185779483051,0.00089135134427839,0.0674448187447881,0.0569796764882946,0.018610923035779,0.00665603987009899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0002 CLA-EPd-CTX Car3 Glut_2",0,0,0,0.13401915395974,0,0.0157054237814151,0,0.0584321115953707,0,0.00431945938121738,0.0219380460331286,0.00423252186672167,0.0111972151088688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0003 IT EP-CLA Glut_1",0,0,0.0110150371953729,0.000617025857929149,0,0,0.253055533333625,0.00672035986967174,0,0.0058004187111861,0.00140304094425714,0.00478302945324328,0.0396503938633457,0.00422047731345485,0.0156823617703941,0.00320164237754152,0.0112510656730935,0.00677272462574695,0.00206497155580471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0004 IT EP-CLA Glut_2",0,0.00129149873309736,0,0,0,0,0.0251111800194215,0.00164763334782193,0,0.0047905340859119,0,0.00175254394382169,0.132873530919588,0,0.120952230114091,0,0.00507935322661196,0.0809118833534454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0005 IT EP-CLA Glut_3",0,0.207504748824228,0,0,0,0.000712465583091879,0.0022190998024829,0.00219330712452811,0,0,0,0.000918419382293446,0.0539060769405667,0,0.021151275707727,0,0,0.00909775570409319,0,0.00159341822252627,0.00070862683194074,0.07767288605856,0.00674314125892774,0.00116569834542554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0006 IT EP-CLA Glut_4",0.00150432473826726,0.00673021906133185,0.13941733462779,0,0,0.0208744611925646,0.0158755101376194,0.00163001403418687,0,0.0993756963181731,0,0.00148680077976312,0.0105284606717576,0,0.00630867437944464,0,0.00885566538395551,0.00701603148320684,0,0,0,0,0,0.0159968126360488,0.0404341024732729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0007 L5/6 IT TPE-ENT Glut_1",0,0.0768179575336109,0,0,0.000840541177894333,0,0,0,0.0316143860553119,0,0,0,0.00405016961941408,0,0,0,0.0152220474212687,0.0126355548470043,0,0,0,0,0,0.333995585607041,0.0020591856285734,0.00131897174665652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0008 L5/6 IT TPE-ENT Glut_2",0,0.00546613634556703,0,0,0,0.000943919871877559,0.0124514584449068,0.00451863056101152,0,0,0,0,0.0179853838786125,0,0.0240499976142244,0,0.0699817260329969,0.0526763384706652,0,0.00313223156895222,0,0.0011080311657028,0,0.211128471973904,0.00218183180754455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0009 L5/6 IT TPE-ENT Glut_3",0,0,0,0,0,0,0.245313924011215,0.0010735063337116,0,0.00161630504407828,0,0.00103253887240715,0.0369856012051307,0,0.0151417231207256,0,0.0070873305888081,0.0479511373731476,0,0,0,0,0,0.0163643666413692,0,0,0.0011447269208469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0010 L5/6 IT TPE-ENT Glut_4",0,0.0015357058863206,0,0,0,0,0.000879397170088174,0,0,0,0,0,0.0267029007716677,0,0,0,0.0162151038730326,0.387906733091999,0,0,0,0,0,0.0429633808008616,0.0119330024311776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
