,best_score,best_label,group
Glut-Arco-1,0.889184515819596,Ex_CACNA1H_LHX9,non-song
Glut-Arco-3,0.823935429581617,Ex_CACNA1H_LHX9,non-song
Glut-Arco-5,0.804778536333667,Ex_CACNA1H_LHX9,non-song
Glut-NR-4,0.768933579436154,Ex_DACH2_ZMAT4,non-song
Glut-Arco-2,0.75754759873265,Ex_CACNA1H_LHX9,non-song
Glut-NR-5,0.621017406091139,Ex_SATB2_SOX6,non-song
Glut-NC-3,0.593347974425173,Ex_DACH2_ZMAT4,non-song
Glut-Arco-4,0.572176414064908,Ex_CACNA1H_LHX9,non-song
Glut-NR-2,0.546882964008769,Ex_DACH2_CEMIP,non-song
Glut-LMAN-1,0.337945991169088,Ex_DACH2_LHX2,non-song
Glut-NR-3,0.332679939882791,Ex_DACH2_ADAMTS5,non-song
Glut-NC-4,0.313683150100756,Ex_DACH2_ZMAT4,non-song
Glut-NR-1,0.304057075498462,Ex_DACH2_ADAMTS5,non-song
Glut-NC-1,0.25837534049257,Ex_DACH2_ADAMTS5,non-song
Glut-NC-2,0.18093415095008,Ex_DACH2_MGAT4C,non-song
Glut-RA,0.967927875233528,Ex_CACNA1H_LHX9,song
Glut-HVC-1,0.254568033367638,Ex_BCL6,song
Glut-HVC-2,0.222241429235218,Ex_DACH2_CEMIP,song
Glut-HVC-1a,0.178669930062325,Ex_DACH2_GRIK4,song
Glut-LMAN-2,0.178174831496024,Ex_DACH2_ZMAT4,song
