,recip_score,best_label,fwd_only_score,fwd_only_label,group
Glut-NR-5,0.755214656757282,Ex_SATB2_SOX6,0.621017406091139,Ex_SATB2_SOX6,non-song
Glut-Arco-2,0.6324736754297575,Ex_CACNA1H_LHX9,0.75754759873265,Ex_CACNA1H_LHX9,non-song
Glut-NC-3,0.5524156956782905,Ex_DACH2_ZMAT4,0.593347974425173,Ex_DACH2_ZMAT4,non-song
Glut-NR-4,0.39052862932179133,Ex_DACH2_ZMAT4,0.768933579436154,Ex_DACH2_ZMAT4,non-song
Glut-NC-1,0.31579589177274053,Ex_DACH2_MGAT4C,0.25837534049257,Ex_DACH2_ADAMTS5,non-song
Glut-Arco-5,0.30386231649887885,Ex_CACNA1H_LHX9,0.804778536333667,Ex_CACNA1H_LHX9,non-song
Glut-Arco-1,0.2607191383475497,Ex_CACNA1H_LHX9,0.889184515819596,Ex_CACNA1H_LHX9,non-song
Glut-NR-3,0.18642735927986465,Ex_DACH2_ADAMTS5,0.332679939882791,Ex_DACH2_ADAMTS5,non-song
Glut-NR-1,0.16795712105288424,Ex_DACH2_ADAMTS5,0.304057075498462,Ex_DACH2_ADAMTS5,non-song
Glut-NC-2,0.11825209037342485,Ex_DACH2_LHX2,0.18093415095008,Ex_DACH2_MGAT4C,non-song
Glut-NC-4,0.02607779342244696,Ex_DACH2_ZMAT4,0.313683150100756,Ex_DACH2_ZMAT4,non-song
Glut-NR-2,0.017830769173057384,Ex_DACH2_CEMIP,0.546882964008769,Ex_DACH2_CEMIP,non-song
Glut-Arco-4,0.01462499423413016,Ex_Pre_KCNH7,0.572176414064908,Ex_CACNA1H_LHX9,non-song
Glut-LMAN-1,0.0021811773912057838,Ex_DACH2_ITGA9,0.337945991169088,Ex_DACH2_LHX2,non-song
Glut-Arco-3,0.0,Ex_BCL6,0.823935429581617,Ex_CACNA1H_LHX9,non-song
Glut-HVC-1,0.0860162305543148,Ex_BCL6,0.254568033367638,Ex_BCL6,song
Glut-HVC-2,0.0,Ex_BCL6,0.222241429235218,Ex_DACH2_CEMIP,song
Glut-LMAN-2,0.0,Ex_BCL6,0.178174831496024,Ex_DACH2_ZMAT4,song
Glut-RA,0.0,Ex_BCL6,0.967927875233528,Ex_CACNA1H_LHX9,song
