cluster,new_label
Glut-Arco-1,Glut-CACNA1H-1
Glut-Arco-2,Glut-CACNA1H-2
Glut-Arco-3,Glut-CACNA1H-3
Glut-Arco-5,Glut-CACNA1H-4
Glut-NC-1,Glut-DACH2-1
Glut-NC-2,Glut-DACH2-2
Glut-NC-3,Glut-DACH2-3
Glut-NC-4,Glut-DACH2-4
Glut-NR-1,Glut-DACH2-5
Glut-NR-2,Glut-DACH2-6
Glut-NR-3,Glut-DACH2-7
Glut-NR-4,Glut-DACH2-8
Glut-NR-5,Glut-SATB2-1
Glut-Nido-1,Glut-DACH2-1
Glut-HVC-1,Glut-DACH2-HVCra
Glut-HVC-1a,Glut-DACH2-HVCra-Pre
Glut-HVC-2,Glut-DACH2-HVCx
Glut-RA,Glut-CACNA1H-RA
Glut-LMAN-1,Glut-DACH2-LMANsh
Glut-LMAN-2,Glut-DACH2-LMANco
Glut-Pre-1,Glut-NSC
Glut-Pre-2,Glut-NB
Glut-Pre-3,Glut-Im
GABA-Pre,GABA-Im
Glut-Nido-2,Glut-GABA
Glut-Nido-3,NA
Glut-Arco-4,NA
GABA-6,GABA-MGE-LAMP5
GABA-7,GABA-MGE-ST18
GABA-8,GABA-MGE-LHX8
GABA-1-1,GABA-LGE-1-1
GABA-1-2,GABA-LGE-1-2
GABA-2-1,GABA-MGE-2-1
GABA-2-2,GABA-MGE-2-2
GABA-2-3,GABA-MGE-2-3
GABA-3,GABA-MGE-3
GABA-4-1,GABA-MGE-4-1
GABA-4-2,GABA-MGE-4-2
GABA-5-1,GABA-CGE-5-1
GABA-5-2,GABA-CGE-5-2
Astro-1,Astro-1
Astro-2,Astro-2
Astro-3,Astro-3
Oligo-1,Oligo-1
OPC,OPC
Oligo-2,Oligo-2
Epen,Epen
Oligo-3,Oligo-3
Micro,Micro
Endo,Endo
