region,soup_batch,soup_library,individual,celltype_hybrid,n
arco,batch1,arco_run1,bird1,Glut-CACNA1H-1,283
arco,batch1,arco_run1,bird1,Glut-CACNA1H-2,163
arco,batch1,arco_run1,bird1,Glut-CACNA1H-3,55
arco,batch1,arco_run1,bird1,Glut-CACNA1H-4,140
arco,batch1,arco_run1,bird1,Glut-CACNA1H-RA,6
arco,batch1,arco_run1,bird2,Glut-CACNA1H-1,362
arco,batch1,arco_run1,bird2,Glut-CACNA1H-2,486
arco,batch1,arco_run1,bird2,Glut-CACNA1H-3,258
arco,batch1,arco_run1,bird2,Glut-CACNA1H-4,26
arco,batch1,arco_run1,bird2,Glut-CACNA1H-RA,10
arco,batch1,arco_run1,bird3,Glut-CACNA1H-1,246
arco,batch1,arco_run1,bird3,Glut-CACNA1H-2,86
arco,batch1,arco_run1,bird3,Glut-CACNA1H-3,77
arco,batch1,arco_run1,bird3,Glut-CACNA1H-4,18
arco,batch1,arco_run1,bird3,Glut-CACNA1H-RA,6
arco,batch1,ra_run1,bird1,Glut-CACNA1H-1,103
arco,batch1,ra_run1,bird1,Glut-CACNA1H-2,45
arco,batch1,ra_run1,bird1,Glut-CACNA1H-3,3
arco,batch1,ra_run1,bird1,Glut-CACNA1H-4,73
arco,batch1,ra_run1,bird1,Glut-CACNA1H-RA,465
arco,batch1,ra_run1,bird2,Glut-CACNA1H-1,60
arco,batch1,ra_run1,bird2,Glut-CACNA1H-2,69
arco,batch1,ra_run1,bird2,Glut-CACNA1H-3,9
arco,batch1,ra_run1,bird2,Glut-CACNA1H-4,6
arco,batch1,ra_run1,bird2,Glut-CACNA1H-RA,313
arco,batch1,ra_run1,bird3,Glut-CACNA1H-1,114
arco,batch1,ra_run1,bird3,Glut-CACNA1H-2,8
arco,batch1,ra_run1,bird3,Glut-CACNA1H-3,4
arco,batch1,ra_run1,bird3,Glut-CACNA1H-4,4
arco,batch1,ra_run1,bird3,Glut-CACNA1H-RA,418
arco,batch2,lman_run1,bird6,Glut-CACNA1H-2,1
nido,batch1,arco_run1,bird1,Glut-DACH2-1,123
nido,batch1,arco_run1,bird1,Glut-DACH2-2,10
nido,batch1,arco_run1,bird1,Glut-DACH2-3,1
nido,batch1,arco_run1,bird1,Glut-DACH2-4,5
nido,batch1,arco_run1,bird1,Glut-DACH2-HVCra-Int,3
nido,batch1,arco_run1,bird1,Glut-Im,36
nido,batch1,arco_run1,bird1,Glut-NB,2
nido,batch1,arco_run1,bird2,Glut-DACH2-1,15
nido,batch1,arco_run1,bird2,Glut-DACH2-3,2
nido,batch1,arco_run1,bird2,Glut-Im,1
nido,batch1,arco_run1,bird3,Glut-DACH2-1,27
nido,batch1,arco_run1,bird3,Glut-DACH2-3,2
nido,batch1,arco_run1,bird3,Glut-Im,2
nido,batch1,arco_run1,bird3,Glut-NB,1
nido,batch1,hvc_run1,bird1,Glut-DACH2-1,170
nido,batch1,hvc_run1,bird1,Glut-DACH2-2,178
nido,batch1,hvc_run1,bird1,Glut-DACH2-3,13
nido,batch1,hvc_run1,bird1,Glut-DACH2-4,17
nido,batch1,hvc_run1,bird1,Glut-DACH2-5,15
nido,batch1,hvc_run1,bird1,Glut-DACH2-HVCra,1690
nido,batch1,hvc_run1,bird1,Glut-DACH2-HVCra-Int,264
nido,batch1,hvc_run1,bird1,Glut-DACH2-HVCx,163
nido,batch1,hvc_run1,bird1,Glut-Im,30
nido,batch1,hvc_run1,bird1,Glut-NB,191
nido,batch1,hvc_run1,bird2,Glut-DACH2-1,34
nido,batch1,hvc_run1,bird2,Glut-DACH2-2,94
nido,batch1,hvc_run1,bird2,Glut-DACH2-3,1
nido,batch1,hvc_run1,bird2,Glut-DACH2-4,14
nido,batch1,hvc_run1,bird2,Glut-DACH2-5,1
nido,batch1,hvc_run1,bird2,Glut-DACH2-7,4
nido,batch1,hvc_run1,bird2,Glut-DACH2-HVCra,594
nido,batch1,hvc_run1,bird2,Glut-DACH2-HVCra-Int,151
nido,batch1,hvc_run1,bird2,Glut-DACH2-HVCx,81
nido,batch1,hvc_run1,bird2,Glut-Im,10
nido,batch1,hvc_run1,bird2,Glut-NB,94
nido,batch1,hvc_run1,bird3,Glut-DACH2-1,121
nido,batch1,hvc_run1,bird3,Glut-DACH2-2,207
nido,batch1,hvc_run1,bird3,Glut-DACH2-3,5
nido,batch1,hvc_run1,bird3,Glut-DACH2-4,22
nido,batch1,hvc_run1,bird3,Glut-DACH2-5,3
nido,batch1,hvc_run1,bird3,Glut-DACH2-6,1
nido,batch1,hvc_run1,bird3,Glut-DACH2-7,1
nido,batch1,hvc_run1,bird3,Glut-DACH2-HVCra,733
nido,batch1,hvc_run1,bird3,Glut-DACH2-HVCra-Int,249
nido,batch1,hvc_run1,bird3,Glut-DACH2-HVCx,97
nido,batch1,hvc_run1,bird3,Glut-Im,31
nido,batch1,hvc_run1,bird3,Glut-NB,149
nido,batch1,nc_run1,bird1,Glut-DACH2-1,897
nido,batch1,nc_run1,bird1,Glut-DACH2-2,146
nido,batch1,nc_run1,bird1,Glut-DACH2-3,473
nido,batch1,nc_run1,bird1,Glut-DACH2-4,101
nido,batch1,nc_run1,bird1,Glut-DACH2-5,59
nido,batch1,nc_run1,bird1,Glut-DACH2-7,3
nido,batch1,nc_run1,bird1,Glut-DACH2-8,1
nido,batch1,nc_run1,bird1,Glut-DACH2-HVCra-Int,13
nido,batch1,nc_run1,bird1,Glut-DACH2-HVCx,1
nido,batch1,nc_run1,bird1,Glut-Im,180
nido,batch1,nc_run1,bird1,Glut-NB,56
nido,batch1,nc_run1,bird2,Glut-DACH2-1,289
nido,batch1,nc_run1,bird2,Glut-DACH2-2,124
nido,batch1,nc_run1,bird2,Glut-DACH2-3,114
nido,batch1,nc_run1,bird2,Glut-DACH2-4,34
nido,batch1,nc_run1,bird2,Glut-DACH2-5,35
nido,batch1,nc_run1,bird2,Glut-DACH2-7,2
nido,batch1,nc_run1,bird2,Glut-DACH2-HVCra-Int,5
nido,batch1,nc_run1,bird2,Glut-Im,58
nido,batch1,nc_run1,bird2,Glut-NB,36
nido,batch1,nc_run1,bird3,Glut-DACH2-1,660
nido,batch1,nc_run1,bird3,Glut-DACH2-2,195
nido,batch1,nc_run1,bird3,Glut-DACH2-3,110
nido,batch1,nc_run1,bird3,Glut-DACH2-4,66
nido,batch1,nc_run1,bird3,Glut-DACH2-5,36
nido,batch1,nc_run1,bird3,Glut-DACH2-7,2
nido,batch1,nc_run1,bird3,Glut-DACH2-8,1
nido,batch1,nc_run1,bird3,Glut-DACH2-HVCra-Int,5
nido,batch1,nc_run1,bird3,Glut-Im,81
nido,batch1,nc_run1,bird3,Glut-NB,26
nido,batch1,ra_run1,bird1,Glut-DACH2-1,9
nido,batch1,ra_run1,bird1,Glut-DACH2-2,1
nido,batch1,ra_run1,bird1,Glut-DACH2-3,1
nido,batch1,ra_run1,bird1,Glut-DACH2-4,1
nido,batch1,ra_run1,bird1,Glut-DACH2-HVCra-Int,2
nido,batch1,ra_run1,bird1,Glut-Im,2
nido,batch1,ra_run1,bird2,Glut-DACH2-2,3
nido,batch1,ra_run1,bird2,Glut-DACH2-3,1
nido,batch1,ra_run1,bird2,Glut-Im,1
nido,batch1,ra_run1,bird3,Glut-DACH2-2,1
nido,batch1,ra_run1,bird3,Glut-DACH2-3,1
nido,batch1,ra_run1,bird3,Glut-NB,1
nido,batch2,lman_run1,bird4,Glut-DACH2-1,23
nido,batch2,lman_run1,bird4,Glut-DACH2-5,33
nido,batch2,lman_run1,bird4,Glut-DACH2-6,120
nido,batch2,lman_run1,bird4,Glut-DACH2-7,14
nido,batch2,lman_run1,bird4,Glut-DACH2-8,174
nido,batch2,lman_run1,bird4,Glut-DACH2-LMANco,287
nido,batch2,lman_run1,bird4,Glut-DACH2-LMANsh,443
nido,batch2,lman_run1,bird4,Glut-Im,67
nido,batch2,lman_run1,bird4,Glut-NB,17
nido,batch2,lman_run1,bird5,Glut-DACH2-1,6
nido,batch2,lman_run1,bird5,Glut-DACH2-5,10
nido,batch2,lman_run1,bird5,Glut-DACH2-6,10
nido,batch2,lman_run1,bird5,Glut-DACH2-8,22
nido,batch2,lman_run1,bird5,Glut-DACH2-LMANco,127
nido,batch2,lman_run1,bird5,Glut-DACH2-LMANsh,183
nido,batch2,lman_run1,bird5,Glut-Im,29
nido,batch2,lman_run1,bird5,Glut-NB,2
nido,batch2,lman_run1,bird6,Glut-DACH2-1,20
nido,batch2,lman_run1,bird6,Glut-DACH2-4,1
nido,batch2,lman_run1,bird6,Glut-DACH2-5,36
nido,batch2,lman_run1,bird6,Glut-DACH2-6,64
nido,batch2,lman_run1,bird6,Glut-DACH2-7,11
nido,batch2,lman_run1,bird6,Glut-DACH2-8,154
nido,batch2,lman_run1,bird6,Glut-DACH2-LMANco,265
nido,batch2,lman_run1,bird6,Glut-DACH2-LMANsh,510
nido,batch2,lman_run1,bird6,Glut-Im,52
nido,batch2,lman_run1,bird6,Glut-NB,14
nido,batch2,nr_run1,bird4,Glut-DACH2-1,25
nido,batch2,nr_run1,bird4,Glut-DACH2-2,1
nido,batch2,nr_run1,bird4,Glut-DACH2-5,85
nido,batch2,nr_run1,bird4,Glut-DACH2-6,190
nido,batch2,nr_run1,bird4,Glut-DACH2-7,62
nido,batch2,nr_run1,bird4,Glut-DACH2-8,29
nido,batch2,nr_run1,bird4,Glut-DACH2-LMANsh,7
nido,batch2,nr_run1,bird4,Glut-Im,59
nido,batch2,nr_run1,bird4,Glut-NB,4
nido,batch2,nr_run1,bird5,Glut-DACH2-1,54
nido,batch2,nr_run1,bird5,Glut-DACH2-2,3
nido,batch2,nr_run1,bird5,Glut-DACH2-3,1
nido,batch2,nr_run1,bird5,Glut-DACH2-4,3
nido,batch2,nr_run1,bird5,Glut-DACH2-5,385
nido,batch2,nr_run1,bird5,Glut-DACH2-6,205
nido,batch2,nr_run1,bird5,Glut-DACH2-7,324
nido,batch2,nr_run1,bird5,Glut-DACH2-8,57
nido,batch2,nr_run1,bird5,Glut-DACH2-LMANsh,5
nido,batch2,nr_run1,bird5,Glut-Im,182
nido,batch2,nr_run1,bird5,Glut-NB,18
nido,batch2,nr_run1,bird6,Glut-DACH2-1,88
nido,batch2,nr_run1,bird6,Glut-DACH2-2,2
nido,batch2,nr_run1,bird6,Glut-DACH2-5,483
nido,batch2,nr_run1,bird6,Glut-DACH2-6,314
nido,batch2,nr_run1,bird6,Glut-DACH2-7,418
nido,batch2,nr_run1,bird6,Glut-DACH2-8,234
nido,batch2,nr_run1,bird6,Glut-DACH2-LMANco,5
nido,batch2,nr_run1,bird6,Glut-DACH2-LMANsh,24
nido,batch2,nr_run1,bird6,Glut-Im,279
nido,batch2,nr_run1,bird6,Glut-NB,12
