region,reduction,soup_batch,celltype_hybrid,n_cells,n_birds,bird_var_ratio
arco,dims10nn30mindist0.3,batch1,Glut-CACNA1H-1,1168,3,0.0934657716382229
arco,dims10nn30mindist0.3,batch1,Glut-CACNA1H-2,857,3,0.02213337716131014
arco,dims10nn30mindist0.3,batch1,Glut-CACNA1H-3,406,3,0.09377357288735011
arco,dims10nn30mindist0.3,batch1,Glut-CACNA1H-4,267,3,0.05091156546708753
arco,dims10nn30mindist0.3,batch1,Glut-CACNA1H-RA,1218,3,0.8081515078884542
arco,dims10nn30mindist0.4,batch1,Glut-CACNA1H-1,1168,3,0.09639711945259033
arco,dims10nn30mindist0.4,batch1,Glut-CACNA1H-2,857,3,0.02287668937714482
arco,dims10nn30mindist0.4,batch1,Glut-CACNA1H-3,406,3,0.09390817139489283
arco,dims10nn30mindist0.4,batch1,Glut-CACNA1H-4,267,3,0.041254200404494346
arco,dims10nn30mindist0.4,batch1,Glut-CACNA1H-RA,1218,3,0.8593263853118718
arco,dims10nn30mindist0.5,batch1,Glut-CACNA1H-1,1168,3,0.10158417562342315
arco,dims10nn30mindist0.5,batch1,Glut-CACNA1H-2,857,3,0.03136298051015374
arco,dims10nn30mindist0.5,batch1,Glut-CACNA1H-3,406,3,0.09915697623985331
arco,dims10nn30mindist0.5,batch1,Glut-CACNA1H-4,267,3,0.05278165435488136
arco,dims10nn30mindist0.5,batch1,Glut-CACNA1H-RA,1218,3,0.7155127686416283
arco,dims10nn40mindist0.3,batch1,Glut-CACNA1H-1,1168,3,0.12941426884081342
arco,dims10nn40mindist0.3,batch1,Glut-CACNA1H-2,857,3,0.028646932346371057
arco,dims10nn40mindist0.3,batch1,Glut-CACNA1H-3,406,3,0.09536069964050897
arco,dims10nn40mindist0.3,batch1,Glut-CACNA1H-4,267,3,0.04794259506246201
arco,dims10nn40mindist0.3,batch1,Glut-CACNA1H-RA,1218,3,0.9168968510366032
arco,dims10nn40mindist0.4,batch1,Glut-CACNA1H-1,1168,3,0.06682285356851803
arco,dims10nn40mindist0.4,batch1,Glut-CACNA1H-2,857,3,0.018506459700254774
arco,dims10nn40mindist0.4,batch1,Glut-CACNA1H-3,406,3,0.07701746491772432
arco,dims10nn40mindist0.4,batch1,Glut-CACNA1H-4,267,3,0.06877769401381251
arco,dims10nn40mindist0.4,batch1,Glut-CACNA1H-RA,1218,3,0.7475272736031772
arco,dims10nn40mindist0.5,batch1,Glut-CACNA1H-1,1168,3,0.11640194267241355
arco,dims10nn40mindist0.5,batch1,Glut-CACNA1H-2,857,3,0.024240334426117394
arco,dims10nn40mindist0.5,batch1,Glut-CACNA1H-3,406,3,0.09471310903607932
arco,dims10nn40mindist0.5,batch1,Glut-CACNA1H-4,267,3,0.03812071346107426
arco,dims10nn40mindist0.5,batch1,Glut-CACNA1H-RA,1218,3,0.8263591350526795
arco,dims10nn50mindist0.3,batch1,Glut-CACNA1H-1,1168,3,0.07512299021559854
arco,dims10nn50mindist0.3,batch1,Glut-CACNA1H-2,857,3,0.02672788629801126
arco,dims10nn50mindist0.3,batch1,Glut-CACNA1H-3,406,3,0.104788020709072
arco,dims10nn50mindist0.3,batch1,Glut-CACNA1H-4,267,3,0.04885846572215713
arco,dims10nn50mindist0.3,batch1,Glut-CACNA1H-RA,1218,3,0.8878205757866132
arco,dims10nn50mindist0.4,batch1,Glut-CACNA1H-1,1168,3,0.07411185142929022
arco,dims10nn50mindist0.4,batch1,Glut-CACNA1H-2,857,3,0.022739063402040127
arco,dims10nn50mindist0.4,batch1,Glut-CACNA1H-3,406,3,0.10896676951824424
arco,dims10nn50mindist0.4,batch1,Glut-CACNA1H-4,267,3,0.044586718877589915
arco,dims10nn50mindist0.4,batch1,Glut-CACNA1H-RA,1218,3,0.7554471052935755
arco,dims10nn50mindist0.5,batch1,Glut-CACNA1H-1,1168,3,0.09008371054602327
arco,dims10nn50mindist0.5,batch1,Glut-CACNA1H-2,857,3,0.029724769047806854
arco,dims10nn50mindist0.5,batch1,Glut-CACNA1H-3,406,3,0.10762320771025013
