region,soup_batch,celltype_hybrid,n_cells,n_birds,bird_var_ratio_mean,bird_var_ratio_min,bird_var_ratio_max
arco,batch1,Glut-CACNA1H-RA,1218,3,0.8240045767045808,0.7155127686416283,0.9168968510366032
arco,batch1,Glut-CACNA1H-3,406,3,0.11519087654055725,0.07701746491772432,0.14012337622785176
arco,batch1,Glut-CACNA1H-1,1168,3,0.11138971814510411,0.06239092333810037,0.18388773959085747
nido,batch2,Glut-DACH2-6,903,3,0.08944939426171296,0.061190703323867446,0.1083264226514905
nido,batch2,Glut-DACH2-8,670,3,0.08470720874892759,0.06737157030432983,0.10750003026348498
nido,batch2,Glut-DACH2-5,1032,3,0.06479242939507204,0.045566977307032075,0.0907655401172418
arco,batch1,Glut-CACNA1H-4,267,3,0.05661843042672396,0.03032884175317141,0.08999077733528438
nido,batch1,Glut-DACH2-HVCra,3017,3,0.044500145748708614,0.0021729639902787756,0.12477220777737941
nido,batch2,Glut-DACH2-1,216,3,0.04286107834072069,0.024960201339379706,0.07072357946215946
nido,batch2,Glut-NB,67,3,0.02984832152971671,0.013216316834986919,0.05400783251070984
nido,batch1,Glut-DACH2-4,260,3,0.02552725867403567,0.0072626421103551,0.047239992911573325
arco,batch1,Glut-CACNA1H-2,857,3,0.02539011335831676,0.01623330600422679,0.03136298051015374
nido,batch2,Glut-DACH2-LMANco,684,3,0.02435084994335872,0.008854676957626095,0.039155271383958246
nido,batch1,Glut-DACH2-HVCra-Int,692,3,0.018492778104066937,0.01290663957270044,0.02377419477482068
nido,batch1,Glut-DACH2-HVCx,342,3,0.018450971170977666,0.002369853137502931,0.04106124408048695
nido,batch1,Glut-NB,556,3,0.015792684763100116,0.01259958502408165,0.01864403543098303
nido,batch1,Glut-NSC,224,3,0.014711216092731598,0.010627153585482052,0.01904372117432418
nido,batch1,Glut-DACH2-5,149,3,0.013028971434867032,0.004143106216309422,0.030799395484171987
nido,batch1,Glut-DACH2-1,2345,3,0.012851674974900617,0.006748277028145511,0.019185426965590113
nido,batch1,Glut-DACH2-3,724,3,0.012705027884418641,0.004501302198410717,0.025502609670071785
nido,batch2,Glut-Im,668,3,0.011001383948928764,0.006738185862416923,0.018468463254747602
nido,batch2,Glut-DACH2-LMANsh,1172,3,0.010689352217246104,0.008588689270967564,0.012794044818007388
nido,batch1,Glut-Im,432,3,0.007079369728611603,0.003366839442754066,0.011496297738503913
nido,batch1,Glut-DACH2-2,959,3,0.00559081961001554,0.0019498962404617126,0.008691853621606294
nido,batch2,Glut-DACH2-7,829,3,0.004438291529976718,3.036258019253335e-4,0.0112360009987309
