region,threshold_label,clade,n_tips,au,bp
ARCO,none,Glut-Arco-2|Glut-Arco-5,2,0.9987232187252845,0.9969822834570444
ARCO,none,Glut-Arco-1|Glut-RA,2,1,1
ARCO,none,Glut-Arco-3|Glut-Arco-4,2,0.9703317778465238,0.9421291408986991
ARCO,none,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5,4,1,1
ARCO,none,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-RA,6,1,1
ARCO,0.5,Glut-Arco-1|Glut-RA,2,0.9863835187217002,0.9969485997600633
ARCO,0.5,Glut-Arco-2|Glut-Arco-3,2,0.6998400702749868,0.4611085982108173
ARCO,0.5,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4,3,0.7286421520970681,0.37329008231487787
ARCO,0.5,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5,4,0.9878198619998609,0.9789284338586519
ARCO,0.5,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-RA,6,1,1
ARCO,0.25,Glut-Arco-1|Glut-RA,2,0.9884760691044374,0.9967811227705043
ARCO,0.25,Glut-Arco-2|Glut-Arco-3,2,0.714290556669998,0.46718984965660665
ARCO,0.25,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4,3,0.6364771172262874,0.3683449184093823
ARCO,0.25,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5,4,0.9940591367214977,0.9823384282898976
ARCO,0.25,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-RA,6,1,1
ARCO,0.1,Glut-Arco-1|Glut-RA,2,0.9855426364417696,0.9976497172560564
ARCO,0.1,Glut-Arco-2|Glut-Arco-3,2,0.7488440770315051,0.47245260765151503
ARCO,0.1,Glut-Arco-2|Glut-Arco-3|Glut-Arco-5,3,0.8232750445887026,0.5219379813146631
ARCO,0.1,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5,4,0.9966960488037293,0.9925147913117618
ARCO,0.1,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-RA,6,1,1
ARCO,0.05,Glut-Arco-1|Glut-RA,2,0.7772451884341536,0.8488527450846501
ARCO,0.05,Glut-Arco-2|Glut-Arco-5,2,0.8860725931742077,0.7740019609735391
ARCO,0.05,Glut-Arco-3|Glut-Arco-4,2,0.8932381963903334,0.8533863080443584
ARCO,0.05,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5,4,0.8083146906825133,0.8451951461796879
ARCO,0.05,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-RA,6,1,1
ARCO,0.01,Glut-Arco-1|Glut-Arco-2,2,0.5550626249626076,0.44426386075613195
ARCO,0.01,Glut-Arco-3|Glut-Arco-4,2,0.9866221632455535,0.9925498898910883
ARCO,0.01,Glut-Arco-1|Glut-Arco-2|Glut-Arco-5,3,0.5611174854767527,0.10399953469414472
ARCO,0.01,Glut-Arco-1|Glut-Arco-2|Glut-Arco-5|Glut-RA,4,0.4655852236570716,0.20455072440412705
ARCO,0.01,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-RA,6,1,1
ARCO,0.001,Glut-Arco-2|Glut-Arco-5,2,0.931037404194498,0.8865676546451157
ARCO,0.001,Glut-Arco-3|Glut-Arco-4,2,0.9529220233022231,0.935184585653877
ARCO,0.001,Glut-Arco-1|Glut-RA,2,0.8998642538287062,0.9148660045639231
ARCO,0.001,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5,4,0.9004363679270324,0.914827935715803
ARCO,0.001,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-RA,6,1,1
NIDO,none,Glut-NR-2|Glut-NR-4,2,1,1
NIDO,none,Glut-LMAN-1|Glut-NR-1,2,0.9813161080488841,0.9673050674068654
NIDO,none,Glut-NC-2|Glut-Nido-1,2,0.9152880600893348,0.7771059703751808
NIDO,none,Glut-NC-3|Glut-NC-4,2,0.9349970382379845,0.8391125033522929
NIDO,none,Glut-NC-2|Glut-Nido-1|Glut-Nido-3,3,0.7950136840601699,0.5988121812775894
NIDO,none,Glut-Nido-2|Glut-NR-5,2,0.7527041046822471,0.53506006895361935
NIDO,none,Glut-HVC-1|Glut-HVC-2,2,0.9361797414228675,0.7855824825373396
NIDO,none,Glut-LMAN-2|Glut-NR-2|Glut-NR-4,3,0.9135559919213097,0.8697747378416452
NIDO,none,Glut-LMAN-1|Glut-NR-1|Glut-NR-3,3,0.8375286375277792,0.7158801905257856
NIDO,none,Glut-NC-1|Glut-NC-3|Glut-NC-4,3,0.8799151842361225,0.33132731763697154
NIDO,none,Glut-NC-2|Glut-Nido-1|Glut-Nido-2|Glut-Nido-3|Glut-NR-5,5,0.9258564823179842,0.2573783130013858
NIDO,none,Glut-HVC-1|Glut-HVC-2|Glut-NC-1|Glut-NC-3|Glut-NC-4,5,0.962851645009758,0.15630566887951453
NIDO,none,Glut-HVC-1|Glut-HVC-2|Glut-LMAN-2|Glut-NC-1|Glut-NC-3|Glut-NC-4|Glut-NR-2|Glut-NR-4,8,0.9190180280193404,0.2471447104948218
NIDO,none,Glut-LMAN-1|Glut-NC-2|Glut-Nido-1|Glut-Nido-2|Glut-Nido-3|Glut-NR-1|Glut-NR-3|Glut-NR-5,8,0.9099657933101002,0.2522519226575447
NIDO,none,Glut-HVC-1|Glut-HVC-2|Glut-LMAN-1|Glut-LMAN-2|Glut-NC-1|Glut-NC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-1|Glut-Nido-2|Glut-Nido-3|Glut-NR-1|Glut-NR-2|Glut-NR-3|Glut-NR-4|Glut-NR-5,16,1,1
NIDO,0.5,Glut-NR-2|Glut-NR-4,2,0.985426345384383,0.9863845620147336
NIDO,0.5,Glut-LMAN-1|Glut-NR-1,2,0.5955330190457128,0.5588610261227273
NIDO,0.5,Glut-NC-4|Glut-Nido-3,2,0.6333588982839594,0.21322915370539736
NIDO,0.5,Glut-NC-2|Glut-Nido-1,2,0.46063047768757076,0.21295831336291549
NIDO,0.5,Glut-HVC-2|Glut-LMAN-2,2,0.6548710527610239,0.3423436960489764
NIDO,0.5,Glut-Nido-2|Glut-NR-5,2,0.7949669794081238,0.5312216764485219
