region,clade,n_tips,au_gene_bootstrap,bp_gene_bootstrap,cell_bootstrap
ALL,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-HVC-1|Glut-HVC-2|Glut-LMAN-1|Glut-LMAN-2|Glut-NC-1|Glut-NC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-1|Glut-Nido-2|Glut-Nido-3|Glut-NR-1|Glut-NR-2|Glut-NR-3|Glut-NR-4|Glut-NR-5|Glut-RA,22,1,1,1
ALL,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-HVC-1|Glut-HVC-2|Glut-LMAN-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-Nido-3|Glut-NR-2|Glut-NR-4|Glut-NR-5|Glut-RA,16,0.9605773779693755,0.8323808630711261,0.938
ALL,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-HVC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-Nido-3|Glut-NR-5,10,0.9422957618893258,0.44005648806401976,0.42
ALL,Glut-LMAN-1|Glut-NC-1|Glut-NC-2|Glut-Nido-1|Glut-NR-1|Glut-NR-3,6,0.9542620752722161,0.8395514385165705,0.938
ALL,Glut-Arco-5|Glut-HVC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-NR-5,6,0.9305469163154277,0.378126488208281,0.21
ALL,Glut-Arco-1|Glut-HVC-1|Glut-LMAN-2|Glut-NR-2|Glut-NR-4|Glut-RA,6,0.9381397788607857,0.435604251282766,0.41
ALL,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Nido-3,4,0.8621256910421989,0.5390830248162533,0.344
ALL,Glut-LMAN-1|Glut-NR-1|Glut-NR-3,3,0.9220481280935524,0.7033547620236696,0.67
ALL,Glut-NC-1|Glut-NC-2|Glut-Nido-1,3,0.9131949813604635,0.6996479628199088,0.656
ALL,Glut-LMAN-2|Glut-NR-2|Glut-NR-4,3,0.8991180489384689,0.8879606424721023,0.716
ALL,Glut-Arco-1|Glut-HVC-1|Glut-RA,3,0.9255575078836861,0.7683780605820405,0.778
ALL,Glut-Arco-5|Glut-Nido-2|Glut-NR-5,3,0.6446818691550185,0.20665346332452258,0.29
ALL,Glut-HVC-2|Glut-NC-3|Glut-NC-4,3,0.5882512760740838,0.14380813750372154,0.052
ALL,Glut-Arco-4|Glut-Nido-3,2,0.9933000894542762,0.9872898548050022,0.916
ALL,Glut-NR-2|Glut-NR-4,2,0.9994546372195029,0.998705562919751,0.9
ALL,Glut-NC-2|Glut-Nido-1,2,0.9014068369932464,0.8719787755199708,0.68
ALL,Glut-LMAN-1|Glut-NR-1,2,0.8729103229814517,0.7473474398430422,0.68
ALL,Glut-Arco-2|Glut-Arco-3,2,0.8017113235702584,0.6149615921804604,0.448
ALL,Glut-Arco-1|Glut-RA,2,0.8403295813021179,0.8555893328485176,0.832
ALL,Glut-NC-3|Glut-NC-4,2,0.7951341593709544,0.7164482523969466,0.426
ALL,Glut-Arco-5|Glut-Nido-2,2,0.7135510640983203,0.4203140500601634,0.562
ARCO,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-RA,6,1,1,1
ARCO,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5,4,0.9966960488037293,0.9925147913117618,0.996
ARCO,Glut-Arco-2|Glut-Arco-3|Glut-Arco-5,3,0.8232750445887026,0.5219379813146631,0.518
ARCO,Glut-Arco-1|Glut-RA,2,0.9855426364417696,0.9976497172560564,1
ARCO,Glut-Arco-2|Glut-Arco-3,2,0.7488440770315051,0.47245260765151503,0.148
NIDO,Glut-HVC-1|Glut-HVC-2|Glut-LMAN-1|Glut-LMAN-2|Glut-NC-1|Glut-NC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-1|Glut-Nido-2|Glut-Nido-3|Glut-NR-1|Glut-NR-2|Glut-NR-3|Glut-NR-4|Glut-NR-5,16,1,1,1
NIDO,Glut-HVC-2|Glut-LMAN-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-NR-2|Glut-NR-4|Glut-NR-5,8,0.7614718769427863,0.18958897948214445,0.286
NIDO,Glut-HVC-1|Glut-LMAN-1|Glut-NC-1|Glut-NC-2|Glut-Nido-1|Glut-Nido-3|Glut-NR-1|Glut-NR-3,8,0.7614718769427863,0.18958897948214445,0.286
NIDO,Glut-HVC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-NR-5,5,0.7439392846899304,0.09035935103836766,0.172
NIDO,Glut-HVC-1|Glut-LMAN-1|Glut-NC-1|Glut-NR-1|Glut-NR-3,5,0.8210097252209263,0.30776417652413346,0.408
