region,threshold_label,clade,n_tips,cell_bootstrap
ARCO,none,Glut-Arco-2|Glut-Arco-5,2,1
ARCO,none,Glut-Arco-1|Glut-RA,2,1
ARCO,none,Glut-Arco-3|Glut-Arco-4,2,0.996
ARCO,none,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5,4,1
ARCO,none,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-RA,6,1
ARCO,0.1,Glut-Arco-1|Glut-RA,2,1
ARCO,0.1,Glut-Arco-2|Glut-Arco-3,2,0.148
ARCO,0.1,Glut-Arco-2|Glut-Arco-3|Glut-Arco-5,3,0.518
ARCO,0.1,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5,4,0.996
ARCO,0.1,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-RA,6,1
NIDO,none,Glut-NR-2|Glut-NR-4,2,0.994
NIDO,none,Glut-LMAN-1|Glut-NR-1,2,0.904
NIDO,none,Glut-NC-2|Glut-Nido-1,2,0.564
NIDO,none,Glut-NC-3|Glut-NC-4,2,0.9
NIDO,none,Glut-NC-2|Glut-Nido-1|Glut-Nido-3,3,0.542
NIDO,none,Glut-Nido-2|Glut-NR-5,2,0.47
NIDO,none,Glut-HVC-1|Glut-HVC-2,2,0.764
NIDO,none,Glut-LMAN-2|Glut-NR-2|Glut-NR-4,3,0.912
NIDO,none,Glut-LMAN-1|Glut-NR-1|Glut-NR-3,3,0.75
NIDO,none,Glut-NC-1|Glut-NC-3|Glut-NC-4,3,0.324
NIDO,none,Glut-NC-2|Glut-Nido-1|Glut-Nido-2|Glut-Nido-3|Glut-NR-5,5,0.222
NIDO,none,Glut-HVC-1|Glut-HVC-2|Glut-NC-1|Glut-NC-3|Glut-NC-4,5,0.196
NIDO,none,Glut-HVC-1|Glut-HVC-2|Glut-LMAN-2|Glut-NC-1|Glut-NC-3|Glut-NC-4|Glut-NR-2|Glut-NR-4,8,0.224
NIDO,none,Glut-LMAN-1|Glut-NC-2|Glut-Nido-1|Glut-Nido-2|Glut-Nido-3|Glut-NR-1|Glut-NR-3|Glut-NR-5,8,0.226
NIDO,none,Glut-HVC-1|Glut-HVC-2|Glut-LMAN-1|Glut-LMAN-2|Glut-NC-1|Glut-NC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-1|Glut-Nido-2|Glut-Nido-3|Glut-NR-1|Glut-NR-2|Glut-NR-3|Glut-NR-4|Glut-NR-5,16,1
NIDO,0.1,Glut-NR-2|Glut-NR-4,2,0.898
NIDO,0.1,Glut-LMAN-1|Glut-NR-1,2,0.628
NIDO,0.1,Glut-HVC-2|Glut-NC-4,2,0.464
NIDO,0.1,Glut-Nido-1|Glut-Nido-3,2,0.242
NIDO,0.1,Glut-NC-2|Glut-Nido-1|Glut-Nido-3,3,0.52
NIDO,0.1,Glut-LMAN-2|Glut-NR-2|Glut-NR-4,3,0.5
NIDO,0.1,Glut-Nido-2|Glut-NR-5,2,0.71
NIDO,0.1,Glut-LMAN-1|Glut-NR-1|Glut-NR-3,3,0.602
NIDO,0.1,Glut-HVC-1|Glut-NC-1,2,0.588
NIDO,0.1,Glut-HVC-2|Glut-NC-3|Glut-NC-4,3,0.15
NIDO,0.1,Glut-HVC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-NR-5,5,0.172
NIDO,0.1,Glut-HVC-1|Glut-LMAN-1|Glut-NC-1|Glut-NR-1|Glut-NR-3,5,0.408
NIDO,0.1,Glut-HVC-2|Glut-LMAN-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-NR-2|Glut-NR-4|Glut-NR-5,8,0.286
NIDO,0.1,Glut-HVC-1|Glut-LMAN-1|Glut-NC-1|Glut-NC-2|Glut-Nido-1|Glut-Nido-3|Glut-NR-1|Glut-NR-3,8,0.286
NIDO,0.1,Glut-HVC-1|Glut-HVC-2|Glut-LMAN-1|Glut-LMAN-2|Glut-NC-1|Glut-NC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-1|Glut-Nido-2|Glut-Nido-3|Glut-NR-1|Glut-NR-2|Glut-NR-3|Glut-NR-4|Glut-NR-5,16,1
ALL,none,Glut-Arco-4|Glut-Nido-3,2,0.96
ALL,none,Glut-NC-2|Glut-Nido-1,2,0.662
ALL,none,Glut-LMAN-1|Glut-NR-1,2,0.574
ALL,none,Glut-NR-2|Glut-NR-4,2,0.902
ALL,none,Glut-Arco-1|Glut-Arco-2,2,0.482
ALL,none,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3,3,0.876
ALL,none,Glut-LMAN-1|Glut-NR-1|Glut-NR-3,3,0.534
ALL,none,Glut-NC-1|Glut-NC-2|Glut-Nido-1,3,0.49
ALL,none,Glut-NC-3|Glut-NC-4,2,0.65
ALL,none,Glut-LMAN-2|Glut-NR-2|Glut-NR-4,3,0.926
ALL,none,Glut-Nido-2|Glut-NR-5,2,0.49
ALL,none,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3|Glut-Arco-5,4,0.578
ALL,none,Glut-HVC-1|Glut-HVC-2,2,0.28
ALL,none,Glut-LMAN-1|Glut-NC-1|Glut-NC-2|Glut-Nido-1|Glut-NR-1|Glut-NR-3,6,0.702
ALL,none,Glut-HVC-1|Glut-HVC-2|Glut-RA,3,0.16
ALL,none,Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-NR-5,4,0.114
ALL,none,Glut-Arco-4|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-Nido-3|Glut-NR-5,6,0.12
ALL,none,Glut-HVC-1|Glut-HVC-2|Glut-LMAN-2|Glut-NR-2|Glut-NR-4|Glut-RA,6,0.128
ALL,none,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-Nido-3|Glut-NR-5,10,0.102
