region,threshold_label,n_published_branches,n_recovered,frac_recovered,mean_au_when_recovered
ALL,none,21,11,0.5238095238095238,0.9248860997592574
ALL,0.5,21,21,1,0.8770761580781847
ALL,0.25,21,19,0.9047619047619048,0.8951392454074459
ALL,0.1,21,21,1,0.8761236870402253
ALL,0.05,21,18,0.8571428571428571,0.9231465249772632
ALL,0.01,21,17,0.8095238095238095,0.8358111465631938
ALL,0.001,21,12,0.5714285714285714,0.9250734673869042
ARCO,none,5,3,0.6,1
ARCO,0.5,5,4,0.8,0.918510862749137
ARCO,0.25,5,4,0.8,0.9242064406239833
ARCO,0.1,5,5,1,0.9108715613731413
ARCO,0.05,5,3,0.6,0.8618532930388889
ARCO,0.01,5,1,0.2,1
ARCO,0.001,5,3,0.6,0.9334335405852462
NIDO,none,15,7,0.4666666666666667,0.8971597894629129
NIDO,0.5,15,6,0.4,0.7988764887795307
NIDO,0.25,15,15,1,0.7395520101540567
NIDO,0.1,15,15,1,0.7664264496747979
NIDO,0.05,15,8,0.5333333333333333,0.8465591598969637
NIDO,0.01,15,8,0.5333333333333333,0.8593573395091596
NIDO,0.001,15,7,0.4666666666666667,0.8889764176313768
