region,threshold_label,song_cluster,sister,clade,au,song_nonsong,cell_bootstrap,au_pct,jaccard_vs_ref_threshold
ALL,none,Glut-HVC-1,Glut-HVC-2,Glut-HVC-1|Glut-HVC-2,0.7581908010584211,FALSE,0.28,75.8190801058421,0
ALL,0.5,Glut-HVC-1,"Glut-Arco-1, Glut-RA",Glut-Arco-1|Glut-HVC-1|Glut-RA,0.9266984422113078,FALSE,NA,92.66984422113079,1
ALL,0.25,Glut-HVC-1,"Glut-Arco-1, Glut-RA",Glut-Arco-1|Glut-HVC-1|Glut-RA,0.9408214983230773,FALSE,NA,94.08214983230772,1
ALL,0.1,Glut-HVC-1,"Glut-Arco-1, Glut-RA",Glut-Arco-1|Glut-HVC-1|Glut-RA,0.9255575078836861,FALSE,0.778,92.55575078836861,1
ALL,0.05,Glut-HVC-1,"Glut-Arco-1, Glut-RA",Glut-Arco-1|Glut-HVC-1|Glut-RA,0.8856828785378736,FALSE,NA,88.56828785378737,1
ALL,0.01,Glut-HVC-1,"Glut-Arco-1, Glut-RA",Glut-Arco-1|Glut-HVC-1|Glut-RA,0.7451460785363228,FALSE,NA,74.51460785363227,1
ALL,0.001,Glut-HVC-1,Glut-RA,Glut-HVC-1|Glut-RA,0.7823465654979633,FALSE,NA,78.23465654979633,0.5
ALL,none,Glut-HVC-2,Glut-HVC-1,Glut-HVC-1|Glut-HVC-2,0.7581908010584211,FALSE,0.28,75.8190801058421,0
ALL,0.5,Glut-HVC-2,"Glut-NC-3, Glut-NC-4",Glut-HVC-2|Glut-NC-3|Glut-NC-4,0.6887422468362435,TRUE,NA,68.87422468362435,1
ALL,0.25,Glut-HVC-2,Glut-NR-5,Glut-HVC-2|Glut-NR-5,0.6522279734224248,TRUE,NA,65.22279734224247,0
ALL,0.1,Glut-HVC-2,"Glut-NC-3, Glut-NC-4",Glut-HVC-2|Glut-NC-3|Glut-NC-4,0.5882512760740838,TRUE,0.052,58.825127607408376,1
ALL,0.05,Glut-HVC-2,Glut-Arco-5,Glut-Arco-5|Glut-HVC-2,0.6943388622486166,TRUE,NA,69.43388622486167,0
ALL,0.01,Glut-HVC-2,"Glut-NC-3, Glut-NC-4",Glut-HVC-2|Glut-NC-3|Glut-NC-4,0.615525421197277,TRUE,NA,61.552542119727704,1
ALL,0.001,Glut-HVC-2,"Glut-NC-3, Glut-NC-4",Glut-HVC-2|Glut-NC-3|Glut-NC-4,0.8117929435787969,TRUE,NA,81.1792943578797,1
ALL,none,Glut-LMAN-1,Glut-NR-1,Glut-LMAN-1|Glut-NR-1,0.8384770635985765,TRUE,0.574,83.84770635985765,1
ALL,0.5,Glut-LMAN-1,Glut-NR-1,Glut-LMAN-1|Glut-NR-1,0.8264490021223958,TRUE,NA,82.64490021223958,1
ALL,0.25,Glut-LMAN-1,Glut-NR-1,Glut-LMAN-1|Glut-NR-1,0.8645220609102306,TRUE,NA,86.45220609102307,1
ALL,0.1,Glut-LMAN-1,Glut-NR-1,Glut-LMAN-1|Glut-NR-1,0.8729103229814517,TRUE,0.68,87.29103229814517,1
