region,threshold_label,threshold,n_removed,n_features,n_edges,mean_au,median_au,n_au95,frac_au95
ALL,none,NA,0,1307,21,0.8741756996688015,0.8590987132831097,6,0.2857142857142857
ALL,0.5,0.5,1891,513,21,0.8770761580781847,0.900197195268896,4,0.19047619047619047
ALL,0.25,0.25,1645,532,21,0.8811393204375477,0.90220972468711,5,0.23809523809523808
ALL,0.1,0.1,1394,553,21,0.8761236870402253,0.9131949813604635,5,0.23809523809523808
ALL,0.05,0.05,1241,706,21,0.8866183144496184,0.9204834042259383,5,0.23809523809523808
ALL,0.01,0.01,964,973,21,0.7987729306303528,0.783919571804129,5,0.23809523809523808
ALL,0.001,0.001,678,1183,21,0.8554167099334151,0.8747069823710205,6,0.2857142857142857
ARCO,none,NA,0,361,5,0.9938109993143617,1,5,1
ARCO,0.5,0.5,1029,157,5,0.8805371206187232,0.9863835187217002,3,0.6
ARCO,0.25,0.25,926,157,5,0.8666605759444441,0.9884760691044374,3,0.6
ARCO,0.1,0.1,801,160,5,0.9108715613731413,0.9855426364417696,3,0.6
ARCO,0.05,0.05,734,227,5,0.8729741337362416,0.8860725931742077,1,0.2
ARCO,0.01,0.01,608,337,5,0.7136774994683971,0.5611174854767527,2,0.4
ARCO,0.001,0.001,457,360,5,0.9368520098504919,0.931037404194498,2,0.4
NIDO,none,NA,0,1118,15,0.9109460332589254,0.9190180280193404,4,0.26666666666666666
NIDO,0.5,0.5,1285,449,15,0.6637684396690614,0.6333588982839594,2,0.13333333333333333
NIDO,0.25,0.25,1098,458,15,0.7395520101540567,0.7431797177344414,2,0.13333333333333333
NIDO,0.1,0.1,919,468,15,0.7664264496747979,0.7614718769427863,2,0.13333333333333333
NIDO,0.05,0.05,819,568,15,0.7809145965225914,0.8149660814523982,2,0.13333333333333333
NIDO,0.01,0.01,611,776,15,0.848540192140829,0.8967468022213265,3,0.2
NIDO,0.001,0.001,412,969,15,0.8936719727826583,0.8867168964903133,4,0.26666666666666666
