region,threshold_label,cophenetic_r,baker_gamma,ari
ARCO,none,0.9748945067043011,0.9295756681369957,0.44902319902319904
ARCO,0.5,0.9968067191100549,0.9469214437367303,0.8295454545454546
ARCO,0.25,0.9968067191100549,0.9469214437367303,0.8295454545454546
ARCO,0.1,0.9999999999999998,1,1
ARCO,0.05,0.9632016325004857,0.9402481786781782,0.7168803418803419
ARCO,0.01,-0.02143101734487839,-0.041401273885350316,-0.07985764235764234
ARCO,0.001,0.9445609369774727,0.9082306470546306,0.3047924297924298
NIDO,none,0.3122589028757522,0.29504619384136954,0.5302450989187937
NIDO,0.5,0.7369965408455614,0.7262540436198281,0.49672847717478835
NIDO,0.25,0.9995557791193556,0.9999917731359982,1
NIDO,0.1,0.9999999999999999,0.9999999999999999,1
NIDO,0.05,0.6163713216604372,0.6161424443185566,0.5693205480709932
NIDO,0.01,0.6551392038937944,0.6697352389999109,0.6905452112126791
NIDO,0.001,0.31805655072320776,0.29504619384136954,0.5302450989187937
ALL,none,0.9122499284297507,0.9222719622598536,0.6213480535566416
ALL,0.5,0.998852854898707,1,1
ALL,0.25,0.9992335935640347,0.9993298606262163,0.9602362019939482
ALL,0.1,1,1,1
ALL,0.05,0.99676921566264165,0.999044302023267,0.9602362019939482
ALL,0.01,0.9863789105250488,0.9948585079198267,0.8495023983661573
ALL,0.001,0.8929814647274834,0.8968359361685767,0.6536696568823084
