region,threshold_label,clade,n_tips,au,bp
ARCO,none,Glut-CACNA1H-2|Glut-CACNA1H-4,2,1,1
ARCO,none,Glut-CACNA1H-1|Glut-CACNA1H-RA,2,0.8469681554521605,0.8494353097459739
ARCO,none,Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4,3,0.8242902876872306,0.7714008459765468
ARCO,none,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA,5,1,1
ARCO,0.5,Glut-CACNA1H-2|Glut-CACNA1H-4,2,0.9924587810243725,0.9844217327320209
ARCO,0.5,Glut-CACNA1H-1|Glut-CACNA1H-RA,2,0.9072408521005272,0.9561845268324176
ARCO,0.5,Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4,3,0.918272567404526,0.9556296870510913
ARCO,0.5,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA,5,1,1
ARCO,0.25,Glut-CACNA1H-2|Glut-CACNA1H-4,2,0.9946807937982964,0.9910805937292598
ARCO,0.25,Glut-CACNA1H-1|Glut-CACNA1H-RA,2,0.9497190495371434,0.9687926961639683
ARCO,0.25,Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4,3,0.9538374688295076,0.9684050900782105
ARCO,0.25,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA,5,1,1
ARCO,0.1,Glut-CACNA1H-2|Glut-CACNA1H-4,2,0.9930228225577334,0.9946288500095981
ARCO,0.1,Glut-CACNA1H-1|Glut-CACNA1H-RA,2,0.9416128063859124,0.9640453608326937
ARCO,0.1,Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4,3,0.9510441392591761,0.9615076604618913
ARCO,0.1,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA,5,1,1
ARCO,0.05,Glut-CACNA1H-2|Glut-CACNA1H-4,2,0.9989061907416046,0.9976048910010781
ARCO,0.05,Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4,3,0.9460601031403572,0.9432390017311766
ARCO,0.05,Glut-CACNA1H-1|Glut-CACNA1H-RA,2,0.9350154881778111,0.9476332786099907
ARCO,0.05,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA,5,1,1
ARCO,0.01,Glut-CACNA1H-2|Glut-CACNA1H-4,2,0.9952903898105121,0.9911918300812599
ARCO,0.01,Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4,3,0.891735874917594,0.8565692481084343
